,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,11,1,0.0,1,AO
1,2020-10-19,11,1,0.0,1,AO
2,2020-10-18,11,1,0.0,1,AO
3,2020-10-17,11,1,0.0,1,AO
4,2020-10-16,11,1,0.0,1,AO
5,2020-10-15,11,1,0.0,1,AO
6,2020-10-14,11,1,0.0,1,AO
7,2020-10-13,11,1,0.0,1,AO
8,2020-10-12,11,1,0.0,1,AO
9,2020-10-11,11,1,0.0,1,AO
10,2020-10-10,11,1,0.0,1,AO
11,2020-10-09,11,1,0.0,1,AO
12,2020-10-08,11,1,0.0,1,AO
13,2020-10-07,11,1,0.0,1,AO
14,2020-10-06,11,1,0.0,1,AO
15,2020-10-05,11,1,0.0,1,AO
16,2020-10-04,11,1,0.0,1,AO
17,2020-10-03,11,1,0.0,1,AO
18,2020-10-02,11,1,0.0,1,AO
19,2020-10-01,11,1,0.0,1,AO
20,2020-09-30,11,1,0.0,1,AO
21,2020-09-29,11,1,0.0,1,AO
22,2020-09-28,11,1,0.0,1,AO
23,2020-09-27,10,1,1.0,1,AO
24,2020-09-26,10,1,1.0,1,AO
25,2020-09-25,10,1,1.0,1,AO
26,2020-09-24,10,1,1.0,1,AO
27,2020-09-23,10,1,1.0,1,AO
28,2020-09-22,10,1,1.0,1,AO
29,2020-09-21,10,1,1.0,1,AO
30,2020-09-20,10,1,1.0,1,AO
31,2020-09-19,10,1,1.0,1,AO
32,2020-09-18,10,1,1.0,1,AO
33,2020-09-17,10,1,1.0,1,AO
34,2020-09-16,10,1,1.0,1,AO
35,2020-09-15,10,1,1.0,1,AO
36,2020-09-14,10,1,1.0,1,AO
37,2020-09-13,10,1,1.0,1,AO
38,2020-09-12,10,1,1.0,1,AO
39,2020-09-11,10,1,1.0,1,AO
40,2020-09-10,10,1,1.0,1,AO
41,2020-09-09,10,1,1.0,1,AO
42,2020-09-08,10,1,1.0,1,AO
43,2020-09-07,10,1,1.0,1,AO
44,2020-09-06,10,1,1.0,1,AO
45,2020-09-05,10,1,1.0,1,AO
46,2020-09-04,10,1,1.0,1,AO
47,2020-09-03,10,1,1.0,1,AO
48,2020-09-02,10,1,1.0,1,AO
49,2020-09-01,10,1,1.0,1,AO
50,2020-08-31,10,1,1.0,1,AO
51,2020-08-30,10,1,1.0,1,AO
52,2020-08-29,10,1,1.0,1,AO
53,2020-08-28,10,1,1.0,1,AO
54,2020-08-27,10,1,1.0,1,AO
55,2020-08-26,10,1,1.0,1,AO
56,2020-08-25,10,1,1.0,1,AO
57,2020-08-24,10,1,1.0,1,AO
58,2020-08-23,10,1,1.0,1,AO
59,2020-08-22,10,1,1.0,1,AO
60,2020-08-21,10,1,1.0,1,AO
61,2020-08-20,10,1,1.0,1,AO
62,2020-08-19,10,1,1.0,1,AO
63,2020-08-18,10,1,1.0,1,AO
64,2020-08-17,10,1,1.0,1,AO
65,2020-08-16,10,1,1.0,1,AO
66,2020-08-15,10,1,1.0,1,AO
67,2020-08-14,10,1,1.0,1,AO
68,2020-08-13,10,1,1.0,1,AO
69,2020-08-12,10,1,1.0,1,AO
70,2020-08-11,10,1,1.0,1,AO
71,2020-08-10,10,1,1.0,1,AO
72,2020-08-09,10,1,1.0,1,AO
73,2020-08-08,10,1,1.0,1,AO
74,2020-08-07,10,1,1.0,1,AO
75,2020-08-06,10,1,1.0,1,AO
76,2020-08-05,10,1,1.0,1,AO
77,2020-08-04,10,1,1.0,1,AO
78,2020-08-03,10,1,1.0,1,AO
79,2020-08-02,10,1,1.0,1,AO
80,2020-08-01,10,1,1.0,1,AO
81,2020-07-31,10,1,1.0,1,AO
82,2020-07-30,10,1,1.0,1,AO
83,2020-07-29,10,1,1.0,1,AO
84,2020-07-28,10,1,1.0,1,AO
85,2020-07-27,10,1,1.0,1,AO
86,2020-07-26,10,1,1.0,1,AO
87,2020-07-25,10,1,1.0,1,AO
88,2020-07-24,10,1,1.0,1,AO
89,2020-07-23,10,1,1.0,1,AO
90,2020-07-22,10,1,1.0,1,AO
91,2020-07-21,10,1,1.0,1,AO
92,2020-07-20,10,1,1.0,1,AO
93,2020-07-19,10,1,1.0,1,AO
94,2020-07-18,10,1,1.0,1,AO
95,2020-07-17,10,1,1.0,1,AO
96,2020-07-16,10,1,1.0,1,AO
97,2020-07-15,10,1,1.0,1,AO
98,2020-07-14,10,1,1.0,1,AO
99,2020-07-13,10,1,1.0,1,AO
100,2020-07-12,10,1,1.0,1,AO
101,2020-07-11,10,1,1.0,1,AO
102,2020-07-10,10,1,1.0,1,AO
103,2020-07-09,10,1,1.0,1,AO
104,2020-07-08,10,1,1.0,1,AO
105,2020-07-07,10,1,1.0,1,AO
106,2020-07-06,10,1,1.0,1,AO
107,2020-07-05,10,1,1.0,1,AO
108,2020-07-04,10,1,1.0,1,AO
109,2020-07-03,10,1,1.0,1,AO
110,2020-07-02,10,1,1.0,1,AO
111,2020-07-01,10,1,1.0,1,AO
112,2020-06-30,10,1,1.0,1,AO
113,2020-06-29,10,1,1.0,1,AO
114,2020-06-28,10,2,0.0,1,AO
115,2020-06-27,10,2,0.0,1,AO
116,2020-06-26,10,2,0.0,1,AO
117,2020-06-25,10,2,0.0,1,AO
118,2020-06-24,10,2,0.0,1,AO
119,2020-06-23,10,2,0.0,1,AO
120,2020-06-22,10,2,0.0,1,AO
121,2020-06-21,10,2,0.0,1,AO
122,2020-06-20,10,2,0.0,1,AO
123,2020-06-19,10,2,0.0,1,AO
124,2020-06-18,10,2,0.0,1,AO
125,2020-06-17,10,2,0.0,1,AO
126,2020-06-16,10,2,0.0,1,AO
127,2020-06-15,10,2,0.0,1,AO
128,2020-06-14,10,2,0.0,1,AO
129,2020-06-13,10,2,0.0,1,AO
130,2020-06-12,10,2,0.0,1,AO
131,2020-06-11,10,2,0.0,1,AO
132,2020-06-10,10,2,0.0,1,AO
133,2020-06-09,10,2,0.0,1,AO
134,2020-06-08,10,2,0.0,1,AO
135,2020-06-07,10,2,0.0,1,AO
136,2020-06-06,10,2,0.0,1,AO
137,2020-06-05,10,2,0.0,1,AO
138,2020-06-04,10,2,0.0,1,AO
139,2020-06-03,10,2,0.0,1,AO
140,2020-06-02,10,2,0.0,1,AO
141,2020-06-01,10,2,0.0,1,AO
142,2020-05-31,10,2,0.0,1,AO
143,2020-05-30,10,2,0.0,1,AO
144,2020-05-29,10,2,0.0,1,AO
145,2020-05-28,10,2,0.0,1,AO
146,2020-05-27,10,2,0.0,1,AO
147,2020-05-26,10,2,0.0,1,AO
148,2020-05-25,10,2,0.0,1,AO
149,2020-05-24,10,2,0.0,1,AO
150,2020-05-23,10,2,0.0,1,AO
151,2020-05-22,10,2,0.0,1,AO
152,2020-05-21,10,2,0.0,1,AO
153,2020-05-20,10,2,0.0,1,AO
154,2020-05-19,10,2,0.0,1,AO
155,2020-05-18,10,2,0.0,1,AO
156,2020-05-17,10,2,0.0,1,AO
157,2020-05-16,10,2,0.0,1,AO
158,2020-05-15,10,2,0.0,1,AO
159,2020-05-14,10,2,0.0,1,AO
160,2020-05-13,10,2,0.0,1,AO
161,2020-05-12,10,2,0.0,1,AO
162,2020-05-11,10,2,0.0,1,AO
163,2020-05-10,10,2,0.0,1,AO
164,2020-05-09,10,2,0.0,1,AO
165,2020-05-08,10,2,0.0,1,AO
166,2020-05-07,10,2,0.0,1,AO
167,2020-05-06,10,2,0.0,1,AO
168,2020-05-05,10,2,0.0,1,AO
169,2020-05-03,10,2,0.0,1,AO
170,2020-05-02,10,2,0.0,1,AO
171,2020-05-01,10,2,0.0,1,AO
172,2020-04-30,10,2,0.0,1,AO
173,2020-04-29,10,2,0.0,1,AO
174,2020-04-28,10,2,0.0,1,AO
175,2020-04-27,10,2,0.0,1,AO
176,2020-04-26,10,2,0.0,1,AO
177,2020-04-25,10,2,0.0,1,AO
178,2020-04-24,10,2,0.0,1,AO
179,2020-04-23,10,2,0.0,1,AO
180,2020-04-22,10,2,0.0,1,AO
181,2020-04-21,10,2,0.0,1,AO
182,2020-04-20,10,2,0.0,1,AO
183,2020-04-19,10,2,0.0,1,AO
184,2020-04-18,10,2,0.0,1,AO
185,2020-04-17,10,2,0.0,1,AO
186,2020-04-16,10,2,0.0,1,AO
187,2020-04-15,10,2,0.0,1,AO
188,2020-04-14,10,2,0.0,1,AO
189,2020-04-13,10,2,0.0,1,AO
190,2020-04-12,10,2,0.0,1,AO
191,2020-04-11,10,2,0.0,1,AO
192,2020-04-10,10,2,0.0,1,AO
193,2020-04-09,10,2,0.0,1,AO
194,2020-04-08,10,2,0.0,1,AO
195,2020-04-07,10,2,0.0,1,AO
196,2020-04-06,10,2,0.0,1,AO
197,2020-04-05,10,2,0.0,1,AO
198,2020-04-04,10,2,0.0,1,AO
199,2020-04-03,10,2,0.0,1,AO
200,2020-04-02,10,2,0.0,1,AO
201,2020-04-01,10,2,0.0,1,AO
202,2020-03-31,10,2,0.0,1,AO
203,2020-03-30,10,2,0.0,1,AO
204,2020-03-29,10,2,0.0,1,AO
205,2020-03-28,10,2,0.0,1,AO
206,2020-03-27,10,2,0.0,1,AO
207,2020-03-26,10,2,0.0,1,AO
208,2020-03-25,10,2,0.0,1,AO
209,2020-03-24,10,2,0.0,1,AO
210,2020-03-23,10,2,0.0,1,AO
211,2020-03-22,10,2,0.0,1,AO
212,2020-03-21,10,2,0.0,1,AO
213,2020-03-20,10,2,0.0,1,AO
214,2020-03-19,10,1,1.0,1,AO
215,2020-03-18,10,1,1.0,1,AO
216,2020-03-17,10,2,0.0,1,AO
217,2020-03-16,10,2,0.0,1,AO
218,2020-03-15,10,2,0.0,1,AO
219,2020-03-14,10,2,0.0,1,AO
220,2020-03-13,10,2,0.0,1,AO
221,2020-03-12,10,2,0.0,1,AO
222,2020-03-11,10,2,0.0,1,AO
223,2020-03-10,10,2,0.0,1,AO
224,2020-03-09,10,2,0.0,1,AO
225,2020-03-08,10,2,0.0,1,AO
226,2020-03-07,10,2,0.0,1,AO
227,2020-03-06,10,2,0.0,1,AO
228,2020-03-05,9,2,1.0,1,AO
229,2020-03-04,9,2,1.0,1,AO
230,2020-03-03,9,2,1.0,1,AO
231,2020-03-02,9,2,1.0,1,AO
232,2020-03-01,9,2,1.0,1,AO
233,2020-02-29,9,2,1.0,1,AO
234,2020-02-28,9,2,1.0,1,AO
235,2020-02-27,9,2,1.0,1,AO
236,2020-02-26,9,2,1.0,1,AO
237,2020-02-25,9,2,1.0,1,AO
238,2020-02-24,9,2,1.0,1,AO
239,2020-02-23,9,2,1.0,1,AO
240,2020-02-22,9,2,1.0,1,AO
241,2020-02-21,9,2,1.0,1,AO
242,2020-02-20,9,2,1.0,1,AO
243,2020-02-19,9,2,1.0,1,AO
244,2020-02-18,9,2,1.0,1,AO
245,2020-02-17,9,2,1.0,1,AO
246,2020-02-16,9,2,1.0,1,AO
247,2020-02-15,9,2,1.0,1,AO
248,2020-02-14,9,2,1.0,1,AO
249,2020-02-12,9,1,1.0,1,AO
250,2020-02-11,9,1,1.0,1,AO
251,2020-02-10,9,1,1.0,1,AO
252,2020-02-06,9,1,1.0,1,AO
253,2020-02-05,9,1,1.0,1,AO
254,2020-02-04,9,1,1.0,1,AO
255,2020-02-03,9,1,1.0,1,AO
256,2020-02-01,9,1,1.0,1,AO
257,2020-01-31,9,1,1.0,1,AO
258,2020-01-30,9,1,1.0,1,AO
259,2020-01-29,9,1,1.0,1,AO
260,2020-01-28,9,1,1.0,1,AO
261,2020-01-27,9,1,1.0,1,AO
262,2020-01-23,9,1,1.0,1,AO
263,2020-01-22,9,1,1.0,1,AO
264,2020-01-21,9,1,1.0,1,AO
265,2020-01-20,9,1,1.0,1,AO
266,2020-01-19,9,1,1.0,1,AO
267,2020-01-18,9,1,1.0,1,AO
268,2020-01-17,9,1,1.0,1,AO
269,2020-01-16,9,0,2.0,1,AO
270,2020-01-15,9,1,1.0,1,AO
271,2020-01-14,9,1,1.0,1,AO
272,2020-01-13,9,1,1.0,1,AO
273,2020-01-12,9,1,1.0,1,AO
274,2020-01-11,9,1,1.0,1,AO
275,2020-01-10,9,1,1.0,1,AO
276,2020-01-09,9,1,1.0,1,AO
277,2020-01-08,9,1,1.0,1,AO
278,2020-01-07,9,1,1.0,1,AO
279,2020-01-06,9,1,1.0,1,AO
280,2020-01-05,9,1,1.0,1,AO
281,2020-01-04,9,1,1.0,1,AO
282,2020-01-03,9,1,1.0,1,AO
283,2020-01-02,9,1,1.0,1,AO
284,2020-01-01,9,1,1.0,1,AO
285,2019-12-31,9,1,1.0,1,AO
286,2019-12-30,9,1,1.0,1,AO
287,2019-12-29,9,1,1.0,1,AO
288,2019-12-28,9,1,1.0,1,AO
289,2019-12-27,9,1,1.0,1,AO
290,2019-12-26,9,1,1.0,1,AO
291,2019-12-25,9,1,1.0,1,AO
292,2019-12-24,9,1,1.0,1,AO
293,2019-12-23,9,1,1.0,1,AO
