,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,12,5,1,4,BF
1,2020-10-19,12,5,1,4,BF
2,2020-10-18,12,5,1,4,BF
3,2020-10-17,12,5,1,4,BF
4,2020-10-16,12,5,1,4,BF
5,2020-10-15,12,5,1,4,BF
6,2020-10-14,12,5,1,4,BF
7,2020-10-13,12,5,1,4,BF
8,2020-10-12,12,5,1,4,BF
9,2020-10-11,12,5,1,4,BF
10,2020-10-10,12,5,1,4,BF
11,2020-10-09,12,5,1,4,BF
12,2020-10-08,12,5,1,4,BF
13,2020-10-07,12,5,1,4,BF
14,2020-10-06,12,5,1,4,BF
15,2020-10-05,12,5,1,4,BF
16,2020-10-04,12,5,1,4,BF
17,2020-10-03,12,5,1,4,BF
18,2020-10-02,12,5,1,4,BF
19,2020-10-01,12,5,1,4,BF
20,2020-09-30,12,5,1,4,BF
21,2020-09-29,12,5,1,4,BF
22,2020-09-28,12,5,1,4,BF
23,2020-09-27,12,5,1,4,BF
24,2020-09-26,12,5,1,4,BF
25,2020-09-25,12,5,1,4,BF
26,2020-09-24,12,5,1,4,BF
27,2020-09-23,12,5,1,4,BF
28,2020-09-22,12,5,1,4,BF
29,2020-09-21,12,5,1,4,BF
30,2020-09-20,12,5,1,4,BF
31,2020-09-19,12,5,1,4,BF
32,2020-09-18,12,5,1,4,BF
33,2020-09-17,12,5,1,4,BF
34,2020-09-16,12,5,1,4,BF
35,2020-09-15,12,5,1,4,BF
36,2020-09-14,12,5,1,4,BF
37,2020-09-13,12,5,1,4,BF
38,2020-09-12,12,6,0,4,BF
39,2020-09-11,12,5,1,4,BF
40,2020-09-10,12,5,1,4,BF
41,2020-09-09,12,5,1,4,BF
42,2020-09-08,12,5,1,4,BF
43,2020-09-07,12,5,1,4,BF
44,2020-09-06,12,5,1,4,BF
45,2020-09-05,12,5,1,4,BF
46,2020-09-04,12,5,1,4,BF
47,2020-09-03,12,5,1,4,BF
48,2020-09-02,12,4,2,4,BF
49,2020-09-01,12,5,1,4,BF
50,2020-08-31,12,5,1,4,BF
51,2020-08-30,12,5,1,4,BF
52,2020-08-29,12,5,1,4,BF
53,2020-08-28,12,5,1,4,BF
54,2020-08-27,12,5,1,4,BF
55,2020-08-26,12,5,1,4,BF
56,2020-08-25,12,5,1,4,BF
57,2020-08-24,12,5,1,4,BF
58,2020-08-23,12,6,0,4,BF
59,2020-08-22,12,6,0,4,BF
60,2020-08-21,12,6,0,4,BF
61,2020-08-20,12,5,1,4,BF
62,2020-08-19,12,5,1,4,BF
63,2020-08-18,12,6,0,4,BF
64,2020-08-17,12,6,0,4,BF
65,2020-08-16,11,6,1,4,BF
66,2020-08-15,11,6,1,4,BF
67,2020-08-14,11,5,2,4,BF
68,2020-08-13,11,5,2,4,BF
69,2020-08-12,11,5,2,4,BF
70,2020-08-11,11,5,2,4,BF
71,2020-08-10,11,5,2,4,BF
72,2020-08-09,11,4,3,4,BF
73,2020-08-08,11,6,1,4,BF
74,2020-08-07,11,6,1,4,BF
75,2020-08-06,11,5,2,4,BF
76,2020-08-05,11,6,1,4,BF
77,2020-08-04,11,6,1,4,BF
78,2020-08-03,11,6,1,4,BF
79,2020-08-02,11,6,1,4,BF
80,2020-08-01,11,6,1,4,BF
81,2020-07-31,11,6,1,4,BF
82,2020-07-30,11,6,1,4,BF
83,2020-07-29,11,6,1,4,BF
84,2020-07-28,11,6,1,4,BF
85,2020-07-27,11,6,1,4,BF
86,2020-07-26,11,6,1,4,BF
87,2020-07-25,11,6,1,4,BF
88,2020-07-24,11,6,1,4,BF
89,2020-07-23,11,6,1,4,BF
90,2020-07-22,11,5,2,4,BF
91,2020-07-21,11,6,1,4,BF
92,2020-07-20,11,6,1,4,BF
93,2020-07-19,11,6,1,4,BF
94,2020-07-18,11,6,1,4,BF
95,2020-07-17,11,5,2,4,BF
96,2020-07-16,11,5,2,4,BF
97,2020-07-15,11,5,2,4,BF
98,2020-07-14,11,5,2,4,BF
99,2020-07-13,11,4,3,4,BF
100,2020-07-12,11,3,4,4,BF
101,2020-07-11,11,5,2,4,BF
102,2020-07-10,11,5,2,4,BF
103,2020-07-09,11,5,2,4,BF
104,2020-07-08,11,5,2,4,BF
105,2020-07-07,11,4,3,4,BF
106,2020-07-06,11,4,3,4,BF
107,2020-07-05,11,5,2,4,BF
108,2020-07-04,11,5,2,4,BF
109,2020-07-03,11,5,2,4,BF
110,2020-07-02,11,5,2,4,BF
111,2020-07-01,11,5,2,4,BF
112,2020-06-30,11,5,2,4,BF
113,2020-06-29,11,5,2,4,BF
114,2020-06-28,11,5,2,4,BF
115,2020-06-27,11,4,3,4,BF
116,2020-06-26,11,4,3,4,BF
117,2020-06-25,11,5,2,4,BF
118,2020-06-24,11,5,2,4,BF
119,2020-06-23,11,5,2,4,BF
120,2020-06-22,11,4,3,4,BF
121,2020-06-21,11,5,2,4,BF
122,2020-06-20,11,5,2,4,BF
123,2020-06-19,11,5,2,4,BF
124,2020-06-18,11,4,3,4,BF
125,2020-06-17,11,5,2,4,BF
126,2020-06-16,11,4,3,4,BF
127,2020-06-15,11,5,2,4,BF
128,2020-06-14,11,5,2,4,BF
129,2020-06-13,11,5,2,4,BF
130,2020-06-12,11,5,2,4,BF
131,2020-06-11,11,5,2,4,BF
132,2020-06-10,11,4,3,4,BF
133,2020-06-09,11,6,1,4,BF
134,2020-06-08,12,5,1,4,BF
135,2020-06-07,12,3,3,4,BF
136,2020-06-06,12,5,1,4,BF
137,2020-06-05,12,5,1,4,BF
138,2020-06-04,12,5,1,4,BF
139,2020-06-03,12,5,1,4,BF
140,2020-06-02,12,5,1,4,BF
141,2020-06-01,12,5,1,4,BF
142,2020-05-31,12,5,1,4,BF
143,2020-05-30,12,5,1,4,BF
144,2020-05-29,12,5,1,4,BF
145,2020-05-28,12,5,1,4,BF
146,2020-05-27,12,5,1,4,BF
147,2020-05-26,11,4,3,4,BF
148,2020-05-25,11,5,2,4,BF
149,2020-05-24,11,4,3,4,BF
150,2020-05-23,11,5,2,4,BF
151,2020-05-22,11,5,2,4,BF
152,2020-05-21,11,3,4,4,BF
153,2020-05-20,11,5,2,4,BF
154,2020-05-19,11,4,3,4,BF
155,2020-05-18,11,5,2,4,BF
156,2020-05-17,11,6,1,4,BF
157,2020-05-16,11,6,1,4,BF
158,2020-05-15,11,5,2,4,BF
159,2020-05-14,11,5,2,4,BF
160,2020-05-13,11,5,2,4,BF
161,2020-05-12,11,5,2,4,BF
162,2020-05-11,11,5,2,4,BF
163,2020-05-10,11,4,3,4,BF
164,2020-05-09,11,5,2,4,BF
165,2020-05-08,10,5,3,4,BF
166,2020-05-07,10,5,3,4,BF
167,2020-05-06,10,5,3,4,BF
168,2020-05-05,10,5,3,4,BF
