,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,7,2,0.0,0.0,BI
1,2020-10-19,7,2,0.0,0.0,BI
2,2020-10-18,7,2,0.0,0.0,BI
3,2020-10-17,7,2,0.0,0.0,BI
4,2020-10-16,7,1,1.0,0.0,BI
5,2020-10-15,7,2,0.0,0.0,BI
6,2020-10-14,7,2,0.0,0.0,BI
7,2020-10-13,7,2,0.0,0.0,BI
8,2020-10-12,7,2,0.0,0.0,BI
9,2020-10-11,7,2,0.0,0.0,BI
10,2020-10-10,7,2,0.0,0.0,BI
11,2020-10-09,7,2,0.0,0.0,BI
12,2020-10-08,7,2,0.0,0.0,BI
13,2020-10-07,7,2,0.0,0.0,BI
14,2020-10-06,7,2,0.0,0.0,BI
15,2020-10-05,7,2,0.0,0.0,BI
16,2020-10-04,7,2,0.0,0.0,BI
17,2020-10-03,7,2,0.0,0.0,BI
18,2020-10-02,7,2,0.0,0.0,BI
19,2020-10-01,7,2,0.0,0.0,BI
20,2020-09-30,7,2,0.0,0.0,BI
21,2020-09-29,7,1,1.0,0.0,BI
22,2020-09-28,7,2,0.0,0.0,BI
23,2020-09-27,7,1,1.0,0.0,BI
24,2020-09-26,7,1,1.0,0.0,BI
25,2020-09-25,7,1,1.0,0.0,BI
26,2020-09-24,7,2,0.0,0.0,BI
27,2020-09-23,7,1,1.0,0.0,BI
28,2020-09-22,7,2,0.0,0.0,BI
29,2020-09-21,7,1,1.0,0.0,BI
30,2020-09-20,7,2,0.0,0.0,BI
31,2020-09-19,7,2,0.0,0.0,BI
32,2020-09-18,7,2,0.0,0.0,BI
33,2020-09-17,7,2,0.0,0.0,BI
34,2020-09-16,7,2,0.0,0.0,BI
35,2020-09-15,7,2,0.0,0.0,BI
36,2020-09-14,7,2,0.0,0.0,BI
37,2020-09-13,7,2,0.0,0.0,BI
38,2020-09-12,7,2,0.0,0.0,BI
39,2020-09-11,7,2,0.0,0.0,BI
40,2020-09-10,7,2,0.0,0.0,BI
41,2020-09-09,7,2,0.0,0.0,BI
42,2020-09-08,7,2,0.0,0.0,BI
43,2020-09-07,7,2,0.0,0.0,BI
44,2020-09-06,7,2,0.0,0.0,BI
45,2020-09-05,7,2,0.0,0.0,BI
46,2020-09-04,7,2,0.0,0.0,BI
47,2020-09-03,7,2,0.0,0.0,BI
48,2020-09-02,7,2,0.0,0.0,BI
49,2020-09-01,7,1,1.0,0.0,BI
50,2020-08-31,7,1,1.0,0.0,BI
51,2020-08-30,7,2,0.0,0.0,BI
52,2020-08-29,7,2,0.0,0.0,BI
53,2020-08-28,7,2,0.0,0.0,BI
54,2020-08-27,7,2,0.0,0.0,BI
55,2020-08-26,7,2,0.0,0.0,BI
56,2020-08-25,7,2,0.0,0.0,BI
57,2020-08-24,7,0,2.0,0.0,BI
58,2020-08-23,7,2,0.0,0.0,BI
59,2020-08-22,7,2,0.0,0.0,BI
60,2020-08-21,7,2,0.0,0.0,BI
61,2020-08-20,7,1,1.0,0.0,BI
62,2020-08-19,7,2,0.0,0.0,BI
63,2020-08-18,7,2,0.0,0.0,BI
64,2020-08-17,7,2,0.0,0.0,BI
65,2020-08-16,7,1,1.0,0.0,BI
66,2020-08-15,7,1,1.0,0.0,BI
67,2020-08-14,7,2,0.0,0.0,BI
68,2020-08-13,7,2,0.0,0.0,BI
69,2020-08-12,7,2,0.0,0.0,BI
70,2020-08-11,7,2,0.0,0.0,BI
71,2020-08-10,7,1,1.0,0.0,BI
72,2020-08-09,7,2,0.0,0.0,BI
73,2020-08-08,7,2,0.0,0.0,BI
74,2020-08-07,7,2,0.0,0.0,BI
75,2020-08-06,7,2,0.0,0.0,BI
76,2020-08-05,7,2,0.0,0.0,BI
77,2020-08-04,7,2,0.0,0.0,BI
78,2020-08-03,7,2,0.0,0.0,BI
79,2020-08-02,7,2,0.0,0.0,BI
80,2020-08-01,7,2,0.0,0.0,BI
81,2020-07-31,7,2,0.0,0.0,BI
82,2020-07-30,7,2,0.0,0.0,BI
83,2020-07-29,7,2,0.0,0.0,BI
84,2020-07-28,7,2,0.0,0.0,BI
85,2020-07-27,7,2,0.0,0.0,BI
86,2020-07-26,7,2,0.0,0.0,BI
87,2020-07-25,7,2,0.0,0.0,BI
88,2020-07-24,7,2,0.0,0.0,BI
89,2020-07-23,7,2,0.0,0.0,BI
90,2020-07-22,7,2,0.0,0.0,BI
91,2020-07-21,7,1,1.0,0.0,BI
92,2020-07-20,7,2,0.0,0.0,BI
93,2020-07-19,7,1,1.0,0.0,BI
94,2020-07-18,7,1,1.0,0.0,BI
95,2020-07-17,7,2,0.0,0.0,BI
96,2020-07-16,7,2,0.0,0.0,BI
97,2020-07-15,7,2,0.0,0.0,BI
98,2020-07-14,7,2,0.0,0.0,BI
99,2020-07-13,7,2,0.0,0.0,BI
100,2020-07-12,7,2,0.0,0.0,BI
101,2020-07-11,7,2,0.0,0.0,BI
102,2020-07-10,7,2,0.0,0.0,BI
103,2020-07-09,7,2,0.0,0.0,BI
104,2020-07-08,7,2,0.0,0.0,BI
105,2020-07-07,7,2,0.0,0.0,BI
106,2020-07-06,7,2,0.0,0.0,BI
107,2020-07-05,7,2,0.0,0.0,BI
108,2020-07-04,7,2,0.0,0.0,BI
109,2020-07-03,7,2,0.0,0.0,BI
110,2020-07-02,7,2,0.0,0.0,BI
111,2020-07-01,7,2,0.0,0.0,BI
112,2020-06-30,7,2,0.0,0.0,BI
113,2020-06-29,7,2,0.0,0.0,BI
114,2020-06-28,7,2,0.0,0.0,BI
115,2020-06-27,7,2,0.0,0.0,BI
116,2020-06-26,7,2,0.0,0.0,BI
117,2020-06-25,7,2,0.0,0.0,BI
118,2020-06-24,7,2,0.0,0.0,BI
119,2020-06-23,7,2,0.0,0.0,BI
120,2020-06-22,7,1,1.0,0.0,BI
121,2020-06-21,7,1,1.0,0.0,BI
122,2020-06-20,7,2,0.0,0.0,BI
