,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,48,3,11,3.0,BJ
1,2020-10-19,48,5,9,3.0,BJ
2,2020-10-18,48,4,10,3.0,BJ
3,2020-10-17,48,5,9,3.0,BJ
4,2020-10-16,48,4,10,3.0,BJ
5,2020-10-15,48,4,10,3.0,BJ
6,2020-10-14,48,4,10,3.0,BJ
7,2020-10-13,48,3,11,3.0,BJ
8,2020-10-12,48,3,11,3.0,BJ
9,2020-10-11,48,4,10,3.0,BJ
10,2020-10-10,48,5,9,3.0,BJ
11,2020-10-09,47,4,11,3.0,BJ
12,2020-10-08,47,4,11,3.0,BJ
13,2020-10-07,47,7,8,3.0,BJ
14,2020-10-06,47,5,10,3.0,BJ
15,2020-10-05,47,5,10,3.0,BJ
16,2020-10-04,47,5,10,3.0,BJ
17,2020-10-03,47,6,9,3.0,BJ
18,2020-10-02,47,6,9,3.0,BJ
19,2020-10-01,47,5,10,3.0,BJ
20,2020-09-30,47,6,9,3.0,BJ
21,2020-09-29,47,6,9,3.0,BJ
22,2020-09-28,47,4,11,3.0,BJ
23,2020-09-27,47,5,10,3.0,BJ
24,2020-09-26,47,5,10,3.0,BJ
25,2020-09-25,47,6,9,3.0,BJ
26,2020-09-24,47,4,11,3.0,BJ
27,2020-09-23,47,5,10,3.0,BJ
28,2020-09-22,47,5,10,3.0,BJ
29,2020-09-21,47,4,11,3.0,BJ
30,2020-09-20,47,6,9,3.0,BJ
31,2020-09-19,47,4,11,3.0,BJ
32,2020-09-18,47,5,10,3.0,BJ
33,2020-09-17,47,6,9,3.0,BJ
34,2020-09-16,47,5,10,3.0,BJ
35,2020-09-15,47,5,10,3.0,BJ
36,2020-09-14,47,4,11,3.0,BJ
37,2020-09-13,47,5,10,3.0,BJ
38,2020-09-12,47,6,9,3.0,BJ
39,2020-09-11,47,4,11,3.0,BJ
40,2020-09-10,47,4,11,3.0,BJ
41,2020-09-09,47,4,11,3.0,BJ
42,2020-09-08,47,4,11,3.0,BJ
43,2020-09-07,47,4,11,3.0,BJ
44,2020-09-06,47,4,11,3.0,BJ
45,2020-09-05,47,4,11,3.0,BJ
46,2020-09-04,47,4,11,3.0,BJ
47,2020-09-03,47,4,11,3.0,BJ
48,2020-09-02,47,5,10,3.0,BJ
49,2020-09-01,47,5,10,3.0,BJ
50,2020-08-31,47,6,9,3.0,BJ
51,2020-08-30,47,5,10,3.0,BJ
52,2020-08-29,47,5,10,3.0,BJ
53,2020-08-28,47,4,11,3.0,BJ
54,2020-08-27,47,6,9,3.0,BJ
55,2020-08-26,47,6,9,3.0,BJ
56,2020-08-25,47,6,9,3.0,BJ
57,2020-08-24,47,5,10,3.0,BJ
58,2020-08-23,47,4,11,3.0,BJ
59,2020-08-22,47,5,10,3.0,BJ
60,2020-08-21,47,5,10,3.0,BJ
61,2020-08-20,47,5,10,3.0,BJ
62,2020-08-19,47,5,10,3.0,BJ
63,2020-08-18,47,6,9,3.0,BJ
64,2020-08-17,47,6,9,3.0,BJ
65,2020-08-16,47,3,12,3.0,BJ
66,2020-08-15,47,5,10,3.0,BJ
67,2020-08-14,47,4,11,3.0,BJ
68,2020-08-13,47,4,11,3.0,BJ
69,2020-08-12,47,4,11,3.0,BJ
70,2020-08-11,47,5,10,3.0,BJ
71,2020-08-10,49,4,9,3.0,BJ
72,2020-08-09,49,5,7,3.0,BJ
73,2020-08-08,49,4,8,3.0,BJ
74,2020-08-07,49,5,7,3.0,BJ
75,2020-08-06,49,5,7,3.0,BJ
76,2020-08-05,49,5,7,3.0,BJ
77,2020-08-04,49,5,7,3.0,BJ
78,2020-08-03,49,4,8,3.0,BJ
79,2020-08-02,49,3,9,3.0,BJ
80,2020-08-01,49,5,7,3.0,BJ
81,2020-07-31,49,6,6,3.0,BJ
82,2020-07-30,48,6,7,3.0,BJ
83,2020-07-29,49,4,8,3.0,BJ
84,2020-07-28,50,2,9,3.0,BJ
85,2020-07-27,50,3,8,3.0,BJ
86,2020-07-26,50,3,8,3.0,BJ
87,2020-07-25,50,3,8,3.0,BJ
88,2020-07-24,50,3,8,3.0,BJ
89,2020-07-23,50,3,8,3.0,BJ
90,2020-07-22,50,5,6,3.0,BJ
91,2020-07-21,50,3,8,3.0,BJ
92,2020-07-20,50,3,8,3.0,BJ
93,2020-07-19,50,3,8,3.0,BJ
94,2020-07-18,50,3,8,3.0,BJ
95,2020-07-17,50,2,9,3.0,BJ
96,2020-07-16,50,2,9,3.0,BJ
97,2020-07-15,50,3,8,3.0,BJ
98,2020-07-14,50,3,8,3.0,BJ
99,2020-07-13,50,4,7,3.0,BJ
100,2020-07-12,50,3,8,3.0,BJ
101,2020-07-11,50,3,8,3.0,BJ
102,2020-07-10,50,2,9,3.0,BJ
103,2020-07-09,50,3,8,3.0,BJ
104,2020-07-08,50,4,7,3.0,BJ
105,2020-07-07,50,3,7,3.0,BJ
106,2020-07-06,50,3,7,3.0,BJ
107,2020-07-05,50,3,7,3.0,BJ
108,2020-07-04,50,3,7,3.0,BJ
109,2020-07-03,50,3,7,3.0,BJ
110,2020-07-02,50,3,7,3.0,BJ
111,2020-07-01,50,4,6,3.0,BJ
112,2020-06-30,50,4,6,3.0,BJ
113,2020-06-29,50,4,6,3.0,BJ
114,2020-06-28,50,5,5,3.0,BJ
115,2020-06-27,50,4,6,3.0,BJ
116,2020-06-26,50,4,6,3.0,BJ
117,2020-06-25,50,4,6,3.0,BJ
118,2020-06-24,50,3,7,3.0,BJ
119,2020-06-23,50,4,6,3.0,BJ
120,2020-06-22,50,3,7,3.0,BJ
121,2020-06-21,50,3,7,3.0,BJ
122,2020-06-20,50,4,6,3.0,BJ
123,2020-06-19,50,4,6,3.0,BJ
124,2020-06-18,49,5,6,3.0,BJ
125,2020-06-17,49,3,8,3.0,BJ
126,2020-06-16,49,3,8,3.0,BJ
127,2020-06-15,49,3,8,3.0,BJ
128,2020-06-14,49,3,8,3.0,BJ
129,2020-06-13,49,6,5,3.0,BJ
