,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,4,0.0,0.0,BW
1,2020-10-19,2,4,0.0,0.0,BW
2,2020-10-18,2,4,0.0,0.0,BW
3,2020-10-17,2,4,0.0,0.0,BW
4,2020-10-16,2,4,0.0,0.0,BW
5,2020-10-15,2,4,0.0,0.0,BW
6,2020-10-14,2,4,0.0,0.0,BW
7,2020-10-13,2,4,0.0,0.0,BW
8,2020-10-12,2,4,0.0,0.0,BW
9,2020-10-11,2,4,0.0,0.0,BW
10,2020-10-10,2,4,0.0,0.0,BW
11,2020-10-09,2,4,0.0,0.0,BW
12,2020-10-08,2,4,0.0,0.0,BW
13,2020-10-07,2,4,0.0,0.0,BW
14,2020-10-06,2,4,0.0,0.0,BW
15,2020-10-05,2,4,0.0,0.0,BW
16,2020-10-04,2,4,0.0,0.0,BW
17,2020-10-03,2,4,0.0,0.0,BW
18,2020-10-02,2,4,0.0,0.0,BW
19,2020-10-01,2,4,0.0,0.0,BW
20,2020-09-30,2,4,0.0,0.0,BW
21,2020-09-29,2,4,0.0,0.0,BW
22,2020-09-28,2,4,0.0,0.0,BW
23,2020-09-27,2,4,0.0,0.0,BW
24,2020-09-26,2,4,0.0,0.0,BW
25,2020-09-25,2,4,0.0,0.0,BW
26,2020-09-24,2,4,0.0,0.0,BW
27,2020-09-23,2,4,0.0,0.0,BW
28,2020-09-22,3,3,0.0,0.0,BW
29,2020-09-21,3,3,0.0,0.0,BW
30,2020-09-20,3,3,0.0,0.0,BW
31,2020-09-19,3,3,0.0,0.0,BW
32,2020-09-18,3,3,0.0,0.0,BW
33,2020-09-17,3,3,0.0,0.0,BW
34,2020-09-16,3,3,0.0,0.0,BW
35,2020-09-15,3,3,0.0,0.0,BW
36,2020-09-14,3,3,0.0,0.0,BW
37,2020-09-13,3,3,0.0,0.0,BW
38,2020-09-12,3,3,0.0,0.0,BW
39,2020-09-11,3,3,0.0,0.0,BW
40,2020-09-10,3,3,0.0,0.0,BW
41,2020-09-09,3,3,0.0,0.0,BW
42,2020-09-08,3,3,0.0,0.0,BW
43,2020-09-07,3,3,0.0,0.0,BW
44,2020-09-06,3,3,0.0,0.0,BW
45,2020-09-05,3,3,0.0,0.0,BW
46,2020-09-04,3,3,0.0,0.0,BW
47,2020-09-03,3,3,0.0,0.0,BW
48,2020-09-02,3,3,0.0,0.0,BW
49,2020-09-01,3,3,0.0,0.0,BW
50,2020-08-31,3,3,0.0,0.0,BW
51,2020-08-30,3,3,0.0,0.0,BW
52,2020-08-29,3,3,0.0,0.0,BW
53,2020-08-28,3,3,0.0,0.0,BW
54,2020-08-27,3,3,0.0,0.0,BW
55,2020-08-26,3,3,0.0,0.0,BW
56,2020-08-25,3,3,0.0,0.0,BW
57,2020-08-24,3,3,0.0,0.0,BW
58,2020-08-23,3,3,0.0,0.0,BW
59,2020-08-22,3,3,0.0,0.0,BW
60,2020-08-21,3,3,0.0,0.0,BW
61,2020-08-20,3,3,0.0,0.0,BW
62,2020-08-19,3,3,0.0,0.0,BW
63,2020-08-18,3,3,0.0,0.0,BW
64,2020-08-17,3,3,0.0,0.0,BW
65,2020-08-16,3,3,0.0,0.0,BW
66,2020-08-15,3,3,0.0,0.0,BW
67,2020-08-14,3,3,0.0,0.0,BW
68,2020-08-13,3,3,0.0,0.0,BW
69,2020-08-12,3,3,0.0,0.0,BW
70,2020-08-11,3,3,0.0,0.0,BW
71,2020-08-10,3,3,0.0,0.0,BW
72,2020-08-09,3,1,2.0,0.0,BW
73,2020-08-08,3,3,0.0,0.0,BW
74,2020-08-07,3,3,0.0,0.0,BW
75,2020-08-06,3,3,0.0,0.0,BW
76,2020-08-05,3,3,0.0,0.0,BW
77,2020-08-04,3,3,0.0,0.0,BW
78,2020-08-03,3,3,0.0,0.0,BW
