,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,8,0,0,7,CG
1,2020-10-19,8,0,0,7,CG
2,2020-10-18,8,0,0,7,CG
3,2020-10-17,8,0,0,7,CG
4,2020-10-16,8,0,0,7,CG
5,2020-10-15,8,0,0,7,CG
6,2020-10-14,8,0,0,7,CG
7,2020-10-13,8,0,0,7,CG
8,2020-10-12,8,0,0,7,CG
9,2020-10-11,8,0,0,7,CG
10,2020-10-10,8,0,0,7,CG
11,2020-10-09,8,0,0,7,CG
12,2020-10-08,8,0,0,7,CG
13,2020-10-07,8,0,0,7,CG
14,2020-10-06,8,0,0,7,CG
15,2020-10-05,8,0,0,7,CG
16,2020-10-04,8,0,0,7,CG
17,2020-10-03,8,0,0,7,CG
18,2020-10-02,8,0,0,7,CG
19,2020-10-01,8,0,0,7,CG
20,2020-09-30,8,0,0,7,CG
21,2020-09-29,8,0,0,7,CG
22,2020-09-28,8,0,0,7,CG
23,2020-09-27,8,0,0,7,CG
24,2020-09-26,8,0,0,7,CG
25,2020-09-25,8,0,0,7,CG
26,2020-09-24,8,0,0,7,CG
27,2020-09-23,8,0,0,7,CG
28,2020-09-22,8,0,0,7,CG
29,2020-09-21,8,0,0,7,CG
30,2020-09-20,8,0,0,7,CG
31,2020-09-19,8,0,0,7,CG
32,2020-09-18,8,0,0,7,CG
33,2020-09-17,8,0,0,7,CG
34,2020-09-16,8,0,0,7,CG
35,2020-09-15,8,0,0,7,CG
36,2020-09-14,8,0,0,7,CG
37,2020-09-13,8,0,0,7,CG
38,2020-09-12,8,0,0,7,CG
39,2020-09-11,8,0,0,7,CG
40,2020-09-10,8,0,0,7,CG
41,2020-09-09,8,0,0,7,CG
42,2020-09-08,8,0,0,7,CG
43,2020-09-07,8,0,0,7,CG
44,2020-09-06,8,0,0,7,CG
45,2020-09-05,8,0,0,7,CG
46,2020-09-04,8,0,0,7,CG
47,2020-09-03,8,0,0,7,CG
48,2020-09-02,8,0,0,7,CG
49,2020-09-01,8,0,0,7,CG
50,2020-08-31,8,0,0,7,CG
51,2020-08-30,8,0,0,7,CG
52,2020-08-29,8,0,0,7,CG
53,2020-08-28,8,0,0,7,CG
54,2020-08-27,8,0,0,7,CG
55,2020-08-26,8,0,0,7,CG
56,2020-08-25,8,0,0,7,CG
57,2020-08-24,8,0,0,7,CG
58,2020-08-23,8,0,0,7,CG
59,2020-08-22,8,0,0,7,CG
60,2020-08-21,8,0,0,7,CG
61,2020-08-20,8,0,0,7,CG
62,2020-08-19,8,0,0,7,CG
63,2020-08-18,8,0,0,7,CG
64,2020-08-17,8,0,0,7,CG
65,2020-08-16,8,0,0,7,CG
66,2020-08-15,8,0,0,7,CG
67,2020-08-14,8,0,0,7,CG
68,2020-08-13,8,0,0,7,CG
69,2020-08-12,8,0,0,7,CG
70,2020-08-11,8,0,0,7,CG
71,2020-08-10,8,0,0,7,CG
72,2020-08-09,8,0,0,7,CG
73,2020-08-08,8,0,0,7,CG
74,2020-08-07,8,0,0,7,CG
75,2020-08-06,8,0,0,7,CG
76,2020-08-05,8,0,0,7,CG
77,2020-08-04,8,0,0,7,CG
78,2020-08-03,8,0,0,7,CG
79,2020-08-02,8,0,0,7,CG
80,2020-08-01,8,0,0,7,CG
81,2020-07-31,8,0,0,7,CG
82,2020-07-30,8,0,0,7,CG
83,2020-07-29,8,0,0,7,CG
84,2020-07-28,8,0,0,7,CG
85,2020-07-27,8,0,0,7,CG
86,2020-07-26,8,0,0,7,CG
87,2020-07-25,8,0,0,7,CG
88,2020-07-24,8,0,0,7,CG
