,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,13,0.0,1.0,4,CI
1,2020-10-19,13,0.0,1.0,4,CI
2,2020-10-18,13,0.0,1.0,4,CI
3,2020-10-17,13,0.0,1.0,4,CI
4,2020-10-16,13,0.0,1.0,4,CI
5,2020-10-15,13,0.0,1.0,4,CI
6,2020-10-14,13,0.0,1.0,4,CI
7,2020-10-13,13,0.0,1.0,4,CI
8,2020-10-12,13,0.0,1.0,4,CI
9,2020-10-11,13,0.0,1.0,4,CI
10,2020-10-10,13,0.0,1.0,4,CI
11,2020-10-09,13,0.0,1.0,4,CI
12,2020-10-08,13,0.0,1.0,4,CI
13,2020-10-07,13,0.0,1.0,4,CI
14,2020-10-06,13,0.0,1.0,4,CI
15,2020-10-05,13,0.0,1.0,4,CI
16,2020-10-04,13,0.0,1.0,4,CI
17,2020-10-03,13,0.0,1.0,4,CI
18,2020-10-02,13,0.0,1.0,4,CI
19,2020-10-01,13,0.0,1.0,4,CI
20,2020-09-30,13,0.0,1.0,4,CI
21,2020-09-29,13,0.0,1.0,4,CI
22,2020-09-28,13,0.0,1.0,4,CI
23,2020-09-27,13,0.0,1.0,4,CI
24,2020-09-26,13,0.0,1.0,4,CI
25,2020-09-25,13,0.0,1.0,4,CI
26,2020-09-24,13,0.0,1.0,4,CI
27,2020-09-23,13,0.0,1.0,4,CI
28,2020-09-22,13,0.0,1.0,4,CI
29,2020-09-21,13,0.0,1.0,4,CI
30,2020-09-20,13,0.0,1.0,4,CI
31,2020-09-19,13,0.0,1.0,4,CI
32,2020-09-18,13,0.0,1.0,4,CI
33,2020-09-17,13,0.0,1.0,4,CI
34,2020-09-16,13,0.0,1.0,4,CI
35,2020-09-15,13,0.0,1.0,4,CI
36,2020-09-14,13,0.0,1.0,4,CI
37,2020-09-13,13,0.0,1.0,4,CI
38,2020-09-12,13,0.0,1.0,4,CI
39,2020-09-11,13,0.0,1.0,4,CI
40,2020-09-10,13,0.0,1.0,4,CI
41,2020-09-09,13,0.0,1.0,4,CI
42,2020-09-08,13,0.0,1.0,4,CI
43,2020-09-07,13,0.0,1.0,4,CI
44,2020-09-06,13,0.0,1.0,4,CI
45,2020-09-05,13,0.0,1.0,4,CI
46,2020-09-04,13,0.0,1.0,4,CI
47,2020-09-03,13,0.0,1.0,4,CI
48,2020-09-02,13,0.0,1.0,4,CI
49,2020-09-01,13,0.0,1.0,4,CI
50,2020-08-31,13,0.0,1.0,4,CI
51,2020-08-30,13,0.0,1.0,4,CI
52,2020-08-29,13,0.0,1.0,4,CI
53,2020-08-28,13,0.0,1.0,4,CI
54,2020-08-27,13,0.0,1.0,4,CI
55,2020-08-26,13,0.0,1.0,4,CI
56,2020-08-25,13,0.0,1.0,4,CI
57,2020-08-24,13,0.0,1.0,4,CI
58,2020-08-23,13,0.0,1.0,4,CI
59,2020-08-22,13,0.0,1.0,4,CI
60,2020-08-21,13,1.0,0.0,4,CI
61,2020-08-20,13,1.0,0.0,4,CI
62,2020-08-19,13,1.0,0.0,4,CI
63,2020-08-18,13,1.0,0.0,4,CI
64,2020-08-17,13,1.0,0.0,4,CI
65,2020-08-16,13,1.0,0.0,4,CI
66,2020-08-15,13,1.0,0.0,4,CI
67,2020-08-14,13,1.0,0.0,4,CI
68,2020-08-13,13,1.0,0.0,4,CI
69,2020-08-12,13,1.0,0.0,4,CI
70,2020-08-11,13,1.0,0.0,4,CI
71,2020-08-10,13,1.0,0.0,4,CI
72,2020-08-09,13,1.0,0.0,4,CI
73,2020-08-08,13,1.0,0.0,4,CI
74,2020-08-07,13,1.0,0.0,4,CI
75,2020-08-06,13,1.0,0.0,4,CI
76,2020-08-05,13,1.0,0.0,4,CI
77,2020-08-04,13,1.0,0.0,4,CI
78,2020-08-03,13,1.0,0.0,4,CI
79,2020-08-02,13,1.0,0.0,4,CI
80,2020-08-01,13,1.0,0.0,4,CI
81,2020-07-31,13,1.0,0.0,4,CI
82,2020-07-30,13,1.0,0.0,4,CI
83,2020-07-29,13,1.0,0.0,4,CI
84,2020-07-28,13,1.0,0.0,4,CI
85,2020-07-27,13,1.0,0.0,4,CI
86,2020-07-26,13,1.0,0.0,4,CI
87,2020-07-25,13,1.0,0.0,4,CI
88,2020-07-24,13,1.0,0.0,4,CI
89,2020-07-23,13,1.0,0.0,4,CI
90,2020-07-22,13,1.0,0.0,4,CI
91,2020-07-21,13,1.0,0.0,4,CI
92,2020-07-20,13,1.0,0.0,4,CI
93,2020-07-19,13,1.0,0.0,4,CI
94,2020-07-18,13,1.0,0.0,4,CI
95,2020-07-17,13,1.0,0.0,4,CI
96,2020-07-16,13,1.0,0.0,4,CI
97,2020-07-15,13,1.0,0.0,4,CI
98,2020-07-14,13,1.0,0.0,4,CI
99,2020-07-13,13,1.0,0.0,4,CI
100,2020-07-12,13,1.0,0.0,4,CI
101,2020-07-11,13,1.0,0.0,4,CI
102,2020-07-10,13,1.0,0.0,4,CI
103,2020-07-09,13,1.0,0.0,4,CI
104,2020-07-08,13,1.0,0.0,4,CI
105,2020-07-07,13,1.0,0.0,4,CI
106,2020-07-06,13,1.0,0.0,4,CI
107,2020-07-05,13,1.0,0.0,4,CI
108,2020-07-04,13,1.0,0.0,4,CI
109,2020-07-03,13,1.0,0.0,4,CI
110,2020-07-02,13,1.0,0.0,4,CI
111,2020-07-01,13,1.0,0.0,4,CI
112,2020-06-30,13,1.0,0.0,4,CI
113,2020-06-29,13,1.0,0.0,4,CI
114,2020-06-28,13,1.0,0.0,4,CI
115,2020-06-27,13,1.0,0.0,4,CI
116,2020-06-26,13,1.0,0.0,4,CI
117,2020-06-25,13,1.0,0.0,4,CI
118,2020-06-24,13,1.0,0.0,4,CI
119,2020-06-23,13,1.0,0.0,4,CI
120,2020-06-22,13,1.0,0.0,4,CI
121,2020-06-21,13,1.0,0.0,4,CI
122,2020-06-20,13,1.0,0.0,4,CI
123,2020-06-19,13,1.0,0.0,4,CI
124,2020-06-18,13,1.0,0.0,4,CI
125,2020-06-17,13,1.0,0.0,4,CI
126,2020-06-16,13,1.0,0.0,4,CI
127,2020-06-15,13,1.0,0.0,4,CI
128,2020-06-14,13,1.0,0.0,4,CI
