,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,1.0,0,0.0,0.0,CV
1,2020-10-19,1.0,0,0.0,0.0,CV
2,2020-10-18,1.0,0,0.0,0.0,CV
3,2020-10-17,1.0,0,0.0,0.0,CV
4,2020-10-16,1.0,0,0.0,0.0,CV
5,2020-10-15,1.0,0,0.0,0.0,CV
6,2020-10-14,1.0,0,0.0,0.0,CV
7,2020-10-13,1.0,0,0.0,0.0,CV
8,2020-10-12,1.0,0,0.0,0.0,CV
9,2020-10-11,1.0,0,0.0,0.0,CV
10,2020-10-10,1.0,0,0.0,0.0,CV
11,2020-10-09,1.0,0,0.0,0.0,CV
12,2020-10-08,1.0,0,0.0,0.0,CV
13,2020-10-07,1.0,0,0.0,0.0,CV
14,2020-10-06,1.0,0,0.0,0.0,CV
15,2020-10-05,1.0,0,0.0,0.0,CV
16,2020-10-04,1.0,0,0.0,0.0,CV
17,2020-10-03,1.0,0,0.0,0.0,CV
18,2020-10-02,1.0,0,0.0,0.0,CV
19,2020-10-01,1.0,0,0.0,0.0,CV
20,2020-09-30,1.0,0,0.0,0.0,CV
21,2020-09-29,1.0,0,0.0,0.0,CV
22,2020-09-28,1.0,0,0.0,0.0,CV
23,2020-09-27,1.0,0,0.0,0.0,CV
24,2020-09-26,1.0,0,0.0,0.0,CV
25,2020-09-25,1.0,0,0.0,0.0,CV
26,2020-09-24,1.0,0,0.0,0.0,CV
27,2020-09-23,1.0,0,0.0,0.0,CV
28,2020-09-22,1.0,0,0.0,0.0,CV
29,2020-09-21,1.0,0,0.0,0.0,CV
30,2020-09-20,1.0,0,0.0,0.0,CV
31,2020-09-19,1.0,0,0.0,0.0,CV
32,2020-09-18,1.0,0,0.0,0.0,CV
33,2020-09-17,1.0,0,0.0,0.0,CV
34,2020-09-16,1.0,0,0.0,0.0,CV
35,2020-09-15,1.0,0,0.0,0.0,CV
36,2020-09-14,1.0,0,0.0,0.0,CV
37,2020-09-13,1.0,0,0.0,0.0,CV
38,2020-09-12,1.0,0,0.0,0.0,CV
39,2020-09-11,1.0,0,0.0,0.0,CV
40,2020-09-10,1.0,0,0.0,0.0,CV
41,2020-09-09,1.0,0,0.0,0.0,CV
42,2020-09-08,1.0,0,0.0,0.0,CV
43,2020-09-07,1.0,0,0.0,0.0,CV
44,2020-09-06,1.0,0,0.0,0.0,CV
45,2020-09-05,1.0,0,0.0,0.0,CV
46,2020-09-04,1.0,0,0.0,0.0,CV
47,2020-09-03,1.0,0,0.0,0.0,CV
48,2020-09-02,1.0,0,0.0,0.0,CV
49,2020-09-01,1.0,0,0.0,0.0,CV
50,2020-08-31,1.0,0,0.0,0.0,CV
51,2020-08-30,1.0,0,0.0,0.0,CV
52,2020-08-29,1.0,0,0.0,0.0,CV
53,2020-08-28,1.0,0,0.0,0.0,CV
54,2020-08-27,1.0,0,0.0,0.0,CV
55,2020-08-26,1.0,0,0.0,0.0,CV
56,2020-08-25,1.0,0,0.0,0.0,CV
57,2020-08-24,1.0,0,0.0,0.0,CV
58,2020-08-23,1.0,0,0.0,0.0,CV
59,2020-08-22,1.0,0,0.0,0.0,CV
60,2020-08-21,1.0,0,0.0,0.0,CV
61,2020-08-20,1.0,0,0.0,0.0,CV
62,2020-08-19,1.0,0,0.0,0.0,CV
63,2020-08-18,1.0,0,0.0,0.0,CV
64,2020-08-17,1.0,0,0.0,0.0,CV
65,2020-08-16,1.0,0,0.0,0.0,CV
66,2020-08-15,1.0,0,0.0,0.0,CV
67,2020-08-14,1.0,0,0.0,0.0,CV
68,2020-08-13,1.0,0,0.0,0.0,CV
69,2020-08-12,1.0,0,0.0,0.0,CV
70,2020-08-11,1.0,0,0.0,0.0,CV
71,2020-08-10,1.0,0,0.0,0.0,CV
72,2020-08-09,1.0,0,0.0,0.0,CV
73,2020-08-08,1.0,0,0.0,0.0,CV
74,2020-08-07,1.0,0,0.0,0.0,CV
75,2020-08-06,1.0,0,0.0,0.0,CV
76,2020-08-05,1.0,0,0.0,0.0,CV
77,2020-08-04,1.0,0,0.0,0.0,CV
78,2020-08-03,1.0,0,0.0,0.0,CV
79,2020-08-02,1.0,0,0.0,0.0,CV
80,2020-08-01,1.0,0,0.0,0.0,CV
81,2020-07-31,1.0,0,0.0,0.0,CV
82,2020-07-30,1.0,0,0.0,0.0,CV
83,2020-07-29,1.0,0,0.0,0.0,CV
84,2020-07-28,1.0,0,0.0,0.0,CV
85,2020-07-27,1.0,0,0.0,0.0,CV
86,2020-07-26,1.0,0,0.0,0.0,CV
87,2020-07-25,1.0,0,0.0,0.0,CV
88,2020-07-24,1.0,0,0.0,0.0,CV
89,2020-07-23,1.0,0,0.0,0.0,CV
90,2020-07-22,1.0,0,0.0,0.0,CV
91,2020-07-21,1.0,0,0.0,0.0,CV
92,2020-07-20,1.0,0,0.0,0.0,CV
93,2020-07-19,1.0,0,0.0,0.0,CV
94,2020-07-18,1.0,0,0.0,0.0,CV
95,2020-07-17,1.0,0,0.0,0.0,CV
96,2020-07-16,1.0,0,0.0,0.0,CV
97,2020-07-15,1.0,0,0.0,0.0,CV
98,2020-07-14,1.0,0,0.0,0.0,CV
99,2020-07-13,1.0,0,0.0,0.0,CV
100,2020-07-12,1.0,0,0.0,0.0,CV
101,2020-07-11,1.0,0,0.0,0.0,CV
102,2020-07-10,1.0,0,0.0,0.0,CV
103,2020-07-09,1.0,0,0.0,0.0,CV
104,2020-07-08,1.0,0,0.0,0.0,CV
105,2020-07-07,1.0,0,0.0,0.0,CV
106,2020-07-06,1.0,0,0.0,0.0,CV
107,2020-07-05,1.0,0,0.0,0.0,CV
108,2020-07-04,1.0,0,0.0,0.0,CV
109,2020-07-03,1.0,0,0.0,0.0,CV
110,2020-07-02,1.0,0,0.0,0.0,CV
111,2020-07-01,1.0,0,0.0,0.0,CV
112,2020-06-30,1.0,0,0.0,0.0,CV
113,2020-06-29,1.0,0,0.0,0.0,CV
114,2020-06-28,1.0,0,0.0,0.0,CV
115,2020-06-27,1.0,0,0.0,0.0,CV
116,2020-06-26,1.0,0,0.0,0.0,CV
117,2020-06-25,1.0,0,0.0,0.0,CV
118,2020-06-24,1.0,0,0.0,0.0,CV
119,2020-06-23,1.0,0,0.0,0.0,CV
120,2020-06-22,1.0,0,0.0,0.0,CV
121,2020-06-21,1.0,0,0.0,0.0,CV
122,2020-06-20,1.0,0,0.0,0.0,CV
123,2020-06-19,1.0,0,0.0,0.0,CV
124,2020-06-18,1.0,0,0.0,0.0,CV
125,2020-06-17,1.0,0,0.0,0.0,CV
126,2020-06-16,1.0,0,0.0,0.0,CV
127,2020-06-15,1.0,0,0.0,0.0,CV
128,2020-06-14,1.0,0,0.0,0.0,CV
129,2020-06-13,1.0,0,0.0,0.0,CV
130,2020-06-12,1.0,0,0.0,0.0,CV
131,2020-06-11,1.0,0,0.0,0.0,CV
132,2020-06-10,1.0,0,0.0,0.0,CV
133,2020-06-09,1.0,0,0.0,0.0,CV
134,2020-06-08,1.0,0,0.0,0.0,CV
135,2020-06-07,1.0,0,0.0,0.0,CV
136,2020-06-06,1.0,0,0.0,0.0,CV
137,2020-06-05,1.0,0,0.0,0.0,CV
138,2020-06-04,1.0,0,0.0,0.0,CV
139,2020-06-03,1.0,0,0.0,0.0,CV
140,2020-06-02,1.0,0,0.0,0.0,CV
141,2020-06-01,1.0,0,0.0,0.0,CV
142,2020-05-31,1.0,0,0.0,0.0,CV
143,2020-05-30,1.0,0,0.0,0.0,CV
144,2020-05-29,1.0,0,0.0,0.0,CV
145,2020-05-28,1.0,0,0.0,0.0,CV
146,2020-05-27,1.0,0,0.0,0.0,CV
147,2020-05-26,1.0,0,0.0,0.0,CV
148,2020-05-25,1.0,0,0.0,0.0,CV
149,2020-05-24,1.0,0,0.0,0.0,CV
150,2020-05-23,1.0,0,0.0,0.0,CV
151,2020-05-22,1.0,0,0.0,0.0,CV
152,2020-05-21,1.0,0,0.0,0.0,CV
153,2020-05-20,1.0,0,0.0,0.0,CV
154,2020-05-19,1.0,0,0.0,0.0,CV
155,2020-05-18,1.0,0,0.0,0.0,CV
156,2020-05-17,1.0,0,0.0,0.0,CV
157,2020-05-16,1.0,0,0.0,0.0,CV
158,2020-05-15,1.0,0,0.0,0.0,CV
159,2020-05-14,1.0,0,0.0,0.0,CV
160,2020-05-13,1.0,0,0.0,0.0,CV
161,2020-05-12,1.0,0,0.0,0.0,CV
162,2020-05-11,1.0,0,0.0,0.0,CV
163,2020-05-10,1.0,0,0.0,0.0,CV
164,2020-05-09,1.0,0,0.0,0.0,CV
165,2020-05-08,1.0,0,0.0,0.0,CV
166,2020-05-07,1.0,0,0.0,0.0,CV
167,2020-05-06,1.0,0,0.0,0.0,CV
168,2020-05-05,1.0,0,0.0,0.0,CV
169,2020-05-03,1.0,0,0.0,0.0,CV
170,2020-05-02,1.0,0,0.0,0.0,CV
171,2020-05-01,1.0,0,0.0,0.0,CV
172,2020-04-30,1.0,0,0.0,0.0,CV
173,2020-04-29,1.0,0,0.0,0.0,CV
174,2020-04-28,1.0,0,0.0,0.0,CV
175,2020-04-27,1.0,0,0.0,0.0,CV
176,2020-04-26,1.0,0,0.0,0.0,CV
177,2020-04-25,1.0,0,0.0,0.0,CV
178,2020-04-24,1.0,0,0.0,0.0,CV
179,2020-04-23,1.0,0,0.0,0.0,CV
180,2020-04-22,1.0,0,0.0,0.0,CV
181,2020-04-21,1.0,0,0.0,0.0,CV
182,2020-04-20,1.0,0,0.0,0.0,CV
183,2020-04-19,1.0,0,0.0,0.0,CV
184,2020-04-18,1.0,0,0.0,0.0,CV
185,2020-04-17,1.0,0,0.0,0.0,CV
186,2020-04-16,1.0,0,0.0,0.0,CV
187,2020-04-15,1.0,0,0.0,0.0,CV
188,2020-04-14,1.0,0,0.0,0.0,CV
189,2020-04-13,1.0,0,0.0,0.0,CV
190,2020-04-12,1.0,0,0.0,0.0,CV
191,2020-04-11,1.0,0,0.0,0.0,CV
192,2020-04-10,1.0,0,0.0,0.0,CV
193,2020-04-09,1.0,0,0.0,0.0,CV
194,2020-04-08,1.0,0,0.0,0.0,CV
195,2020-04-07,1.0,0,0.0,0.0,CV
196,2020-04-06,1.0,0,0.0,0.0,CV
197,2020-04-05,1.0,0,0.0,0.0,CV
198,2020-04-04,1.0,0,0.0,0.0,CV
199,2020-04-03,1.0,0,0.0,0.0,CV
200,2020-04-02,1.0,0,0.0,0.0,CV
201,2020-04-01,1.0,0,0.0,0.0,CV
202,2020-03-31,1.0,0,0.0,0.0,CV
203,2020-03-30,1.0,0,0.0,0.0,CV
204,2020-03-29,1.0,0,0.0,0.0,CV
205,2020-03-28,1.0,0,0.0,0.0,CV
206,2020-03-27,1.0,0,0.0,0.0,CV
207,2020-03-26,1.0,0,0.0,0.0,CV
208,2020-03-25,1.0,0,0.0,0.0,CV
209,2020-03-24,1.0,0,0.0,0.0,CV
210,2020-03-23,1.0,0,0.0,0.0,CV
211,2020-03-22,1.0,0,0.0,0.0,CV
212,2020-03-21,1.0,0,0.0,0.0,CV
213,2020-03-20,1.0,0,0.0,0.0,CV
214,2020-03-19,1.0,0,0.0,0.0,CV
215,2020-03-18,1.0,0,0.0,0.0,CV
216,2020-03-17,0.0,0,1.0,0.0,CV
217,2020-03-16,0.0,0,1.0,0.0,CV
218,2020-03-15,0.0,0,1.0,0.0,CV
219,2020-03-14,0.0,0,1.0,0.0,CV
220,2020-03-13,0.0,0,1.0,0.0,CV
221,2020-03-12,0.0,0,1.0,0.0,CV
222,2020-03-11,0.0,0,1.0,0.0,CV
223,2020-03-10,0.0,0,1.0,0.0,CV
224,2020-03-09,0.0,0,1.0,0.0,CV
225,2020-03-08,0.0,0,1.0,0.0,CV
226,2020-03-07,0.0,0,1.0,0.0,CV
227,2020-03-06,0.0,0,1.0,0.0,CV
228,2020-03-05,0.0,0,1.0,0.0,CV
229,2020-03-04,0.0,0,1.0,0.0,CV
230,2020-03-03,0.0,0,1.0,0.0,CV
231,2020-03-02,0.0,0,1.0,0.0,CV
232,2020-03-01,0.0,0,1.0,0.0,CV
233,2020-02-29,0.0,0,1.0,0.0,CV
234,2020-02-28,0.0,0,1.0,0.0,CV
235,2020-02-27,0.0,0,1.0,0.0,CV
236,2020-02-26,0.0,0,1.0,0.0,CV
237,2020-02-25,0.0,0,1.0,0.0,CV
238,2020-02-24,0.0,0,1.0,0.0,CV
239,2020-02-23,0.0,0,1.0,0.0,CV
240,2020-02-22,0.0,0,1.0,0.0,CV
241,2020-02-21,0.0,0,1.0,0.0,CV
242,2020-02-20,0.0,0,1.0,0.0,CV
243,2020-02-19,0.0,0,1.0,0.0,CV
244,2020-02-18,0.0,0,1.0,0.0,CV
245,2020-02-17,0.0,0,1.0,0.0,CV
246,2020-02-16,0.0,0,1.0,0.0,CV
