,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,1.0,0.0,1,DJ
1,2020-10-19,2,1.0,0.0,1,DJ
2,2020-10-18,2,1.0,0.0,1,DJ
3,2020-10-17,2,1.0,0.0,1,DJ
4,2020-10-16,2,1.0,0.0,1,DJ
5,2020-10-15,2,1.0,0.0,1,DJ
6,2020-10-14,2,1.0,0.0,1,DJ
7,2020-10-13,2,1.0,0.0,1,DJ
8,2020-10-12,2,1.0,0.0,1,DJ
9,2020-10-11,2,1.0,0.0,1,DJ
10,2020-10-10,2,1.0,0.0,1,DJ
11,2020-10-09,2,1.0,0.0,1,DJ
12,2020-10-08,2,1.0,0.0,1,DJ
13,2020-10-07,2,1.0,0.0,1,DJ
14,2020-10-06,2,1.0,0.0,1,DJ
15,2020-10-05,2,1.0,0.0,1,DJ
16,2020-10-04,1,1.0,1.0,1,DJ
17,2020-10-03,1,1.0,1.0,1,DJ
18,2020-10-02,1,1.0,1.0,1,DJ
19,2020-10-01,1,1.0,1.0,1,DJ
20,2020-09-30,1,1.0,1.0,1,DJ
21,2020-09-29,1,1.0,1.0,1,DJ
22,2020-09-28,1,1.0,1.0,1,DJ
23,2020-09-27,1,1.0,1.0,1,DJ
24,2020-09-26,1,1.0,1.0,1,DJ
25,2020-09-25,1,1.0,1.0,1,DJ
26,2020-09-24,1,1.0,1.0,1,DJ
27,2020-09-23,1,1.0,1.0,1,DJ
28,2020-09-22,1,1.0,1.0,1,DJ
29,2020-09-21,1,1.0,1.0,1,DJ
30,2020-09-20,1,1.0,1.0,1,DJ
31,2020-09-19,1,1.0,1.0,1,DJ
32,2020-09-18,1,1.0,1.0,1,DJ
33,2020-09-17,1,1.0,1.0,1,DJ
34,2020-09-16,1,1.0,1.0,1,DJ
35,2020-09-15,1,1.0,1.0,1,DJ
36,2020-09-14,1,1.0,1.0,1,DJ
37,2020-09-13,1,1.0,1.0,1,DJ
38,2020-09-12,1,1.0,1.0,1,DJ
39,2020-09-11,1,1.0,1.0,1,DJ
40,2020-09-10,1,1.0,1.0,1,DJ
41,2020-09-09,1,1.0,1.0,1,DJ
42,2020-09-08,1,1.0,1.0,1,DJ
43,2020-09-07,1,1.0,1.0,1,DJ
44,2020-09-06,1,1.0,1.0,1,DJ
45,2020-09-05,1,1.0,1.0,1,DJ
46,2020-09-04,1,1.0,1.0,1,DJ
47,2020-09-03,1,1.0,1.0,1,DJ
48,2020-09-02,1,1.0,1.0,1,DJ
49,2020-09-01,1,1.0,1.0,1,DJ
50,2020-08-31,1,1.0,1.0,1,DJ
51,2020-08-30,1,1.0,1.0,1,DJ
52,2020-08-29,1,1.0,1.0,1,DJ
53,2020-08-28,1,1.0,1.0,1,DJ
54,2020-08-27,1,1.0,1.0,1,DJ
55,2020-08-26,1,1.0,1.0,1,DJ
56,2020-08-25,1,1.0,1.0,1,DJ
57,2020-08-24,1,1.0,1.0,1,DJ
58,2020-08-23,1,1.0,1.0,1,DJ
59,2020-08-22,1,1.0,1.0,1,DJ
60,2020-08-21,1,1.0,1.0,1,DJ
61,2020-08-20,1,1.0,1.0,1,DJ
62,2020-08-19,1,1.0,1.0,1,DJ
63,2020-08-18,1,1.0,1.0,1,DJ
64,2020-08-17,1,1.0,1.0,1,DJ
65,2020-08-16,1,1.0,1.0,1,DJ
66,2020-08-15,1,1.0,1.0,1,DJ
67,2020-08-14,1,1.0,1.0,1,DJ
68,2020-08-13,1,1.0,1.0,1,DJ
69,2020-08-12,1,1.0,1.0,1,DJ
70,2020-08-11,1,1.0,1.0,1,DJ
71,2020-08-10,1,1.0,1.0,1,DJ
72,2020-08-09,1,1.0,1.0,1,DJ
73,2020-08-08,1,1.0,1.0,1,DJ
74,2020-08-07,1,1.0,1.0,1,DJ
75,2020-08-06,1,1.0,1.0,1,DJ
76,2020-08-05,1,1.0,1.0,1,DJ
77,2020-08-04,1,1.0,1.0,1,DJ
78,2020-08-03,1,1.0,1.0,1,DJ
79,2020-08-02,1,1.0,1.0,1,DJ
80,2020-08-01,1,1.0,1.0,1,DJ
81,2020-07-31,1,1.0,1.0,1,DJ
82,2020-07-30,1,1.0,1.0,1,DJ
83,2020-07-29,1,1.0,1.0,1,DJ
84,2020-07-28,1,1.0,1.0,1,DJ
85,2020-07-27,1,1.0,1.0,1,DJ
86,2020-07-26,1,1.0,1.0,1,DJ
87,2020-07-25,1,1.0,1.0,1,DJ
88,2020-07-24,1,1.0,1.0,1,DJ
89,2020-07-23,1,1.0,1.0,1,DJ
90,2020-07-22,1,1.0,1.0,1,DJ
91,2020-07-21,1,1.0,1.0,1,DJ
92,2020-07-20,1,1.0,1.0,1,DJ
93,2020-07-19,1,1.0,1.0,1,DJ
94,2020-07-18,1,1.0,1.0,1,DJ
95,2020-07-17,1,1.0,1.0,1,DJ
96,2020-07-16,1,1.0,1.0,1,DJ
97,2020-07-15,1,1.0,1.0,1,DJ
98,2020-07-14,1,1.0,1.0,1,DJ
99,2020-07-13,1,1.0,1.0,1,DJ
100,2020-07-12,1,1.0,1.0,1,DJ
101,2020-07-11,1,1.0,1.0,1,DJ
102,2020-07-10,1,1.0,1.0,1,DJ
103,2020-07-09,1,1.0,1.0,1,DJ
104,2020-07-08,1,1.0,1.0,1,DJ
105,2020-07-07,1,1.0,1.0,1,DJ
106,2020-07-06,1,1.0,1.0,1,DJ
107,2020-07-05,1,2.0,0.0,1,DJ
108,2020-07-04,1,2.0,0.0,1,DJ
109,2020-07-03,1,2.0,0.0,1,DJ
110,2020-07-02,1,2.0,0.0,1,DJ
111,2020-07-01,1,2.0,0.0,1,DJ
112,2020-06-30,1,2.0,0.0,1,DJ
113,2020-06-29,1,2.0,0.0,1,DJ
114,2020-06-28,1,2.0,0.0,1,DJ
115,2020-06-27,1,2.0,0.0,1,DJ
116,2020-06-26,1,2.0,0.0,1,DJ
117,2020-06-25,1,2.0,0.0,1,DJ
118,2020-06-24,1,2.0,0.0,1,DJ
119,2020-06-23,1,2.0,0.0,1,DJ
120,2020-06-22,1,2.0,0.0,1,DJ
121,2020-06-21,1,2.0,0.0,1,DJ
122,2020-06-20,1,2.0,0.0,1,DJ
123,2020-06-19,1,2.0,0.0,1,DJ
124,2020-06-18,1,2.0,0.0,1,DJ
125,2020-06-17,1,2.0,0.0,1,DJ
126,2020-06-16,1,2.0,0.0,1,DJ
127,2020-06-15,1,2.0,0.0,1,DJ
128,2020-06-14,1,2.0,0.0,1,DJ
129,2020-06-13,1,2.0,0.0,1,DJ
130,2020-06-12,1,2.0,0.0,1,DJ
131,2020-06-11,1,2.0,0.0,1,DJ
132,2020-06-10,1,2.0,0.0,1,DJ
133,2020-06-09,1,2.0,0.0,1,DJ
134,2020-06-08,1,2.0,0.0,1,DJ
135,2020-06-07,1,2.0,0.0,1,DJ
136,2020-06-06,1,2.0,0.0,1,DJ
137,2020-06-05,1,2.0,0.0,1,DJ
138,2020-06-04,1,2.0,0.0,1,DJ
139,2020-06-03,1,2.0,0.0,1,DJ
140,2020-06-02,1,2.0,0.0,1,DJ
141,2020-06-01,1,2.0,0.0,1,DJ
142,2020-05-31,1,2.0,0.0,1,DJ
143,2020-05-30,1,2.0,0.0,1,DJ
144,2020-05-29,1,2.0,0.0,1,DJ
145,2020-05-28,1,2.0,0.0,1,DJ
146,2020-05-27,1,2.0,0.0,1,DJ
147,2020-05-26,1,2.0,0.0,1,DJ
148,2020-05-25,1,2.0,0.0,1,DJ
149,2020-05-24,1,2.0,0.0,1,DJ
150,2020-05-23,1,2.0,0.0,1,DJ
151,2020-05-22,1,2.0,0.0,1,DJ
152,2020-05-21,1,2.0,0.0,1,DJ
153,2020-05-20,1,2.0,0.0,1,DJ
154,2020-05-19,1,2.0,0.0,1,DJ
155,2020-05-18,1,2.0,0.0,1,DJ
156,2020-05-17,1,2.0,0.0,1,DJ
157,2020-05-16,1,2.0,0.0,1,DJ
158,2020-05-15,1,2.0,0.0,1,DJ
159,2020-05-14,1,2.0,0.0,1,DJ
160,2020-05-13,1,2.0,0.0,1,DJ
161,2020-05-12,1,2.0,0.0,1,DJ
162,2020-05-11,1,2.0,0.0,1,DJ
163,2020-05-10,1,2.0,0.0,1,DJ
164,2020-05-09,1,2.0,0.0,1,DJ
165,2020-05-08,1,2.0,0.0,1,DJ
166,2020-05-07,1,2.0,0.0,1,DJ
167,2020-05-06,1,2.0,0.0,1,DJ
168,2020-05-05,1,2.0,0.0,1,DJ
169,2020-05-03,1,2.0,0.0,1,DJ
170,2020-05-02,1,2.0,0.0,1,DJ
171,2020-05-01,1,2.0,0.0,1,DJ
172,2020-04-30,1,2.0,0.0,1,DJ
173,2020-04-29,1,2.0,0.0,1,DJ
174,2020-04-28,1,2.0,0.0,1,DJ
175,2020-04-27,1,2.0,0.0,1,DJ
176,2020-04-26,1,2.0,0.0,1,DJ
177,2020-04-25,1,2.0,0.0,1,DJ
178,2020-04-24,1,2.0,0.0,1,DJ
179,2020-04-23,1,2.0,0.0,1,DJ
180,2020-04-22,1,2.0,0.0,1,DJ
181,2020-04-21,1,2.0,0.0,1,DJ
182,2020-04-20,1,1.0,1.0,1,DJ
183,2020-04-19,1,2.0,0.0,1,DJ
184,2020-04-18,1,2.0,0.0,1,DJ
185,2020-04-17,1,2.0,0.0,1,DJ
186,2020-04-16,1,2.0,0.0,1,DJ
187,2020-04-15,1,2.0,0.0,1,DJ
188,2020-04-14,1,2.0,0.0,1,DJ
189,2020-04-13,1,2.0,0.0,1,DJ
190,2020-04-12,1,2.0,0.0,1,DJ
191,2020-04-11,1,2.0,0.0,1,DJ
192,2020-04-10,1,2.0,0.0,1,DJ
193,2020-04-09,1,2.0,0.0,1,DJ
194,2020-04-08,1,2.0,0.0,1,DJ
195,2020-04-07,1,2.0,0.0,1,DJ
196,2020-04-06,1,2.0,0.0,1,DJ
197,2020-04-05,1,2.0,0.0,1,DJ
