,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,28,2,0.0,7,DZ
1,2020-10-19,28,2,0.0,7,DZ
2,2020-10-18,28,2,0.0,7,DZ
3,2020-10-17,28,2,0.0,7,DZ
4,2020-10-16,28,2,0.0,7,DZ
5,2020-10-15,28,2,0.0,7,DZ
6,2020-10-14,28,2,0.0,7,DZ
7,2020-10-13,28,2,0.0,7,DZ
8,2020-10-12,28,2,0.0,7,DZ
9,2020-10-11,28,1,1.0,7,DZ
10,2020-10-10,28,2,0.0,7,DZ
11,2020-10-09,28,2,0.0,7,DZ
12,2020-10-08,28,2,0.0,7,DZ
13,2020-10-07,28,2,0.0,7,DZ
14,2020-10-06,28,2,0.0,7,DZ
15,2020-10-05,28,2,0.0,7,DZ
16,2020-10-04,28,2,0.0,7,DZ
17,2020-10-03,28,2,0.0,7,DZ
18,2020-10-02,28,2,0.0,7,DZ
19,2020-10-01,28,2,0.0,7,DZ
20,2020-09-30,28,2,0.0,7,DZ
21,2020-09-29,28,2,0.0,7,DZ
22,2020-09-28,28,2,0.0,7,DZ
23,2020-09-27,28,2,0.0,7,DZ
24,2020-09-26,28,2,0.0,7,DZ
25,2020-09-25,28,2,0.0,7,DZ
26,2020-09-24,28,2,0.0,7,DZ
27,2020-09-23,28,2,0.0,7,DZ
28,2020-09-22,28,2,0.0,7,DZ
29,2020-09-21,28,2,0.0,7,DZ
30,2020-09-20,28,2,0.0,7,DZ
31,2020-09-19,28,2,0.0,7,DZ
32,2020-09-18,28,2,0.0,7,DZ
33,2020-09-17,28,2,0.0,7,DZ
34,2020-09-16,28,2,0.0,7,DZ
35,2020-09-15,28,2,0.0,7,DZ
36,2020-09-14,28,2,0.0,7,DZ
37,2020-09-13,28,2,0.0,7,DZ
38,2020-09-12,28,2,0.0,7,DZ
39,2020-09-11,28,2,0.0,7,DZ
40,2020-09-10,28,2,0.0,7,DZ
41,2020-09-09,28,2,0.0,7,DZ
42,2020-09-08,28,2,0.0,7,DZ
43,2020-09-07,28,2,0.0,7,DZ
44,2020-09-06,28,2,0.0,7,DZ
45,2020-09-05,28,2,0.0,7,DZ
46,2020-09-04,28,2,0.0,7,DZ
47,2020-09-03,28,2,0.0,7,DZ
48,2020-09-02,28,2,0.0,7,DZ
49,2020-09-01,28,2,0.0,7,DZ
50,2020-08-31,28,2,0.0,7,DZ
51,2020-08-30,28,2,0.0,7,DZ
52,2020-08-29,28,2,0.0,7,DZ
53,2020-08-28,28,2,0.0,7,DZ
54,2020-08-27,28,2,0.0,7,DZ
55,2020-08-26,28,2,0.0,7,DZ
56,2020-08-25,28,2,0.0,7,DZ
57,2020-08-24,28,2,0.0,7,DZ
58,2020-08-23,28,2,0.0,7,DZ
59,2020-08-22,28,2,0.0,7,DZ
60,2020-08-21,28,2,0.0,7,DZ
61,2020-08-20,28,2,0.0,7,DZ
62,2020-08-19,28,2,0.0,7,DZ
63,2020-08-18,28,2,0.0,7,DZ
64,2020-08-17,28,2,0.0,7,DZ
65,2020-08-16,28,2,0.0,7,DZ
66,2020-08-15,28,2,0.0,7,DZ
67,2020-08-14,28,2,0.0,7,DZ
68,2020-08-13,28,2,0.0,7,DZ
69,2020-08-12,28,2,0.0,7,DZ
70,2020-08-11,28,2,0.0,7,DZ
71,2020-08-10,28,2,0.0,7,DZ
72,2020-08-09,28,2,0.0,7,DZ
73,2020-08-08,28,2,0.0,7,DZ
74,2020-08-07,28,2,0.0,7,DZ
75,2020-08-06,28,2,0.0,7,DZ
76,2020-08-05,28,2,0.0,7,DZ
77,2020-08-04,28,2,0.0,7,DZ
78,2020-08-03,28,2,0.0,7,DZ
79,2020-08-02,28,2,0.0,7,DZ
80,2020-08-01,28,2,0.0,7,DZ
81,2020-07-31,28,2,0.0,7,DZ
82,2020-07-30,28,2,0.0,7,DZ
83,2020-07-29,28,2,0.0,7,DZ
84,2020-07-28,28,2,0.0,7,DZ
85,2020-07-27,28,2,0.0,7,DZ
86,2020-07-26,28,2,0.0,7,DZ
