,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,18,2,2,0.0,EG
1,2020-10-19,18,2,2,0.0,EG
2,2020-10-18,18,3,1,0.0,EG
3,2020-10-17,18,3,1,0.0,EG
4,2020-10-16,18,3,1,0.0,EG
5,2020-10-15,18,2,2,0.0,EG
6,2020-10-14,18,3,1,0.0,EG
7,2020-10-13,18,3,1,0.0,EG
8,2020-10-12,18,3,1,0.0,EG
9,2020-10-11,18,2,2,0.0,EG
10,2020-10-10,18,2,2,0.0,EG
11,2020-10-09,18,2,2,0.0,EG
12,2020-10-08,18,2,2,0.0,EG
13,2020-10-07,18,2,2,0.0,EG
14,2020-10-06,18,3,1,0.0,EG
15,2020-10-05,18,3,1,0.0,EG
16,2020-10-04,18,3,1,0.0,EG
17,2020-10-03,18,2,2,0.0,EG
18,2020-10-02,18,2,2,0.0,EG
19,2020-10-01,18,3,1,0.0,EG
20,2020-09-30,18,3,1,0.0,EG
21,2020-09-29,18,3,1,0.0,EG
22,2020-09-28,18,3,1,0.0,EG
23,2020-09-27,18,2,2,0.0,EG
24,2020-09-26,18,3,1,0.0,EG
25,2020-09-25,18,3,1,0.0,EG
26,2020-09-24,18,3,1,0.0,EG
27,2020-09-23,18,3,1,0.0,EG
28,2020-09-22,18,3,1,0.0,EG
29,2020-09-21,18,3,1,0.0,EG
30,2020-09-20,18,3,1,0.0,EG
31,2020-09-19,18,3,1,0.0,EG
32,2020-09-18,18,2,2,0.0,EG
33,2020-09-17,18,2,2,0.0,EG
34,2020-09-16,18,3,1,0.0,EG
35,2020-09-15,18,3,1,0.0,EG
36,2020-09-14,18,2,2,0.0,EG
37,2020-09-13,18,3,1,0.0,EG
38,2020-09-12,18,3,1,0.0,EG
39,2020-09-11,18,3,1,0.0,EG
40,2020-09-10,18,3,1,0.0,EG
41,2020-09-09,18,3,1,0.0,EG
42,2020-09-08,18,3,1,0.0,EG
43,2020-09-07,18,3,1,0.0,EG
44,2020-09-06,18,3,1,0.0,EG
45,2020-09-05,18,2,2,0.0,EG
