,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,12,3,3,1,ET
1,2020-10-19,12,3,3,1,ET
2,2020-10-18,12,2,4,1,ET
3,2020-10-17,12,2,4,1,ET
4,2020-10-16,12,3,3,1,ET
5,2020-10-15,12,3,3,1,ET
6,2020-10-14,12,3,3,1,ET
7,2020-10-13,12,2,4,1,ET
8,2020-10-12,12,3,3,1,ET
9,2020-10-11,12,3,3,1,ET
10,2020-10-10,12,3,3,1,ET
11,2020-10-09,12,3,3,1,ET
12,2020-10-08,12,3,3,1,ET
13,2020-10-07,12,2,4,1,ET
14,2020-10-06,12,3,3,1,ET
15,2020-10-05,12,3,3,1,ET
16,2020-10-04,12,3,3,1,ET
17,2020-10-03,12,2,4,1,ET
18,2020-10-02,12,3,3,1,ET
19,2020-10-01,12,3,3,1,ET
20,2020-09-30,12,3,3,1,ET
21,2020-09-29,12,3,3,1,ET
22,2020-09-28,12,3,3,1,ET
23,2020-09-27,11,3,4,1,ET
24,2020-09-26,11,3,4,1,ET
25,2020-09-25,11,2,5,1,ET
26,2020-09-24,11,2,5,1,ET
27,2020-09-23,11,3,4,1,ET
28,2020-09-22,11,2,5,1,ET
29,2020-09-21,11,2,5,1,ET
30,2020-09-20,11,3,4,1,ET
31,2020-09-19,11,3,3,1,ET
32,2020-09-18,11,3,3,1,ET
33,2020-09-17,11,3,3,1,ET
34,2020-09-16,11,3,3,1,ET
35,2020-09-15,11,3,3,1,ET
36,2020-09-14,11,3,3,1,ET
37,2020-09-13,11,3,3,1,ET
38,2020-09-12,11,3,3,1,ET
39,2020-09-11,11,3,3,1,ET
40,2020-09-10,11,3,3,1,ET
41,2020-09-09,11,2,4,1,ET
42,2020-09-08,11,3,3,1,ET
43,2020-09-07,11,3,3,1,ET
44,2020-09-06,11,3,3,1,ET
45,2020-09-05,11,2,4,1,ET
46,2020-09-04,11,3,3,1,ET
47,2020-09-03,11,3,3,1,ET
48,2020-09-02,11,3,3,1,ET
49,2020-09-01,11,3,3,1,ET
50,2020-08-31,11,3,3,1,ET
51,2020-08-30,11,3,3,1,ET
52,2020-08-29,11,3,3,1,ET
53,2020-08-28,11,3,3,1,ET
54,2020-08-27,11,3,3,1,ET
55,2020-08-26,11,3,3,1,ET
56,2020-08-25,11,3,3,1,ET
57,2020-08-24,11,3,3,1,ET
58,2020-08-23,11,3,3,1,ET
59,2020-08-22,11,3,3,1,ET
60,2020-08-21,11,3,3,1,ET
61,2020-08-20,11,3,3,1,ET
62,2020-08-19,11,3,3,1,ET
63,2020-08-18,11,2,4,1,ET
64,2020-08-17,11,4,2,1,ET
65,2020-08-16,11,3,3,1,ET
66,2020-08-15,11,3,3,1,ET
67,2020-08-14,11,4,2,1,ET
68,2020-08-13,11,4,2,1,ET
69,2020-08-12,11,4,2,1,ET
70,2020-08-11,11,3,3,1,ET
71,2020-08-10,11,3,3,1,ET
72,2020-08-09,11,3,3,1,ET
73,2020-08-08,11,2,4,1,ET
74,2020-08-07,11,3,3,1,ET
75,2020-08-06,11,3,3,1,ET
76,2020-08-05,11,3,3,1,ET
77,2020-08-04,11,3,3,1,ET
78,2020-08-03,11,3,3,1,ET
79,2020-08-02,11,4,2,1,ET
80,2020-08-01,11,4,2,1,ET
81,2020-07-31,11,3,3,1,ET
82,2020-07-30,11,0,6,1,ET
83,2020-07-29,11,1,5,1,ET
84,2020-07-28,11,1,5,1,ET
85,2020-07-27,11,2,4,1,ET
86,2020-07-26,11,2,4,1,ET
87,2020-07-25,11,2,4,1,ET
88,2020-07-24,11,2,4,1,ET
89,2020-07-23,10,2,5,1,ET
90,2020-07-22,10,2,5,1,ET
91,2020-07-21,10,2,5,1,ET
92,2020-07-20,10,2,5,1,ET
93,2020-07-19,10,2,5,1,ET
94,2020-07-18,10,2,5,1,ET
95,2020-07-17,10,2,5,1,ET
96,2020-07-16,10,2,5,1,ET
97,2020-07-15,10,2,5,1,ET
98,2020-07-14,10,1,6,1,ET
99,2020-07-13,10,0,7,1,ET
100,2020-07-12,10,0,7,1,ET
101,2020-07-11,10,0,7,1,ET
102,2020-07-10,10,0,7,1,ET
103,2020-07-09,10,0,7,1,ET
104,2020-07-08,10,0,7,1,ET
105,2020-07-07,10,0,7,1,ET
106,2020-07-06,10,0,7,1,ET
107,2020-07-05,10,0,7,1,ET
108,2020-07-04,10,0,7,1,ET
109,2020-07-03,10,0,7,1,ET
110,2020-07-02,10,0,7,1,ET
111,2020-07-01,10,0,7,1,ET
112,2020-06-30,10,0,7,1,ET
113,2020-06-29,10,3,4,1,ET
114,2020-06-28,10,3,4,1,ET
115,2020-06-27,10,3,4,1,ET
116,2020-06-26,10,3,4,1,ET
