,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,4,2.0,0.0,0.0,GA
1,2020-10-19,4,2.0,0.0,0.0,GA
2,2020-10-18,4,2.0,0.0,0.0,GA
3,2020-10-17,4,2.0,0.0,0.0,GA
4,2020-10-16,4,2.0,0.0,0.0,GA
5,2020-10-15,4,2.0,0.0,0.0,GA
6,2020-10-14,4,1.0,1.0,0.0,GA
7,2020-10-13,4,1.0,1.0,0.0,GA
8,2020-10-12,4,1.0,1.0,0.0,GA
9,2020-10-11,4,2.0,0.0,0.0,GA
10,2020-10-10,4,1.0,1.0,0.0,GA
11,2020-10-09,4,1.0,1.0,0.0,GA
12,2020-10-08,4,2.0,0.0,0.0,GA
13,2020-10-07,4,2.0,0.0,0.0,GA
14,2020-10-06,4,2.0,0.0,0.0,GA
15,2020-10-05,4,2.0,0.0,0.0,GA
16,2020-10-04,4,2.0,0.0,0.0,GA
17,2020-10-03,4,2.0,0.0,0.0,GA
18,2020-10-02,4,2.0,0.0,0.0,GA
19,2020-10-01,4,2.0,0.0,0.0,GA
20,2020-09-30,4,2.0,0.0,0.0,GA
21,2020-09-29,4,2.0,0.0,0.0,GA
22,2020-09-28,4,2.0,0.0,0.0,GA
23,2020-09-27,4,1.0,1.0,0.0,GA
24,2020-09-26,4,1.0,1.0,0.0,GA
25,2020-09-25,4,1.0,1.0,0.0,GA
26,2020-09-24,4,1.0,1.0,0.0,GA
27,2020-09-23,4,2.0,0.0,0.0,GA
28,2020-09-22,4,2.0,0.0,0.0,GA
29,2020-09-21,4,2.0,0.0,0.0,GA
30,2020-09-20,4,2.0,0.0,0.0,GA
31,2020-09-19,4,2.0,0.0,0.0,GA
32,2020-09-18,4,2.0,0.0,0.0,GA
33,2020-09-17,4,2.0,0.0,0.0,GA
34,2020-09-16,4,2.0,0.0,0.0,GA
35,2020-09-15,4,2.0,0.0,0.0,GA
36,2020-09-14,4,2.0,0.0,0.0,GA
37,2020-09-13,4,2.0,0.0,0.0,GA
38,2020-09-12,4,2.0,0.0,0.0,GA
39,2020-09-11,4,2.0,0.0,0.0,GA
40,2020-09-10,4,2.0,0.0,0.0,GA
41,2020-09-09,4,2.0,0.0,0.0,GA
42,2020-09-08,4,2.0,0.0,0.0,GA
43,2020-09-07,4,2.0,0.0,0.0,GA
44,2020-09-06,4,2.0,0.0,0.0,GA
45,2020-09-05,4,2.0,0.0,0.0,GA
46,2020-09-04,4,2.0,0.0,0.0,GA
47,2020-09-03,4,2.0,0.0,0.0,GA
48,2020-09-02,4,2.0,0.0,0.0,GA
49,2020-09-01,4,2.0,0.0,0.0,GA
50,2020-08-31,4,2.0,0.0,0.0,GA
51,2020-08-30,4,2.0,0.0,0.0,GA
52,2020-08-29,4,2.0,0.0,0.0,GA
53,2020-08-28,4,2.0,0.0,0.0,GA
54,2020-08-27,4,2.0,0.0,0.0,GA
