,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,14,4,0,4,GH
1,2020-10-19,14,4,0,4,GH
2,2020-10-18,14,4,0,4,GH
3,2020-10-17,14,4,0,4,GH
4,2020-10-16,14,4,0,4,GH
5,2020-10-15,14,3,1,4,GH
6,2020-10-14,14,4,0,4,GH
7,2020-10-13,14,4,0,4,GH
8,2020-10-12,14,4,0,4,GH
9,2020-10-11,14,4,0,4,GH
10,2020-10-10,14,4,0,4,GH
11,2020-10-09,14,4,0,4,GH
12,2020-10-08,14,4,0,4,GH
13,2020-10-07,14,4,0,4,GH
14,2020-10-06,14,4,0,4,GH
15,2020-10-05,14,4,0,4,GH
16,2020-10-04,14,4,0,4,GH
17,2020-10-03,14,4,0,4,GH
18,2020-10-02,14,4,0,4,GH
19,2020-10-01,14,4,0,4,GH
20,2020-09-30,14,4,0,4,GH
21,2020-09-29,14,4,0,4,GH
22,2020-09-28,14,4,0,4,GH
23,2020-09-27,14,4,0,4,GH
24,2020-09-26,14,4,0,4,GH
25,2020-09-25,14,4,0,4,GH
26,2020-09-24,14,4,0,4,GH
27,2020-09-23,14,4,0,4,GH
28,2020-09-22,14,4,0,4,GH
29,2020-09-21,14,4,0,4,GH
30,2020-09-20,14,4,0,4,GH
31,2020-09-19,14,4,0,4,GH
32,2020-09-18,14,4,0,4,GH
33,2020-09-17,14,4,0,4,GH
34,2020-09-16,14,4,0,4,GH
35,2020-09-15,14,4,0,4,GH
36,2020-09-14,14,4,0,4,GH
37,2020-09-13,14,4,0,4,GH
38,2020-09-12,14,4,0,4,GH
39,2020-09-11,14,4,0,4,GH
40,2020-09-10,14,3,1,4,GH
41,2020-09-09,14,3,1,4,GH
42,2020-09-08,14,3,1,4,GH
43,2020-09-07,14,3,1,4,GH
44,2020-09-06,14,3,1,4,GH
45,2020-09-05,14,4,0,4,GH
46,2020-09-04,14,4,0,4,GH
47,2020-09-03,14,4,0,4,GH
