,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,12,0,0,1,GM
1,2020-10-19,12,0,0,1,GM
2,2020-10-18,12,0,0,1,GM
3,2020-10-17,12,0,0,1,GM
4,2020-10-16,12,0,0,1,GM
5,2020-10-15,12,0,0,1,GM
6,2020-10-14,12,0,0,1,GM
7,2020-10-13,12,0,0,1,GM
8,2020-10-12,12,0,0,1,GM
9,2020-10-11,12,0,0,1,GM
10,2020-10-10,12,0,0,1,GM
11,2020-10-09,12,0,0,1,GM
12,2020-10-08,12,0,0,1,GM
13,2020-10-07,12,0,0,1,GM
14,2020-10-06,12,0,0,1,GM
15,2020-10-05,12,0,0,1,GM
16,2020-10-04,12,0,0,1,GM
17,2020-10-03,12,0,0,1,GM
18,2020-10-02,12,0,0,1,GM
19,2020-10-01,12,0,0,1,GM
20,2020-09-30,12,0,0,1,GM
21,2020-09-29,12,0,0,1,GM
22,2020-09-28,12,0,0,1,GM
23,2020-09-27,12,0,0,1,GM
24,2020-09-26,12,0,0,1,GM
25,2020-09-25,12,0,0,1,GM
26,2020-09-24,12,0,0,1,GM
27,2020-09-23,12,0,0,1,GM
28,2020-09-22,12,0,0,1,GM
29,2020-09-21,12,0,0,1,GM
30,2020-09-20,12,0,0,1,GM
31,2020-09-19,12,0,0,1,GM
32,2020-09-18,12,0,0,1,GM
33,2020-09-17,12,0,0,1,GM
34,2020-09-16,12,0,0,1,GM
35,2020-09-15,12,0,0,1,GM
36,2020-09-14,12,0,0,1,GM
37,2020-09-13,12,0,0,1,GM
38,2020-09-12,12,0,0,1,GM
39,2020-09-11,12,0,0,1,GM
40,2020-09-10,12,0,0,1,GM
41,2020-09-09,12,0,0,1,GM
42,2020-09-08,12,0,0,1,GM
43,2020-09-07,12,0,0,1,GM
44,2020-09-06,12,0,0,1,GM
45,2020-09-05,12,0,0,1,GM
46,2020-09-04,12,0,0,1,GM
47,2020-09-03,12,0,0,1,GM
48,2020-09-02,12,0,0,1,GM
49,2020-09-01,12,0,0,1,GM
50,2020-08-31,12,0,0,1,GM
51,2020-08-30,12,0,0,1,GM
52,2020-08-29,12,0,0,1,GM
53,2020-08-28,12,0,0,1,GM
54,2020-08-27,12,0,0,1,GM
55,2020-08-26,12,0,0,1,GM
56,2020-08-25,12,0,0,1,GM
57,2020-08-24,12,0,0,1,GM
58,2020-08-23,12,0,0,1,GM
59,2020-08-22,12,0,0,1,GM
60,2020-08-21,12,0,0,1,GM
61,2020-08-20,12,0,0,1,GM
62,2020-08-19,12,0,0,1,GM
63,2020-08-18,12,0,0,1,GM
64,2020-08-17,12,0,0,1,GM
65,2020-08-16,12,0,0,1,GM
66,2020-08-15,12,0,0,1,GM
67,2020-08-14,12,0,0,1,GM
68,2020-08-13,12,0,0,1,GM
69,2020-08-12,12,0,0,1,GM
70,2020-08-11,12,0,0,1,GM
71,2020-08-10,12,0,0,1,GM
72,2020-08-09,12,0,0,1,GM
73,2020-08-08,12,0,0,1,GM
74,2020-08-07,12,0,0,1,GM
75,2020-08-06,12,0,0,1,GM
76,2020-08-05,12,0,0,1,GM
77,2020-08-04,12,0,0,1,GM
78,2020-08-03,12,0,0,1,GM
79,2020-08-02,12,0,0,1,GM
80,2020-08-01,12,0,0,1,GM
81,2020-07-31,12,0,0,1,GM
82,2020-07-30,12,0,0,1,GM
83,2020-07-29,12,0,0,1,GM
84,2020-07-28,12,0,0,1,GM
85,2020-07-27,12,0,0,1,GM
86,2020-07-26,12,0,0,1,GM
87,2020-07-25,12,0,0,1,GM
88,2020-07-24,12,0,0,1,GM
89,2020-07-23,12,0,0,1,GM
90,2020-07-22,12,0,0,1,GM
91,2020-07-21,12,0,0,1,GM
92,2020-07-20,12,0,0,1,GM
93,2020-07-19,12,0,0,1,GM
94,2020-07-18,12,0,0,1,GM
95,2020-07-17,12,0,0,1,GM
96,2020-07-16,12,0,0,1,GM
97,2020-07-15,12,0,0,1,GM
98,2020-07-14,12,0,0,1,GM
99,2020-07-13,12,0,0,1,GM
100,2020-07-12,12,0,0,1,GM
101,2020-07-11,12,0,0,1,GM
102,2020-07-10,12,0,0,1,GM
103,2020-07-09,12,0,0,1,GM
104,2020-07-08,12,0,0,1,GM
105,2020-07-07,12,0,0,1,GM
106,2020-07-06,12,0,0,1,GM
107,2020-07-05,12,0,0,1,GM
108,2020-07-04,12,0,0,1,GM
109,2020-07-03,12,0,0,1,GM
110,2020-07-02,12,0,0,1,GM
111,2020-07-01,12,0,0,1,GM
112,2020-06-30,12,0,0,1,GM
113,2020-06-29,12,0,0,1,GM
114,2020-06-28,12,0,0,1,GM
115,2020-06-27,12,0,0,1,GM
116,2020-06-26,12,0,0,1,GM
117,2020-06-25,12,0,0,1,GM
118,2020-06-24,12,0,0,1,GM
119,2020-06-23,12,0,0,1,GM
120,2020-06-22,12,0,0,1,GM
121,2020-06-21,12,0,0,1,GM
122,2020-06-20,12,0,0,1,GM
123,2020-06-19,12,0,0,1,GM
124,2020-06-18,12,0,0,1,GM
125,2020-06-17,12,0,0,1,GM
126,2020-06-16,12,0,0,1,GM
127,2020-06-15,12,0,0,1,GM
128,2020-06-14,12,0,0,1,GM
129,2020-06-13,12,0,0,1,GM
130,2020-06-12,12,0,0,1,GM
131,2020-06-11,12,0,0,1,GM
132,2020-06-10,12,0,0,1,GM
133,2020-06-09,12,0,0,1,GM
134,2020-06-08,12,0,0,1,GM
135,2020-06-07,12,0,0,1,GM
136,2020-06-06,12,0,0,1,GM
137,2020-06-05,12,0,0,1,GM
138,2020-06-04,12,0,0,1,GM
139,2020-06-03,12,0,0,1,GM
140,2020-06-02,12,0,0,1,GM
141,2020-06-01,12,0,0,1,GM
142,2020-05-31,12,0,0,1,GM
143,2020-05-30,12,0,0,1,GM
144,2020-05-29,12,0,0,1,GM
145,2020-05-28,12,0,0,1,GM
146,2020-05-27,12,0,0,1,GM
147,2020-05-26,12,0,0,1,GM
148,2020-05-25,12,0,0,1,GM
149,2020-05-24,12,0,0,1,GM
150,2020-05-23,12,0,0,1,GM
151,2020-05-22,12,0,0,1,GM
152,2020-05-21,12,0,0,1,GM
153,2020-05-20,12,0,0,1,GM
154,2020-05-19,12,0,0,1,GM
155,2020-05-18,12,0,0,1,GM
