,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,1.0,0.0,0,0.0,GQ
1,2020-10-19,1.0,0.0,0,0.0,GQ
2,2020-10-18,1.0,0.0,0,0.0,GQ
3,2020-10-17,1.0,0.0,0,0.0,GQ
4,2020-10-16,1.0,0.0,0,0.0,GQ
5,2020-10-15,1.0,0.0,0,0.0,GQ
6,2020-10-14,1.0,0.0,0,0.0,GQ
7,2020-10-13,1.0,0.0,0,0.0,GQ
8,2020-10-12,1.0,0.0,0,0.0,GQ
9,2020-10-11,1.0,0.0,0,0.0,GQ
10,2020-10-10,1.0,0.0,0,0.0,GQ
11,2020-10-09,1.0,0.0,0,0.0,GQ
12,2020-10-08,1.0,0.0,0,0.0,GQ
13,2020-10-07,1.0,0.0,0,0.0,GQ
14,2020-10-06,1.0,0.0,0,0.0,GQ
15,2020-10-05,1.0,0.0,0,0.0,GQ
16,2020-10-04,1.0,0.0,0,0.0,GQ
17,2020-10-03,1.0,0.0,0,0.0,GQ
18,2020-10-02,1.0,0.0,0,0.0,GQ
19,2020-10-01,1.0,0.0,0,0.0,GQ
20,2020-09-30,1.0,0.0,0,0.0,GQ
21,2020-09-29,1.0,0.0,0,0.0,GQ
22,2020-09-28,1.0,0.0,0,0.0,GQ
23,2020-09-27,1.0,0.0,0,0.0,GQ
24,2020-09-26,1.0,0.0,0,0.0,GQ
25,2020-09-25,1.0,0.0,0,0.0,GQ
26,2020-09-24,1.0,0.0,0,0.0,GQ
27,2020-09-23,1.0,0.0,0,0.0,GQ
28,2020-09-22,1.0,0.0,0,0.0,GQ
29,2020-09-21,1.0,0.0,0,0.0,GQ
30,2020-09-20,1.0,0.0,0,0.0,GQ
31,2020-09-19,1.0,0.0,0,0.0,GQ
32,2020-09-18,1.0,0.0,0,0.0,GQ
33,2020-09-17,1.0,0.0,0,0.0,GQ
34,2020-09-16,1.0,0.0,0,0.0,GQ
35,2020-09-15,1.0,0.0,0,0.0,GQ
36,2020-09-14,1.0,0.0,0,0.0,GQ
37,2020-09-13,1.0,0.0,0,0.0,GQ
38,2020-09-12,1.0,0.0,0,0.0,GQ
39,2020-09-11,1.0,0.0,0,0.0,GQ
40,2020-09-10,1.0,0.0,0,0.0,GQ
41,2020-09-09,1.0,0.0,0,0.0,GQ
42,2020-09-08,1.0,0.0,0,0.0,GQ
43,2020-09-07,1.0,0.0,0,0.0,GQ
44,2020-09-06,1.0,0.0,0,0.0,GQ
