,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,34,15,5,8,KE
1,2020-10-19,34,16,4,8,KE
2,2020-10-18,34,17,3,8,KE
3,2020-10-17,34,16,4,8,KE
4,2020-10-16,34,15,5,8,KE
5,2020-10-15,34,17,3,8,KE
6,2020-10-14,34,16,4,8,KE
7,2020-10-13,34,17,3,8,KE
8,2020-10-12,35,17,2,8,KE
9,2020-10-11,35,13,6,8,KE
10,2020-10-10,35,16,3,8,KE
11,2020-10-09,35,17,2,8,KE
12,2020-10-08,35,17,2,8,KE
13,2020-10-07,35,17,2,8,KE
14,2020-10-06,34,15,5,8,KE
15,2020-10-05,34,16,4,8,KE
16,2020-10-04,34,16,4,8,KE
17,2020-10-03,34,16,4,8,KE
18,2020-10-02,34,16,4,8,KE
19,2020-10-01,34,17,3,8,KE
20,2020-09-30,34,16,4,8,KE
21,2020-09-29,34,16,4,8,KE
22,2020-09-28,34,15,5,8,KE
23,2020-09-27,34,16,4,8,KE
24,2020-09-26,34,16,4,8,KE
25,2020-09-25,34,15,5,8,KE
26,2020-09-24,34,17,3,8,KE
27,2020-09-23,34,17,3,8,KE
28,2020-09-22,34,16,4,8,KE
29,2020-09-21,34,17,3,8,KE
30,2020-09-20,34,16,4,8,KE
31,2020-09-19,34,17,3,8,KE
32,2020-09-18,34,18,2,8,KE
33,2020-09-17,34,17,3,8,KE
34,2020-09-16,34,18,2,8,KE
35,2020-09-15,34,18,2,8,KE
36,2020-09-14,34,18,2,8,KE
37,2020-09-13,34,17,3,8,KE
38,2020-09-12,34,18,2,8,KE
39,2020-09-11,35,17,2,8,KE
40,2020-09-10,35,16,3,8,KE
41,2020-09-09,35,17,2,8,KE
42,2020-09-08,35,17,2,8,KE
43,2020-09-07,35,17,2,8,KE
44,2020-09-06,35,17,2,8,KE
45,2020-09-05,35,17,2,8,KE
46,2020-09-04,35,17,2,8,KE
47,2020-09-03,35,17,2,8,KE
48,2020-09-02,35,17,2,8,KE
49,2020-09-01,35,16,3,8,KE
50,2020-08-31,35,17,2,8,KE
51,2020-08-30,35,17,2,8,KE
52,2020-08-29,35,17,2,8,KE
53,2020-08-28,35,17,2,8,KE
54,2020-08-27,35,18,1,8,KE
55,2020-08-26,35,18,1,8,KE
56,2020-08-25,35,18,1,8,KE
57,2020-08-24,35,17,2,8,KE
58,2020-08-23,35,18,1,8,KE
59,2020-08-22,35,18,1,8,KE
60,2020-08-21,35,18,1,8,KE
61,2020-08-20,35,18,1,8,KE
62,2020-08-19,35,18,1,8,KE
63,2020-08-18,35,18,1,8,KE
64,2020-08-17,35,18,1,8,KE
65,2020-08-16,35,17,2,8,KE
66,2020-08-15,35,17,2,8,KE
67,2020-08-14,35,17,2,8,KE
68,2020-08-13,35,17,2,8,KE
69,2020-08-12,35,17,2,8,KE
70,2020-08-11,35,17,2,8,KE
71,2020-08-10,35,16,3,8,KE
72,2020-08-09,35,16,3,8,KE
73,2020-08-08,35,17,2,8,KE
74,2020-08-07,35,17,2,8,KE
75,2020-08-06,35,17,2,8,KE
76,2020-08-05,35,17,2,8,KE
77,2020-08-04,35,17,2,8,KE
78,2020-08-03,35,17,2,8,KE
79,2020-08-02,35,16,3,8,KE
80,2020-08-01,35,17,2,8,KE
81,2020-07-31,35,17,2,8,KE
82,2020-07-30,35,17,2,8,KE
83,2020-07-29,35,18,1,8,KE
84,2020-07-28,35,18,1,8,KE
85,2020-07-27,35,18,1,8,KE
86,2020-07-26,35,18,1,8,KE
87,2020-07-25,35,18,1,8,KE
88,2020-07-24,35,18,1,8,KE
89,2020-07-23,35,17,2,8,KE
90,2020-07-22,35,18,1,8,KE
91,2020-07-21,35,18,1,8,KE
92,2020-07-20,35,18,1,8,KE
93,2020-07-19,36,17,1,8,KE
94,2020-07-18,36,17,1,8,KE
95,2020-07-17,36,17,1,8,KE
96,2020-07-16,36,17,1,8,KE
97,2020-07-15,36,15,3,8,KE
98,2020-07-14,36,16,2,8,KE
99,2020-07-13,36,17,1,8,KE
100,2020-07-12,36,17,1,8,KE
101,2020-07-11,36,17,1,8,KE
102,2020-07-10,36,17,1,8,KE
103,2020-07-09,36,16,2,8,KE
104,2020-07-08,36,17,1,8,KE
105,2020-07-07,36,18,0,8,KE
106,2020-07-06,36,18,0,8,KE
107,2020-07-05,36,18,0,8,KE
108,2020-07-04,36,18,0,8,KE
109,2020-07-03,36,18,0,8,KE
110,2020-07-02,36,18,0,8,KE
111,2020-07-01,36,18,0,8,KE
112,2020-06-30,37,17,0,8,KE
113,2020-06-29,37,16,1,8,KE
114,2020-06-28,37,16,1,8,KE
115,2020-06-27,37,16,1,8,KE
116,2020-06-26,37,16,1,8,KE
117,2020-06-25,37,16,1,8,KE
118,2020-06-24,36,16,2,8,KE
119,2020-06-23,36,17,1,8,KE
120,2020-06-22,36,17,1,8,KE
121,2020-06-21,36,16,2,8,KE
122,2020-06-20,36,17,1,8,KE
123,2020-06-19,36,16,2,8,KE
124,2020-06-18,36,16,2,8,KE
125,2020-06-17,36,17,1,8,KE
126,2020-06-16,36,17,1,8,KE
127,2020-06-15,36,17,1,8,KE
128,2020-06-14,36,16,2,8,KE
129,2020-06-13,36,17,1,8,KE
130,2020-06-12,34,17,3,8,KE
131,2020-06-11,34,17,3,8,KE
132,2020-06-10,34,17,3,8,KE
133,2020-06-09,34,15,5,8,KE
134,2020-06-08,34,17,3,8,KE
135,2020-06-07,34,17,3,8,KE
