,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,0.0,0.0,0.0,KM
1,2020-10-19,2,0.0,0.0,0.0,KM
2,2020-10-18,2,0.0,0.0,0.0,KM
3,2020-10-17,2,0.0,0.0,0.0,KM
4,2020-10-16,2,0.0,0.0,0.0,KM
5,2020-10-15,2,0.0,0.0,0.0,KM
6,2020-10-14,2,0.0,0.0,0.0,KM
7,2020-10-13,2,0.0,0.0,0.0,KM
8,2020-10-12,2,0.0,0.0,0.0,KM
9,2020-10-11,2,0.0,0.0,0.0,KM
10,2020-10-10,2,0.0,0.0,0.0,KM
11,2020-10-09,2,0.0,0.0,0.0,KM
12,2020-10-08,2,0.0,0.0,0.0,KM
13,2020-10-07,2,0.0,0.0,0.0,KM
14,2020-10-06,2,0.0,0.0,0.0,KM
15,2020-10-05,2,0.0,0.0,0.0,KM
16,2020-10-04,2,0.0,0.0,0.0,KM
17,2020-10-03,2,0.0,0.0,0.0,KM
18,2020-10-02,2,0.0,0.0,0.0,KM
19,2020-10-01,2,0.0,0.0,0.0,KM
20,2020-09-30,2,0.0,0.0,0.0,KM
21,2020-09-29,2,0.0,0.0,0.0,KM
22,2020-09-28,2,0.0,0.0,0.0,KM
23,2020-09-27,2,0.0,0.0,0.0,KM
24,2020-09-26,2,0.0,0.0,0.0,KM
25,2020-09-25,2,0.0,0.0,0.0,KM
26,2020-09-24,2,0.0,0.0,0.0,KM
27,2020-09-23,2,0.0,0.0,0.0,KM
28,2020-09-22,2,0.0,0.0,0.0,KM
29,2020-09-21,2,0.0,0.0,0.0,KM
30,2020-09-20,2,0.0,0.0,0.0,KM
31,2020-09-19,2,0.0,0.0,0.0,KM
32,2020-09-18,2,0.0,0.0,0.0,KM
33,2020-09-17,2,0.0,0.0,0.0,KM
34,2020-09-16,2,0.0,0.0,0.0,KM
35,2020-09-15,2,0.0,0.0,0.0,KM
36,2020-09-14,2,0.0,0.0,0.0,KM
37,2020-09-13,2,0.0,0.0,0.0,KM
38,2020-09-12,2,0.0,0.0,0.0,KM
39,2020-09-11,2,0.0,0.0,0.0,KM
40,2020-09-10,2,0.0,0.0,0.0,KM
41,2020-09-09,2,0.0,0.0,0.0,KM
42,2020-09-08,2,0.0,0.0,0.0,KM
43,2020-09-07,2,0.0,0.0,0.0,KM
44,2020-09-06,2,0.0,0.0,0.0,KM
45,2020-09-05,2,0.0,0.0,0.0,KM
46,2020-09-04,2,0.0,0.0,0.0,KM
47,2020-09-03,2,0.0,0.0,0.0,KM
48,2020-09-02,2,0.0,0.0,0.0,KM
49,2020-09-01,2,0.0,0.0,0.0,KM
50,2020-08-31,2,0.0,0.0,0.0,KM
51,2020-08-30,2,0.0,0.0,0.0,KM
52,2020-08-29,2,0.0,0.0,0.0,KM
53,2020-08-28,2,0.0,0.0,0.0,KM
54,2020-08-27,2,0.0,0.0,0.0,KM
55,2020-08-26,2,0.0,0.0,0.0,KM
56,2020-08-25,2,0.0,0.0,0.0,KM
57,2020-08-24,2,0.0,0.0,0.0,KM
58,2020-08-23,2,0.0,0.0,0.0,KM
59,2020-08-22,2,0.0,0.0,0.0,KM
60,2020-08-21,2,0.0,0.0,0.0,KM
61,2020-08-20,2,0.0,0.0,0.0,KM
62,2020-08-19,2,0.0,0.0,0.0,KM
63,2020-08-18,2,0.0,0.0,0.0,KM
64,2020-08-17,2,0.0,0.0,0.0,KM
65,2020-08-16,2,0.0,0.0,0.0,KM
66,2020-08-15,2,0.0,0.0,0.0,KM
67,2020-08-14,2,0.0,0.0,0.0,KM
68,2020-08-13,2,0.0,0.0,0.0,KM
69,2020-08-12,2,0.0,0.0,0.0,KM
70,2020-08-11,2,0.0,0.0,0.0,KM
71,2020-08-10,2,0.0,0.0,0.0,KM
72,2020-08-09,2,0.0,0.0,0.0,KM
73,2020-08-08,2,0.0,0.0,0.0,KM
74,2020-08-07,2,0.0,0.0,0.0,KM
75,2020-08-06,2,0.0,0.0,0.0,KM
76,2020-08-05,2,0.0,0.0,0.0,KM
77,2020-08-04,2,0.0,0.0,0.0,KM
78,2020-08-03,2,0.0,0.0,0.0,KM
79,2020-08-02,2,0.0,0.0,0.0,KM
80,2020-08-01,2,0.0,0.0,0.0,KM
81,2020-07-31,2,0.0,0.0,0.0,KM
82,2020-07-30,2,0.0,0.0,0.0,KM
83,2020-07-29,2,0.0,0.0,0.0,KM
84,2020-07-28,2,0.0,0.0,0.0,KM
85,2020-07-27,2,0.0,0.0,0.0,KM
86,2020-07-26,2,0.0,0.0,0.0,KM
87,2020-07-25,2,0.0,0.0,0.0,KM
88,2020-07-24,2,0.0,0.0,0.0,KM
89,2020-07-23,2,0.0,0.0,0.0,KM
90,2020-07-22,2,0.0,0.0,0.0,KM
91,2020-07-21,2,0.0,0.0,0.0,KM
92,2020-07-20,2,0.0,0.0,0.0,KM
93,2020-07-19,2,0.0,0.0,0.0,KM
94,2020-07-18,2,0.0,0.0,0.0,KM
95,2020-07-17,2,0.0,0.0,0.0,KM
96,2020-07-16,2,0.0,0.0,0.0,KM
97,2020-07-15,2,0.0,0.0,0.0,KM
98,2020-07-14,2,0.0,0.0,0.0,KM
99,2020-07-13,2,0.0,0.0,0.0,KM
100,2020-07-12,2,0.0,0.0,0.0,KM
101,2020-07-11,2,0.0,0.0,0.0,KM
102,2020-07-10,2,0.0,0.0,0.0,KM
103,2020-07-09,2,0.0,0.0,0.0,KM
104,2020-07-08,2,0.0,0.0,0.0,KM
105,2020-07-07,2,0.0,0.0,0.0,KM
106,2020-07-06,2,0.0,0.0,0.0,KM
107,2020-07-05,2,0.0,0.0,0.0,KM
108,2020-07-04,2,0.0,0.0,0.0,KM
109,2020-07-03,2,0.0,0.0,0.0,KM
110,2020-07-02,2,0.0,0.0,0.0,KM
111,2020-07-01,2,0.0,0.0,0.0,KM
112,2020-06-30,2,0.0,0.0,0.0,KM
113,2020-06-29,2,0.0,0.0,0.0,KM
114,2020-06-28,2,0.0,0.0,0.0,KM
115,2020-06-27,2,0.0,0.0,0.0,KM
116,2020-06-26,2,0.0,0.0,0.0,KM
117,2020-06-25,2,0.0,0.0,0.0,KM
118,2020-06-24,2,0.0,0.0,0.0,KM
119,2020-06-23,2,0.0,0.0,0.0,KM
120,2020-06-22,2,0.0,0.0,0.0,KM
