,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,7,0,0.0,3,LR
1,2020-10-19,7,0,0.0,3,LR
2,2020-10-18,7,0,0.0,3,LR
3,2020-10-17,7,0,0.0,3,LR
4,2020-10-16,7,0,0.0,3,LR
5,2020-10-15,7,0,0.0,3,LR
6,2020-10-14,7,0,0.0,3,LR
7,2020-10-13,7,0,0.0,3,LR
8,2020-10-12,7,0,0.0,3,LR
9,2020-10-11,7,0,0.0,3,LR
10,2020-10-10,7,0,0.0,3,LR
11,2020-10-09,7,0,0.0,3,LR
12,2020-10-08,7,0,0.0,3,LR
13,2020-10-07,7,0,0.0,3,LR
14,2020-10-06,7,0,0.0,3,LR
15,2020-10-05,7,0,0.0,3,LR
16,2020-10-04,7,0,0.0,3,LR
17,2020-10-03,7,0,0.0,3,LR
18,2020-10-02,7,0,0.0,3,LR
19,2020-10-01,7,0,0.0,3,LR
20,2020-09-30,7,0,0.0,3,LR
21,2020-09-29,7,0,0.0,3,LR
22,2020-09-28,7,0,0.0,3,LR
23,2020-09-27,7,0,0.0,3,LR
24,2020-09-26,7,0,0.0,3,LR
25,2020-09-25,7,0,0.0,3,LR
26,2020-09-24,7,0,0.0,3,LR
27,2020-09-23,7,0,0.0,3,LR
28,2020-09-22,7,0,0.0,3,LR
29,2020-09-21,7,0,0.0,3,LR
30,2020-09-20,7,0,0.0,3,LR
31,2020-09-19,7,0,0.0,3,LR
32,2020-09-18,7,0,0.0,3,LR
33,2020-09-17,7,0,0.0,3,LR
34,2020-09-16,7,0,0.0,3,LR
35,2020-09-15,7,0,0.0,3,LR
36,2020-09-14,7,0,0.0,3,LR
37,2020-09-13,7,0,0.0,3,LR
38,2020-09-12,7,0,0.0,3,LR
39,2020-09-11,7,0,0.0,3,LR
40,2020-09-10,7,0,0.0,3,LR
41,2020-09-09,7,0,0.0,3,LR
42,2020-09-08,7,0,0.0,3,LR
43,2020-09-07,7,0,0.0,3,LR
44,2020-09-06,7,0,0.0,3,LR
45,2020-09-05,7,0,0.0,3,LR
