,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,4,0,0.0,0.0,LS
1,2020-10-19,4,0,0.0,0.0,LS
2,2020-10-18,4,0,0.0,0.0,LS
3,2020-10-17,4,0,0.0,0.0,LS
4,2020-10-16,4,0,0.0,0.0,LS
5,2020-10-15,4,0,0.0,0.0,LS
6,2020-10-14,4,0,0.0,0.0,LS
7,2020-10-13,4,0,0.0,0.0,LS
8,2020-10-12,4,0,0.0,0.0,LS
9,2020-10-11,4,0,0.0,0.0,LS
10,2020-10-10,4,0,0.0,0.0,LS
11,2020-10-09,4,0,0.0,0.0,LS
12,2020-10-08,4,0,0.0,0.0,LS
13,2020-10-07,4,0,0.0,0.0,LS
14,2020-10-06,4,0,0.0,0.0,LS
15,2020-10-05,4,0,0.0,0.0,LS
16,2020-10-04,4,0,0.0,0.0,LS
17,2020-10-03,4,0,0.0,0.0,LS
18,2020-10-02,4,0,0.0,0.0,LS
19,2020-10-01,4,0,0.0,0.0,LS
20,2020-09-30,4,0,0.0,0.0,LS
21,2020-09-29,4,0,0.0,0.0,LS
22,2020-09-28,4,0,0.0,0.0,LS
23,2020-09-27,4,0,0.0,0.0,LS
24,2020-09-26,4,0,0.0,0.0,LS
25,2020-09-25,4,0,0.0,0.0,LS
26,2020-09-24,4,0,0.0,0.0,LS
27,2020-09-23,4,0,0.0,0.0,LS
28,2020-09-22,4,0,0.0,0.0,LS
29,2020-09-21,4,0,0.0,0.0,LS
30,2020-09-20,4,0,0.0,0.0,LS
31,2020-09-19,4,0,0.0,0.0,LS
32,2020-09-18,4,0,0.0,0.0,LS
33,2020-09-17,4,0,0.0,0.0,LS
34,2020-09-16,4,0,0.0,0.0,LS
35,2020-09-15,4,0,0.0,0.0,LS
36,2020-09-14,4,0,0.0,0.0,LS
37,2020-09-13,4,0,0.0,0.0,LS
38,2020-09-12,4,0,0.0,0.0,LS
39,2020-09-11,4,0,0.0,0.0,LS
40,2020-09-10,4,0,0.0,0.0,LS
41,2020-09-09,4,0,0.0,0.0,LS
42,2020-09-08,4,0,0.0,0.0,LS
43,2020-09-07,4,0,0.0,0.0,LS
44,2020-09-06,4,0,0.0,0.0,LS
45,2020-09-05,4,0,0.0,0.0,LS
46,2020-09-04,4,0,0.0,0.0,LS
47,2020-09-03,4,0,0.0,0.0,LS
48,2020-09-02,4,0,0.0,0.0,LS
49,2020-09-01,4,0,0.0,0.0,LS
50,2020-08-31,4,0,0.0,0.0,LS
51,2020-08-30,4,0,0.0,0.0,LS
52,2020-08-29,4,0,0.0,0.0,LS
53,2020-08-28,4,0,0.0,0.0,LS
54,2020-08-27,4,0,0.0,0.0,LS
55,2020-08-26,4,0,0.0,0.0,LS
56,2020-08-25,4,0,0.0,0.0,LS
57,2020-08-24,4,0,0.0,0.0,LS
58,2020-08-23,4,0,0.0,0.0,LS
59,2020-08-22,4,0,0.0,0.0,LS
60,2020-08-21,4,0,0.0,0.0,LS
61,2020-08-20,4,0,0.0,0.0,LS
62,2020-08-19,4,0,0.0,0.0,LS
63,2020-08-18,4,0,0.0,0.0,LS
64,2020-08-17,4,0,0.0,0.0,LS
65,2020-08-16,4,0,0.0,0.0,LS
66,2020-08-15,4,0,0.0,0.0,LS
67,2020-08-14,4,0,0.0,0.0,LS
68,2020-08-13,4,0,0.0,0.0,LS
69,2020-08-12,4,0,0.0,0.0,LS
70,2020-08-11,4,0,0.0,0.0,LS
71,2020-08-10,4,0,0.0,0.0,LS
72,2020-08-09,4,0,0.0,0.0,LS
73,2020-08-08,4,0,0.0,0.0,LS
74,2020-08-07,4,0,0.0,0.0,LS
75,2020-08-06,4,0,0.0,0.0,LS
76,2020-08-05,4,0,0.0,0.0,LS
77,2020-08-04,4,0,0.0,0.0,LS
78,2020-08-03,4,0,0.0,0.0,LS
79,2020-08-02,4,0,0.0,0.0,LS
80,2020-08-01,4,0,0.0,0.0,LS
81,2020-07-31,4,0,0.0,0.0,LS
82,2020-07-30,4,0,0.0,0.0,LS
83,2020-07-29,4,0,0.0,0.0,LS
84,2020-07-28,4,0,0.0,0.0,LS
85,2020-07-27,4,0,0.0,0.0,LS
86,2020-07-26,4,0,0.0,0.0,LS
87,2020-07-25,4,0,0.0,0.0,LS
88,2020-07-24,4,0,0.0,0.0,LS
89,2020-07-23,4,0,0.0,0.0,LS
90,2020-07-22,4,0,0.0,0.0,LS
91,2020-07-21,4,0,0.0,0.0,LS
92,2020-07-20,4,0,0.0,0.0,LS
93,2020-07-19,4,0,0.0,0.0,LS
94,2020-07-18,4,0,0.0,0.0,LS
95,2020-07-17,4,0,0.0,0.0,LS
96,2020-07-16,4,0,0.0,0.0,LS
97,2020-07-15,4,0,0.0,0.0,LS
98,2020-07-14,4,0,0.0,0.0,LS
99,2020-07-13,4,0,0.0,0.0,LS
100,2020-07-12,4,0,0.0,0.0,LS
101,2020-07-11,4,0,0.0,0.0,LS
102,2020-07-10,4,0,0.0,0.0,LS
103,2020-07-09,4,0,0.0,0.0,LS
104,2020-07-08,4,0,0.0,0.0,LS
105,2020-07-07,4,0,0.0,0.0,LS
106,2020-07-06,4,0,0.0,0.0,LS
107,2020-07-05,4,0,0.0,0.0,LS
108,2020-07-04,4,0,0.0,0.0,LS
109,2020-07-03,4,0,0.0,0.0,LS
110,2020-07-02,4,0,0.0,0.0,LS
111,2020-07-01,4,0,0.0,0.0,LS
112,2020-06-30,4,0,0.0,0.0,LS
113,2020-06-29,4,0,0.0,0.0,LS
114,2020-06-28,4,0,0.0,0.0,LS
115,2020-06-27,4,0,0.0,0.0,LS
116,2020-06-26,4,0,0.0,0.0,LS
117,2020-06-25,4,0,0.0,0.0,LS
118,2020-06-24,4,0,0.0,0.0,LS
119,2020-06-23,4,0,0.0,0.0,LS
120,2020-06-22,4,0,0.0,0.0,LS
121,2020-06-21,4,0,0.0,0.0,LS
122,2020-06-20,4,0,0.0,0.0,LS
123,2020-06-19,4,0,0.0,0.0,LS
124,2020-06-18,4,0,0.0,0.0,LS
125,2020-06-17,4,0,0.0,0.0,LS
126,2020-06-16,4,0,0.0,0.0,LS
127,2020-06-15,4,0,0.0,0.0,LS
128,2020-06-14,4,0,0.0,0.0,LS
129,2020-06-13,4,0,0.0,0.0,LS
130,2020-06-12,4,0,0.0,0.0,LS
131,2020-06-11,4,0,0.0,0.0,LS
132,2020-06-10,4,0,0.0,0.0,LS
133,2020-06-09,4,0,0.0,0.0,LS
134,2020-06-08,4,0,0.0,0.0,LS
135,2020-06-07,4,0,0.0,0.0,LS
136,2020-06-06,4,0,0.0,0.0,LS
137,2020-06-05,4,0,0.0,0.0,LS
138,2020-06-04,4,0,0.0,0.0,LS
139,2020-06-03,4,0,0.0,0.0,LS
140,2020-06-02,4,0,0.0,0.0,LS
141,2020-06-01,4,0,0.0,0.0,LS
142,2020-05-31,4,0,0.0,0.0,LS
143,2020-05-30,4,0,0.0,0.0,LS
144,2020-05-29,4,0,0.0,0.0,LS
145,2020-05-28,4,0,0.0,0.0,LS
146,2020-05-27,4,0,0.0,0.0,LS
147,2020-05-26,4,0,0.0,0.0,LS
148,2020-05-25,4,0,0.0,0.0,LS
149,2020-05-24,4,0,0.0,0.0,LS
150,2020-05-23,4,0,0.0,0.0,LS
151,2020-05-22,4,0,0.0,0.0,LS
152,2020-05-21,4,0,0.0,0.0,LS
153,2020-05-20,4,0,0.0,0.0,LS
154,2020-05-19,4,0,0.0,0.0,LS
155,2020-05-18,4,0,0.0,0.0,LS
156,2020-05-17,4,0,0.0,0.0,LS
157,2020-05-16,4,0,0.0,0.0,LS
158,2020-05-15,4,0,0.0,0.0,LS
159,2020-05-14,4,0,0.0,0.0,LS
160,2020-05-13,4,0,0.0,0.0,LS
161,2020-05-12,4,0,0.0,0.0,LS
162,2020-05-11,4,0,0.0,0.0,LS
163,2020-05-10,4,0,0.0,0.0,LS
164,2020-05-09,4,0,0.0,0.0,LS
165,2020-05-08,4,0,0.0,0.0,LS
166,2020-05-07,4,0,0.0,0.0,LS
167,2020-05-06,4,0,0.0,0.0,LS
168,2020-05-05,4,0,0.0,0.0,LS
169,2020-05-03,4,0,0.0,0.0,LS
170,2020-05-02,4,0,0.0,0.0,LS
171,2020-05-01,4,0,0.0,0.0,LS
172,2020-04-30,4,0,0.0,0.0,LS
173,2020-04-29,4,0,0.0,0.0,LS
174,2020-04-28,4,0,0.0,0.0,LS
175,2020-04-27,4,0,0.0,0.0,LS
176,2020-04-26,4,0,0.0,0.0,LS
177,2020-04-25,4,0,0.0,0.0,LS
178,2020-04-24,4,0,0.0,0.0,LS
179,2020-04-23,4,0,0.0,0.0,LS
180,2020-04-22,4,0,0.0,0.0,LS
181,2020-04-21,4,0,0.0,0.0,LS
182,2020-04-20,4,0,0.0,0.0,LS
183,2020-04-19,4,0,0.0,0.0,LS
184,2020-04-18,4,0,0.0,0.0,LS
185,2020-04-17,4,0,0.0,0.0,LS
186,2020-04-16,4,0,0.0,0.0,LS
187,2020-04-15,4,0,0.0,0.0,LS
188,2020-04-14,4,0,0.0,0.0,LS
189,2020-04-13,4,0,0.0,0.0,LS
190,2020-04-12,4,0,0.0,0.0,LS
191,2020-04-11,4,0,0.0,0.0,LS
192,2020-04-10,4,0,0.0,0.0,LS
193,2020-04-09,4,0,0.0,0.0,LS
194,2020-04-08,4,0,0.0,0.0,LS
195,2020-04-07,4,0,0.0,0.0,LS
196,2020-04-06,4,0,0.0,0.0,LS
197,2020-04-05,4,0,0.0,0.0,LS
198,2020-04-04,4,0,0.0,0.0,LS
199,2020-04-03,4,0,0.0,0.0,LS
200,2020-04-02,4,0,0.0,0.0,LS
201,2020-04-01,4,0,0.0,0.0,LS
202,2020-03-31,4,0,0.0,0.0,LS
203,2020-03-30,4,0,0.0,0.0,LS
204,2020-03-29,4,0,0.0,0.0,LS
205,2020-03-28,4,0,0.0,0.0,LS
206,2020-03-27,4,0,0.0,0.0,LS
207,2020-03-26,4,0,0.0,0.0,LS
208,2020-03-25,4,0,0.0,0.0,LS
209,2020-03-24,4,0,0.0,0.0,LS
210,2020-03-23,4,0,0.0,0.0,LS
211,2020-03-22,4,0,0.0,0.0,LS
