,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,0.0,0.0,0.0,LY
1,2020-10-19,2,0.0,0.0,0.0,LY
2,2020-10-18,2,0.0,0.0,0.0,LY
3,2020-10-17,2,0.0,0.0,0.0,LY
4,2020-10-16,2,0.0,0.0,0.0,LY
5,2020-10-15,2,0.0,0.0,0.0,LY
6,2020-10-14,2,0.0,0.0,0.0,LY
7,2020-10-13,2,0.0,0.0,0.0,LY
8,2020-10-12,2,0.0,0.0,0.0,LY
9,2020-10-11,2,0.0,0.0,0.0,LY
10,2020-10-10,2,0.0,0.0,0.0,LY
11,2020-10-09,2,0.0,0.0,0.0,LY
12,2020-10-08,2,0.0,0.0,0.0,LY
13,2020-10-07,2,0.0,0.0,0.0,LY
14,2020-10-06,2,0.0,0.0,0.0,LY
15,2020-10-05,2,0.0,0.0,0.0,LY
16,2020-10-04,2,0.0,0.0,0.0,LY
17,2020-10-03,2,0.0,0.0,0.0,LY
18,2020-10-02,2,0.0,0.0,0.0,LY
19,2020-10-01,2,0.0,0.0,0.0,LY
20,2020-09-30,2,0.0,0.0,0.0,LY
21,2020-09-29,2,0.0,0.0,0.0,LY
22,2020-09-28,2,0.0,0.0,0.0,LY
23,2020-09-27,2,0.0,0.0,0.0,LY
24,2020-09-26,2,0.0,0.0,0.0,LY
25,2020-09-25,2,0.0,0.0,0.0,LY
26,2020-09-24,2,0.0,0.0,0.0,LY
27,2020-09-23,2,0.0,0.0,0.0,LY
28,2020-09-22,2,0.0,0.0,0.0,LY
29,2020-09-21,2,0.0,0.0,0.0,LY
30,2020-09-20,2,0.0,0.0,0.0,LY
31,2020-09-19,2,0.0,0.0,0.0,LY
32,2020-09-18,2,0.0,0.0,0.0,LY
33,2020-09-17,2,0.0,0.0,0.0,LY
34,2020-09-16,2,0.0,0.0,0.0,LY
35,2020-09-15,2,0.0,0.0,0.0,LY
36,2020-09-14,2,0.0,0.0,0.0,LY
37,2020-09-13,2,0.0,0.0,0.0,LY
38,2020-09-12,2,0.0,0.0,0.0,LY
39,2020-09-11,2,0.0,0.0,0.0,LY
40,2020-09-10,2,0.0,0.0,0.0,LY
41,2020-09-09,2,0.0,0.0,0.0,LY
42,2020-09-08,2,0.0,0.0,0.0,LY
43,2020-09-07,2,0.0,0.0,0.0,LY
44,2020-09-06,2,0.0,0.0,0.0,LY
45,2020-09-05,2,0.0,0.0,0.0,LY
46,2020-09-04,2,0.0,0.0,0.0,LY
47,2020-09-03,2,0.0,0.0,0.0,LY
48,2020-09-02,2,0.0,0.0,0.0,LY
49,2020-09-01,2,0.0,0.0,0.0,LY
50,2020-08-31,2,0.0,0.0,0.0,LY
51,2020-08-30,2,0.0,0.0,0.0,LY
52,2020-08-29,2,0.0,0.0,0.0,LY
53,2020-08-28,2,0.0,0.0,0.0,LY
54,2020-08-27,2,0.0,0.0,0.0,LY
55,2020-08-26,2,0.0,0.0,0.0,LY
56,2020-08-25,2,0.0,0.0,0.0,LY
57,2020-08-24,2,0.0,0.0,0.0,LY
58,2020-08-23,2,0.0,0.0,0.0,LY
59,2020-08-22,2,0.0,0.0,0.0,LY
60,2020-08-21,2,0.0,0.0,0.0,LY
61,2020-08-20,2,0.0,0.0,0.0,LY
62,2020-08-19,2,0.0,0.0,0.0,LY
63,2020-08-18,2,0.0,0.0,0.0,LY
64,2020-08-17,2,0.0,0.0,0.0,LY
65,2020-08-16,2,0.0,0.0,0.0,LY
66,2020-08-15,2,0.0,0.0,0.0,LY
67,2020-08-14,2,0.0,0.0,0.0,LY
68,2020-08-13,2,0.0,0.0,0.0,LY
69,2020-08-12,2,0.0,0.0,0.0,LY
70,2020-08-11,2,0.0,0.0,0.0,LY
71,2020-08-10,2,0.0,0.0,0.0,LY
72,2020-08-09,2,0.0,0.0,0.0,LY
73,2020-08-08,2,0.0,0.0,0.0,LY
74,2020-08-07,2,0.0,0.0,0.0,LY
75,2020-08-06,2,0.0,0.0,0.0,LY
76,2020-08-05,2,0.0,0.0,0.0,LY
77,2020-08-04,2,0.0,0.0,0.0,LY
78,2020-08-03,2,0.0,0.0,0.0,LY
79,2020-08-02,2,0.0,0.0,0.0,LY
80,2020-08-01,2,0.0,0.0,0.0,LY
81,2020-07-31,2,0.0,0.0,0.0,LY
82,2020-07-30,2,0.0,0.0,0.0,LY
83,2020-07-29,2,0.0,0.0,0.0,LY
84,2020-07-28,2,0.0,0.0,0.0,LY
85,2020-07-27,2,0.0,0.0,0.0,LY
86,2020-07-26,2,0.0,0.0,0.0,LY
87,2020-07-25,2,0.0,0.0,0.0,LY
88,2020-07-24,2,0.0,0.0,0.0,LY
89,2020-07-23,2,0.0,0.0,0.0,LY
90,2020-07-22,2,0.0,0.0,0.0,LY
91,2020-07-21,2,0.0,0.0,0.0,LY
92,2020-07-20,2,0.0,0.0,0.0,LY
93,2020-07-19,2,0.0,0.0,0.0,LY
94,2020-07-18,2,0.0,0.0,0.0,LY
95,2020-07-17,2,0.0,0.0,0.0,LY
96,2020-07-16,2,0.0,0.0,0.0,LY
97,2020-07-15,2,0.0,0.0,0.0,LY
98,2020-07-14,2,0.0,0.0,0.0,LY
99,2020-07-13,2,0.0,0.0,0.0,LY
100,2020-07-12,2,0.0,0.0,0.0,LY
101,2020-07-11,2,0.0,0.0,0.0,LY
102,2020-07-10,2,0.0,0.0,0.0,LY
103,2020-07-09,2,0.0,0.0,0.0,LY
104,2020-07-08,2,0.0,0.0,0.0,LY
105,2020-07-07,2,0.0,0.0,0.0,LY
106,2020-07-06,2,0.0,0.0,0.0,LY
107,2020-07-05,2,0.0,0.0,0.0,LY
108,2020-07-04,1,0.0,1.0,0.0,LY
109,2020-07-03,1,0.0,1.0,0.0,LY
110,2020-07-02,1,0.0,1.0,0.0,LY
111,2020-07-01,1,0.0,1.0,0.0,LY
112,2020-06-30,1,0.0,1.0,0.0,LY
113,2020-06-29,1,0.0,1.0,0.0,LY
114,2020-06-28,1,0.0,1.0,0.0,LY
115,2020-06-27,1,0.0,1.0,0.0,LY
116,2020-06-26,1,0.0,1.0,0.0,LY
117,2020-06-25,1,0.0,1.0,0.0,LY
118,2020-06-24,1,0.0,1.0,0.0,LY
119,2020-06-23,1,0.0,1.0,0.0,LY
120,2020-06-22,1,0.0,1.0,0.0,LY
121,2020-06-21,1,0.0,1.0,0.0,LY
122,2020-06-20,1,0.0,1.0,0.0,LY
123,2020-06-19,1,0.0,1.0,0.0,LY
124,2020-06-18,1,0.0,1.0,0.0,LY
125,2020-06-17,1,0.0,1.0,0.0,LY
126,2020-06-16,1,0.0,1.0,0.0,LY
127,2020-06-15,1,0.0,1.0,0.0,LY
128,2020-06-14,1,0.0,1.0,0.0,LY
129,2020-06-13,1,0.0,1.0,0.0,LY
130,2020-06-12,1,0.0,1.0,0.0,LY
131,2020-06-11,1,0.0,1.0,0.0,LY
132,2020-06-10,1,0.0,1.0,0.0,LY
133,2020-06-09,1,0.0,1.0,0.0,LY
134,2020-06-08,1,0.0,1.0,0.0,LY
135,2020-06-07,1,0.0,1.0,0.0,LY
136,2020-06-06,1,0.0,1.0,0.0,LY
137,2020-06-05,1,0.0,1.0,0.0,LY
138,2020-06-04,1,0.0,1.0,0.0,LY
139,2020-06-03,1,0.0,1.0,0.0,LY
140,2020-06-02,1,0.0,1.0,0.0,LY
141,2020-06-01,1,0.0,1.0,0.0,LY
142,2020-05-31,1,0.0,1.0,0.0,LY
143,2020-05-30,1,0.0,1.0,0.0,LY
144,2020-05-29,1,0.0,1.0,0.0,LY
145,2020-05-28,1,0.0,1.0,0.0,LY
146,2020-05-27,1,0.0,1.0,0.0,LY
147,2020-05-26,1,0.0,1.0,0.0,LY
148,2020-05-25,1,0.0,1.0,0.0,LY
149,2020-05-24,1,0.0,1.0,0.0,LY
150,2020-05-23,1,0.0,1.0,0.0,LY
151,2020-05-22,1,0.0,1.0,0.0,LY
152,2020-05-21,1,0.0,1.0,0.0,LY
153,2020-05-20,1,0.0,1.0,0.0,LY
154,2020-05-19,1,0.0,1.0,0.0,LY
155,2020-05-18,1,0.0,1.0,0.0,LY
156,2020-05-17,1,0.0,1.0,0.0,LY
157,2020-05-16,1,0.0,1.0,0.0,LY
158,2020-05-15,1,0.0,1.0,0.0,LY
159,2020-05-14,1,0.0,1.0,0.0,LY
160,2020-05-13,1,0.0,1.0,0.0,LY
161,2020-05-12,1,0.0,1.0,0.0,LY
162,2020-05-11,1,0.0,1.0,0.0,LY
163,2020-05-10,1,0.0,1.0,0.0,LY
164,2020-05-09,1,0.0,1.0,0.0,LY
165,2020-05-08,1,0.0,1.0,0.0,LY
166,2020-05-07,1,0.0,1.0,0.0,LY
