,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,15,2,1.0,3,MA
1,2020-10-19,15,2,1.0,3,MA
2,2020-10-18,15,1,2.0,3,MA
3,2020-10-17,15,1,2.0,3,MA
4,2020-10-16,15,1,2.0,3,MA
5,2020-10-15,15,1,2.0,3,MA
6,2020-10-14,15,1,2.0,3,MA
7,2020-10-13,15,1,2.0,3,MA
8,2020-10-12,15,1,2.0,3,MA
9,2020-10-11,15,2,1.0,3,MA
10,2020-10-10,15,2,1.0,3,MA
11,2020-10-09,15,3,0.0,3,MA
12,2020-10-08,15,2,1.0,3,MA
13,2020-10-07,15,2,1.0,3,MA
14,2020-10-06,15,2,1.0,3,MA
15,2020-10-05,15,2,1.0,3,MA
16,2020-10-04,15,2,1.0,3,MA
17,2020-10-03,15,3,0.0,3,MA
18,2020-10-02,15,3,0.0,3,MA
19,2020-10-01,15,3,0.0,3,MA
20,2020-09-30,15,3,0.0,3,MA
21,2020-09-29,15,2,1.0,3,MA
22,2020-09-28,15,2,1.0,3,MA
23,2020-09-27,15,3,0.0,3,MA
24,2020-09-26,15,3,0.0,3,MA
25,2020-09-25,15,3,0.0,3,MA
26,2020-09-24,15,3,0.0,3,MA
27,2020-09-23,15,3,0.0,3,MA
28,2020-09-22,15,3,0.0,3,MA
29,2020-09-21,15,3,0.0,3,MA
30,2020-09-20,15,3,0.0,3,MA
31,2020-09-19,15,3,0.0,3,MA
32,2020-09-18,15,3,0.0,3,MA
33,2020-09-17,15,3,0.0,3,MA
34,2020-09-16,15,3,0.0,3,MA
35,2020-09-15,15,3,0.0,3,MA
36,2020-09-14,15,3,0.0,3,MA
37,2020-09-13,15,3,0.0,3,MA
38,2020-09-12,15,3,0.0,3,MA
39,2020-09-11,15,2,1.0,3,MA
40,2020-09-10,15,2,1.0,3,MA
41,2020-09-09,15,3,0.0,3,MA
42,2020-09-08,15,3,0.0,3,MA
43,2020-09-07,15,3,0.0,3,MA
44,2020-09-06,15,3,0.0,3,MA
45,2020-09-05,15,3,0.0,3,MA
