,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,7,4,0,0.0,MG
1,2020-10-19,7,4,0,0.0,MG
2,2020-10-18,7,4,0,0.0,MG
3,2020-10-17,7,4,0,0.0,MG
4,2020-10-16,7,4,0,0.0,MG
5,2020-10-15,7,4,0,0.0,MG
6,2020-10-14,7,4,0,0.0,MG
7,2020-10-13,7,4,0,0.0,MG
8,2020-10-12,7,4,0,0.0,MG
9,2020-10-11,7,4,0,0.0,MG
10,2020-10-10,7,2,2,0.0,MG
11,2020-10-09,7,4,0,0.0,MG
12,2020-10-08,7,4,0,0.0,MG
13,2020-10-07,7,4,0,0.0,MG
14,2020-10-06,7,2,2,0.0,MG
15,2020-10-05,7,4,0,0.0,MG
16,2020-10-04,7,4,0,0.0,MG
17,2020-10-03,7,4,0,0.0,MG
18,2020-10-02,7,4,0,0.0,MG
19,2020-10-01,7,4,0,0.0,MG
20,2020-09-30,7,4,0,0.0,MG
21,2020-09-29,7,4,0,0.0,MG
22,2020-09-28,7,4,0,0.0,MG
23,2020-09-27,7,4,0,0.0,MG
24,2020-09-26,7,4,0,0.0,MG
25,2020-09-25,7,4,0,0.0,MG
26,2020-09-24,7,4,0,0.0,MG
27,2020-09-23,7,4,0,0.0,MG
28,2020-09-22,7,4,0,0.0,MG
29,2020-09-21,7,4,0,0.0,MG
30,2020-09-20,7,4,0,0.0,MG
31,2020-09-19,7,4,0,0.0,MG
32,2020-09-18,7,4,0,0.0,MG
33,2020-09-17,7,4,0,0.0,MG
34,2020-09-16,7,4,0,0.0,MG
35,2020-09-15,7,4,0,0.0,MG
36,2020-09-14,7,4,0,0.0,MG
37,2020-09-13,7,4,0,0.0,MG
38,2020-09-12,7,4,0,0.0,MG
39,2020-09-11,7,4,0,0.0,MG
40,2020-09-10,7,4,0,0.0,MG
41,2020-09-09,7,4,0,0.0,MG
42,2020-09-08,7,4,0,0.0,MG
43,2020-09-07,7,4,0,0.0,MG
44,2020-09-06,7,4,0,0.0,MG
45,2020-09-05,7,4,0,0.0,MG
46,2020-09-04,7,4,0,0.0,MG
47,2020-09-03,7,4,0,0.0,MG
48,2020-09-02,7,4,0,0.0,MG
49,2020-09-01,7,4,0,0.0,MG
50,2020-08-31,7,4,0,0.0,MG
51,2020-08-30,7,4,0,0.0,MG
52,2020-08-29,7,4,0,0.0,MG
53,2020-08-28,7,4,0,0.0,MG
54,2020-08-27,7,4,0,0.0,MG
55,2020-08-26,7,4,0,0.0,MG
56,2020-08-25,7,4,0,0.0,MG
57,2020-08-24,7,3,1,0.0,MG
58,2020-08-23,7,3,1,0.0,MG
59,2020-08-22,7,3,1,0.0,MG
60,2020-08-21,7,3,1,0.0,MG
61,2020-08-20,7,3,1,0.0,MG
62,2020-08-19,7,3,1,0.0,MG
