,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,1,0.0,0.0,0.0,ML
1,2020-10-19,1,0.0,0.0,0.0,ML
2,2020-10-18,1,0.0,0.0,0.0,ML
3,2020-10-17,1,0.0,0.0,0.0,ML
4,2020-10-16,1,0.0,0.0,0.0,ML
5,2020-10-15,1,0.0,0.0,0.0,ML
6,2020-10-14,1,0.0,0.0,0.0,ML
7,2020-10-13,1,0.0,0.0,0.0,ML
8,2020-10-12,1,0.0,0.0,0.0,ML
9,2020-10-11,1,0.0,0.0,0.0,ML
10,2020-10-10,1,0.0,0.0,0.0,ML
11,2020-10-09,1,0.0,0.0,0.0,ML
12,2020-10-08,1,0.0,0.0,0.0,ML
13,2020-10-07,1,0.0,0.0,0.0,ML
14,2020-10-06,1,0.0,0.0,0.0,ML
15,2020-10-05,1,0.0,0.0,0.0,ML
16,2020-10-04,1,0.0,0.0,0.0,ML
17,2020-10-03,1,0.0,0.0,0.0,ML
18,2020-10-02,1,0.0,0.0,0.0,ML
19,2020-10-01,1,0.0,0.0,0.0,ML
20,2020-09-30,1,0.0,0.0,0.0,ML
21,2020-09-29,1,0.0,0.0,0.0,ML
22,2020-09-28,1,0.0,0.0,0.0,ML
23,2020-09-27,1,0.0,0.0,0.0,ML
24,2020-09-26,1,0.0,0.0,0.0,ML
25,2020-09-25,1,0.0,0.0,0.0,ML
26,2020-09-24,1,0.0,0.0,0.0,ML
27,2020-09-23,1,0.0,0.0,0.0,ML
28,2020-09-22,1,0.0,0.0,0.0,ML
29,2020-09-21,1,0.0,0.0,0.0,ML
30,2020-09-20,1,0.0,0.0,0.0,ML
31,2020-09-19,1,0.0,0.0,0.0,ML
32,2020-09-18,1,0.0,0.0,0.0,ML
33,2020-09-17,1,0.0,0.0,0.0,ML
34,2020-09-16,1,0.0,0.0,0.0,ML
35,2020-09-15,1,0.0,0.0,0.0,ML
36,2020-09-14,1,0.0,0.0,0.0,ML
37,2020-09-13,1,0.0,0.0,0.0,ML
38,2020-09-12,1,0.0,0.0,0.0,ML
39,2020-09-11,1,0.0,0.0,0.0,ML
40,2020-09-10,1,0.0,0.0,0.0,ML
41,2020-09-09,1,0.0,0.0,0.0,ML
42,2020-09-08,1,0.0,0.0,0.0,ML
43,2020-09-07,1,0.0,0.0,0.0,ML
44,2020-09-06,1,0.0,0.0,0.0,ML
45,2020-09-05,1,0.0,0.0,0.0,ML
46,2020-09-04,1,0.0,0.0,0.0,ML
47,2020-09-03,1,0.0,0.0,0.0,ML
48,2020-09-02,1,0.0,0.0,0.0,ML
49,2020-09-01,1,0.0,0.0,0.0,ML
50,2020-08-31,1,0.0,0.0,0.0,ML
51,2020-08-30,1,0.0,0.0,0.0,ML
52,2020-08-29,1,0.0,0.0,0.0,ML
53,2020-08-28,1,0.0,0.0,0.0,ML
