,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,4,0.0,0.0,0.0,MR
1,2020-10-19,4,0.0,0.0,0.0,MR
2,2020-10-18,4,0.0,0.0,0.0,MR
3,2020-10-17,4,0.0,0.0,0.0,MR
4,2020-10-16,4,0.0,0.0,0.0,MR
5,2020-10-15,4,0.0,0.0,0.0,MR
6,2020-10-14,4,0.0,0.0,0.0,MR
7,2020-10-13,4,0.0,0.0,0.0,MR
8,2020-10-12,4,0.0,0.0,0.0,MR
9,2020-10-11,4,0.0,0.0,0.0,MR
10,2020-10-10,4,0.0,0.0,0.0,MR
11,2020-10-09,4,0.0,0.0,0.0,MR
12,2020-10-08,4,0.0,0.0,0.0,MR
13,2020-10-07,4,0.0,0.0,0.0,MR
14,2020-10-06,4,0.0,0.0,0.0,MR
15,2020-10-05,4,0.0,0.0,0.0,MR
16,2020-10-04,4,0.0,0.0,0.0,MR
17,2020-10-03,4,0.0,0.0,0.0,MR
18,2020-10-02,4,0.0,0.0,0.0,MR
19,2020-10-01,4,0.0,0.0,0.0,MR
20,2020-09-30,4,0.0,0.0,0.0,MR
21,2020-09-29,4,0.0,0.0,0.0,MR
22,2020-09-28,4,0.0,0.0,0.0,MR
23,2020-09-27,4,0.0,0.0,0.0,MR
24,2020-09-26,4,0.0,0.0,0.0,MR
25,2020-09-25,4,0.0,0.0,0.0,MR
26,2020-09-24,4,0.0,0.0,0.0,MR
27,2020-09-23,4,0.0,0.0,0.0,MR
28,2020-09-22,4,0.0,0.0,0.0,MR
29,2020-09-21,4,0.0,0.0,0.0,MR
30,2020-09-20,4,0.0,0.0,0.0,MR
31,2020-09-19,4,0.0,0.0,0.0,MR
32,2020-09-18,4,0.0,0.0,0.0,MR
33,2020-09-17,4,0.0,0.0,0.0,MR
34,2020-09-16,4,0.0,0.0,0.0,MR
35,2020-09-15,4,0.0,0.0,0.0,MR
36,2020-09-14,4,0.0,0.0,0.0,MR
37,2020-09-13,4,0.0,0.0,0.0,MR
38,2020-09-12,4,0.0,0.0,0.0,MR
39,2020-09-11,4,0.0,0.0,0.0,MR
40,2020-09-10,4,0.0,0.0,0.0,MR
41,2020-09-09,4,0.0,0.0,0.0,MR
42,2020-09-08,4,0.0,0.0,0.0,MR
43,2020-09-07,4,0.0,0.0,0.0,MR
44,2020-09-06,4,0.0,0.0,0.0,MR
45,2020-09-05,4,0.0,0.0,0.0,MR
46,2020-09-04,4,0.0,0.0,0.0,MR
47,2020-09-03,4,0.0,0.0,0.0,MR
48,2020-09-02,4,0.0,0.0,0.0,MR
49,2020-09-01,4,0.0,0.0,0.0,MR
50,2020-08-31,4,0.0,0.0,0.0,MR
51,2020-08-30,4,0.0,0.0,0.0,MR
52,2020-08-29,4,0.0,0.0,0.0,MR
