,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,16,5,4,1,MU
1,2020-10-19,16,5,4,1,MU
2,2020-10-18,16,5,4,1,MU
3,2020-10-17,16,5,4,1,MU
4,2020-10-16,16,5,4,1,MU
5,2020-10-15,16,5,4,1,MU
6,2020-10-14,16,5,4,1,MU
7,2020-10-13,16,5,4,1,MU
8,2020-10-12,16,5,4,1,MU
9,2020-10-11,16,5,4,1,MU
10,2020-10-10,16,5,4,1,MU
11,2020-10-09,16,5,4,1,MU
12,2020-10-08,16,5,4,1,MU
13,2020-10-07,16,5,4,1,MU
14,2020-10-06,16,5,4,1,MU
15,2020-10-05,16,5,4,1,MU
16,2020-10-04,16,5,4,1,MU
17,2020-10-03,16,5,4,1,MU
18,2020-10-02,16,5,4,1,MU
19,2020-10-01,16,5,4,1,MU
20,2020-09-30,16,5,4,1,MU
21,2020-09-29,16,5,4,1,MU
22,2020-09-28,16,5,4,1,MU
23,2020-09-27,16,5,4,1,MU
24,2020-09-26,16,5,4,1,MU
25,2020-09-25,16,5,4,1,MU
26,2020-09-24,15,5,5,1,MU
27,2020-09-23,15,5,5,1,MU
28,2020-09-22,15,6,4,1,MU
29,2020-09-21,15,6,4,1,MU
30,2020-09-20,15,6,4,1,MU
31,2020-09-19,15,6,4,1,MU
32,2020-09-18,15,6,4,1,MU
33,2020-09-17,15,5,5,1,MU
34,2020-09-16,15,5,5,1,MU
35,2020-09-15,15,5,5,1,MU
36,2020-09-14,15,5,5,1,MU
37,2020-09-13,15,5,5,1,MU
38,2020-09-12,15,5,5,1,MU
39,2020-09-11,15,6,4,1,MU
40,2020-09-10,15,4,6,1,MU
41,2020-09-09,15,4,6,1,MU
42,2020-09-08,15,4,6,1,MU
43,2020-09-07,15,4,6,1,MU
44,2020-09-06,15,3,7,1,MU
45,2020-09-05,15,4,6,1,MU
46,2020-09-04,15,5,5,1,MU
47,2020-09-03,15,5,5,1,MU
48,2020-09-02,15,5,5,1,MU
49,2020-09-01,15,5,5,1,MU
50,2020-08-31,15,7,3,1,MU
51,2020-08-30,15,7,3,1,MU
52,2020-08-29,15,7,3,1,MU
53,2020-08-28,15,7,3,1,MU
54,2020-08-27,15,7,3,1,MU
55,2020-08-26,15,7,3,1,MU
56,2020-08-25,15,7,3,1,MU
57,2020-08-24,15,6,3,1,MU
58,2020-08-23,15,6,3,1,MU
59,2020-08-22,15,6,3,1,MU
60,2020-08-21,15,6,3,1,MU
61,2020-08-20,15,6,3,1,MU
62,2020-08-19,15,6,3,1,MU
63,2020-08-18,15,6,3,1,MU
64,2020-08-17,15,6,3,1,MU
65,2020-08-16,15,6,3,1,MU
66,2020-08-15,15,6,3,1,MU
67,2020-08-14,15,6,3,1,MU
68,2020-08-13,15,7,2,1,MU
69,2020-08-12,15,7,2,1,MU
70,2020-08-11,15,7,2,1,MU
71,2020-08-10,15,8,1,1,MU
72,2020-08-09,15,8,1,1,MU
73,2020-08-08,15,8,1,1,MU
74,2020-08-07,15,8,1,1,MU
75,2020-08-06,15,8,1,1,MU
76,2020-08-05,15,8,1,1,MU
77,2020-08-04,14,8,2,1,MU
78,2020-08-03,14,8,2,1,MU
79,2020-08-02,14,8,2,1,MU
80,2020-08-01,14,8,2,1,MU
81,2020-07-31,14,7,3,1,MU
82,2020-07-30,14,7,3,1,MU
83,2020-07-29,14,8,2,1,MU
84,2020-07-28,14,8,2,1,MU
85,2020-07-27,14,8,2,1,MU
86,2020-07-26,14,8,2,1,MU
87,2020-07-25,14,8,2,1,MU
88,2020-07-24,14,7,3,1,MU
89,2020-07-23,13,7,4,1,MU
90,2020-07-22,13,7,4,1,MU
91,2020-07-21,13,7,4,1,MU
92,2020-07-20,13,7,4,1,MU
93,2020-07-19,13,7,4,1,MU
94,2020-07-18,13,7,4,1,MU
95,2020-07-17,13,7,4,1,MU
96,2020-07-16,13,7,4,1,MU
97,2020-07-15,13,7,4,1,MU
98,2020-07-14,13,7,4,1,MU
99,2020-07-13,13,7,4,1,MU
100,2020-07-12,13,7,4,1,MU
101,2020-07-11,13,7,4,1,MU
102,2020-07-10,13,7,4,1,MU
103,2020-07-09,13,7,4,1,MU
104,2020-07-08,13,7,4,1,MU
105,2020-07-07,13,7,4,1,MU
106,2020-07-06,13,7,4,1,MU
107,2020-07-05,13,7,4,1,MU
108,2020-07-04,13,7,4,1,MU
109,2020-07-03,13,6,5,1,MU
110,2020-07-02,13,7,4,1,MU
111,2020-07-01,13,7,4,1,MU
112,2020-06-30,13,7,4,1,MU
113,2020-06-29,13,7,4,1,MU
114,2020-06-28,13,7,4,1,MU
115,2020-06-27,13,7,4,1,MU
116,2020-06-26,13,6,5,1,MU
117,2020-06-25,14,6,4,1,MU
118,2020-06-24,13,7,4,1,MU
119,2020-06-23,13,7,4,1,MU
120,2020-06-22,13,7,4,1,MU
121,2020-06-21,13,6,5,1,MU
122,2020-06-20,13,6,5,1,MU
123,2020-06-19,13,7,4,1,MU
124,2020-06-18,13,7,4,1,MU
125,2020-06-17,13,7,4,1,MU
126,2020-06-16,13,6,5,1,MU
127,2020-06-15,13,7,4,1,MU
128,2020-06-14,13,7,4,1,MU
129,2020-06-13,13,7,4,1,MU
130,2020-06-12,13,7,4,1,MU
131,2020-06-11,13,7,4,1,MU
132,2020-06-10,13,7,4,1,MU
133,2020-06-09,13,7,4,1,MU
134,2020-06-08,13,7,4,1,MU
135,2020-06-07,13,7,4,1,MU
136,2020-06-06,13,7,4,1,MU
137,2020-06-05,13,7,4,1,MU
138,2020-06-04,13,7,4,1,MU
139,2020-06-03,13,7,4,1,MU
140,2020-06-02,13,7,4,1,MU
141,2020-06-01,13,8,3,1,MU
142,2020-05-31,13,8,3,1,MU
143,2020-05-30,13,8,3,1,MU
144,2020-05-29,13,8,3,1,MU
145,2020-05-28,13,8,3,1,MU
146,2020-05-27,13,8,3,1,MU
147,2020-05-26,13,8,3,1,MU
148,2020-05-25,13,8,3,1,MU
149,2020-05-24,13,8,3,1,MU
150,2020-05-23,13,8,3,1,MU
151,2020-05-22,13,8,3,1,MU
152,2020-05-21,13,8,3,1,MU
153,2020-05-20,13,8,3,1,MU
154,2020-05-19,13,8,3,1,MU
155,2020-05-18,13,8,3,1,MU
156,2020-05-17,13,8,3,1,MU
157,2020-05-16,13,8,3,1,MU
158,2020-05-15,13,8,3,1,MU
159,2020-05-14,13,8,3,1,MU
160,2020-05-13,13,8,3,1,MU
161,2020-05-12,13,8,3,1,MU
162,2020-05-11,13,7,4,1,MU
163,2020-05-10,13,7,4,1,MU
164,2020-05-09,13,7,4,1,MU
165,2020-05-08,13,7,4,1,MU
166,2020-05-07,13,8,3,1,MU
167,2020-05-06,13,8,3,1,MU
168,2020-05-05,13,9,2,1,MU
169,2020-05-03,13,8,2,1,MU
170,2020-05-02,13,8,2,1,MU
171,2020-05-01,13,8,2,1,MU
172,2020-04-30,13,8,2,1,MU
173,2020-04-29,13,8,2,1,MU
174,2020-04-28,13,8,2,1,MU
175,2020-04-27,13,8,2,1,MU
176,2020-04-26,13,8,2,1,MU
177,2020-04-25,13,8,2,1,MU
178,2020-04-24,13,8,2,1,MU
179,2020-04-23,13,9,1,1,MU
180,2020-04-22,13,9,1,1,MU
181,2020-04-21,13,9,1,1,MU
182,2020-04-20,13,9,1,1,MU
183,2020-04-19,13,8,2,1,MU
184,2020-04-18,13,9,1,1,MU
185,2020-04-17,13,8,2,1,MU
186,2020-04-16,13,8,2,1,MU
187,2020-04-15,13,9,1,1,MU
188,2020-04-14,13,9,1,1,MU
189,2020-04-13,13,9,1,1,MU
190,2020-04-12,13,9,1,1,MU
191,2020-04-11,13,9,1,1,MU
192,2020-04-10,13,9,1,1,MU
193,2020-04-09,13,8,2,1,MU
194,2020-04-08,13,9,1,1,MU
195,2020-04-07,13,9,1,1,MU
196,2020-04-06,13,9,1,1,MU
197,2020-04-05,13,9,1,1,MU
198,2020-04-04,14,8,1,1,MU
199,2020-04-03,14,8,1,1,MU
200,2020-04-02,14,8,1,1,MU
201,2020-04-01,14,8,1,1,MU
202,2020-03-31,14,6,3,1,MU
203,2020-03-30,14,8,1,1,MU
204,2020-03-29,14,8,1,1,MU
205,2020-03-28,14,8,1,1,MU
206,2020-03-27,14,8,1,1,MU
207,2020-03-26,14,8,1,1,MU
208,2020-03-25,15,8,0,1,MU
209,2020-03-24,15,8,0,1,MU
210,2020-03-23,15,8,0,1,MU
211,2020-03-22,15,8,0,1,MU
212,2020-03-21,15,8,0,1,MU
213,2020-03-20,15,8,0,1,MU
214,2020-03-19,15,8,0,1,MU
215,2020-03-18,15,8,0,1,MU
216,2020-03-17,15,8,0,1,MU
217,2020-03-16,15,8,0,1,MU
218,2020-03-15,15,8,0,1,MU
219,2020-03-14,15,8,0,1,MU
220,2020-03-13,15,8,0,1,MU
221,2020-03-12,15,8,0,1,MU
222,2020-03-11,15,8,0,1,MU
223,2020-03-10,15,8,0,1,MU
224,2020-03-09,15,8,0,1,MU
225,2020-03-08,15,8,0,1,MU
226,2020-03-07,15,8,0,1,MU
227,2020-03-06,15,8,0,1,MU
228,2020-03-05,15,8,0,1,MU
229,2020-03-04,15,8,0,1,MU
230,2020-03-03,15,8,0,1,MU
231,2020-03-02,15,8,0,1,MU
232,2020-03-01,15,8,0,1,MU
233,2020-02-29,15,8,0,1,MU
234,2020-02-28,15,8,0,1,MU
235,2020-02-27,15,8,0,1,MU
236,2020-02-26,15,8,0,1,MU
237,2020-02-25,15,8,0,1,MU
238,2020-02-24,15,8,0,1,MU
239,2020-02-23,15,8,0,1,MU
