,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,7,2,0,2,MW
1,2020-10-19,7,2,0,2,MW
2,2020-10-18,7,2,0,2,MW
3,2020-10-17,7,2,0,2,MW
4,2020-10-16,7,2,0,2,MW
5,2020-10-15,7,2,0,2,MW
6,2020-10-14,7,2,0,2,MW
7,2020-10-13,7,2,0,2,MW
8,2020-10-12,7,2,0,2,MW
9,2020-10-11,7,2,0,2,MW
10,2020-10-10,7,2,0,2,MW
11,2020-10-09,7,2,0,2,MW
12,2020-10-08,7,2,0,2,MW
13,2020-10-07,7,2,0,2,MW
14,2020-10-06,7,2,0,2,MW
15,2020-10-05,7,2,0,2,MW
16,2020-10-04,7,2,0,2,MW
17,2020-10-03,7,2,0,2,MW
18,2020-10-02,7,2,0,2,MW
19,2020-10-01,7,2,0,2,MW
20,2020-09-30,7,2,0,2,MW
21,2020-09-29,7,2,0,2,MW
22,2020-09-28,7,2,0,2,MW
23,2020-09-27,7,2,0,2,MW
24,2020-09-26,7,2,0,2,MW
25,2020-09-25,7,2,0,2,MW
26,2020-09-24,7,2,0,2,MW
27,2020-09-23,7,2,0,2,MW
28,2020-09-22,7,2,0,2,MW
29,2020-09-21,7,2,0,2,MW
30,2020-09-20,7,2,0,2,MW
31,2020-09-19,7,2,0,2,MW
32,2020-09-18,7,2,0,2,MW
33,2020-09-17,7,2,0,2,MW
34,2020-09-16,7,2,0,2,MW
35,2020-09-15,7,2,0,2,MW
36,2020-09-14,7,2,0,2,MW
37,2020-09-13,7,2,0,2,MW
38,2020-09-12,7,2,0,2,MW
39,2020-09-11,7,2,0,2,MW
40,2020-09-10,7,2,0,2,MW
41,2020-09-09,7,2,0,2,MW
42,2020-09-08,7,2,0,2,MW
43,2020-09-07,7,1,1,2,MW
44,2020-09-06,7,2,0,2,MW
45,2020-09-05,7,2,0,2,MW
46,2020-09-04,7,2,0,2,MW
47,2020-09-03,7,2,0,2,MW
48,2020-09-02,7,2,0,2,MW
49,2020-09-01,7,2,0,2,MW
50,2020-08-31,7,2,0,2,MW
51,2020-08-30,7,2,0,2,MW
52,2020-08-29,7,2,0,2,MW
53,2020-08-28,7,2,0,2,MW
54,2020-08-27,7,2,0,2,MW
55,2020-08-26,7,2,0,2,MW
56,2020-08-25,7,2,0,2,MW
57,2020-08-24,7,2,0,2,MW
58,2020-08-23,7,2,0,2,MW
59,2020-08-22,7,2,0,2,MW
60,2020-08-21,7,2,0,2,MW
61,2020-08-20,7,2,0,2,MW
62,2020-08-19,7,2,0,2,MW
63,2020-08-18,7,2,0,2,MW
64,2020-08-17,7,2,0,2,MW
65,2020-08-16,7,2,0,2,MW
66,2020-08-15,7,2,0,2,MW
67,2020-08-14,7,2,0,2,MW
68,2020-08-13,7,2,0,2,MW
69,2020-08-12,7,2,0,2,MW
70,2020-08-11,7,2,0,2,MW
71,2020-08-10,7,2,0,2,MW
72,2020-08-09,7,2,0,2,MW
73,2020-08-08,7,2,0,2,MW
74,2020-08-07,7,2,0,2,MW
75,2020-08-06,7,2,0,2,MW
76,2020-08-05,7,2,0,2,MW
77,2020-08-04,7,2,0,2,MW
78,2020-08-03,7,2,0,2,MW
79,2020-08-02,7,2,0,2,MW
80,2020-08-01,7,2,0,2,MW
81,2020-07-31,7,2,0,2,MW
82,2020-07-30,7,2,0,2,MW
83,2020-07-29,7,2,0,2,MW
84,2020-07-28,7,2,0,2,MW
85,2020-07-27,7,2,0,2,MW
86,2020-07-26,7,2,0,2,MW
87,2020-07-25,7,2,0,2,MW
88,2020-07-24,7,2,0,2,MW
89,2020-07-23,7,2,0,2,MW
90,2020-07-22,7,2,0,2,MW
91,2020-07-21,7,2,0,2,MW
92,2020-07-20,7,2,0,2,MW
93,2020-07-19,7,2,0,2,MW
94,2020-07-18,7,2,0,2,MW
95,2020-07-17,7,2,0,2,MW
96,2020-07-16,7,2,0,2,MW
97,2020-07-15,7,2,0,2,MW
98,2020-07-14,7,2,0,2,MW
99,2020-07-13,7,2,0,2,MW
100,2020-07-12,7,2,0,2,MW
101,2020-07-11,7,2,0,2,MW
102,2020-07-10,7,2,0,2,MW
103,2020-07-09,7,2,0,2,MW
104,2020-07-08,7,2,0,2,MW
105,2020-07-07,7,2,0,2,MW
106,2020-07-06,7,2,0,2,MW
107,2020-07-05,7,2,0,2,MW
108,2020-07-04,7,2,0,2,MW
109,2020-07-03,7,2,0,2,MW
110,2020-07-02,7,2,0,2,MW
111,2020-07-01,7,2,0,2,MW
112,2020-06-30,7,2,0,2,MW
113,2020-06-29,7,2,0,2,MW
114,2020-06-28,7,2,0,2,MW
115,2020-06-27,7,2,0,2,MW
116,2020-06-26,7,2,0,2,MW
117,2020-06-25,7,2,0,2,MW
118,2020-06-24,7,2,0,2,MW
119,2020-06-23,7,2,0,2,MW
120,2020-06-22,7,2,0,2,MW
121,2020-06-21,7,2,0,2,MW
122,2020-06-20,7,2,0,2,MW
123,2020-06-19,7,2,0,2,MW
124,2020-06-18,7,2,0,2,MW
125,2020-06-17,7,2,0,2,MW
126,2020-06-16,7,2,0,2,MW
127,2020-06-15,7,2,0,2,MW
128,2020-06-14,7,2,0,2,MW
129,2020-06-13,7,2,0,2,MW
130,2020-06-12,7,2,0,2,MW
131,2020-06-11,7,2,0,2,MW
132,2020-06-10,7,2,0,2,MW
133,2020-06-09,7,2,0,2,MW
134,2020-06-08,7,2,0,2,MW
135,2020-06-07,7,2,0,2,MW
136,2020-06-06,7,2,0,2,MW
137,2020-06-05,7,2,0,2,MW
138,2020-06-04,7,2,0,2,MW
139,2020-06-03,7,2,0,2,MW
140,2020-06-02,7,2,0,2,MW
141,2020-06-01,7,2,0,2,MW
142,2020-05-31,7,2,0,2,MW
143,2020-05-30,7,2,0,2,MW
144,2020-05-29,7,2,0,2,MW
145,2020-05-28,7,2,0,2,MW
146,2020-05-27,7,2,0,2,MW
147,2020-05-26,7,2,0,2,MW
148,2020-05-25,7,2,0,2,MW
149,2020-05-24,7,2,0,2,MW
150,2020-05-23,7,2,0,2,MW
151,2020-05-22,7,2,0,2,MW
152,2020-05-21,7,2,0,2,MW
153,2020-05-20,7,2,0,2,MW
154,2020-05-19,7,2,0,2,MW
155,2020-05-18,7,2,0,2,MW
156,2020-05-17,7,2,0,2,MW
157,2020-05-16,7,2,0,2,MW
158,2020-05-15,7,2,0,2,MW
159,2020-05-14,7,2,0,2,MW
160,2020-05-13,7,2,0,2,MW
161,2020-05-12,7,2,0,2,MW
162,2020-05-11,7,2,0,2,MW
163,2020-05-10,7,2,0,2,MW
164,2020-05-09,7,2,0,2,MW
165,2020-05-08,7,2,0,2,MW
166,2020-05-07,7,2,0,2,MW
167,2020-05-06,7,2,0,2,MW
168,2020-05-05,7,2,0,2,MW
169,2020-05-03,7,2,0,2,MW
170,2020-05-02,7,2,0,2,MW
171,2020-05-01,7,2,0,2,MW
172,2020-04-30,7,2,0,2,MW
173,2020-04-29,7,2,0,2,MW
174,2020-04-28,7,2,0,2,MW
175,2020-04-27,7,2,0,2,MW
176,2020-04-26,7,2,0,2,MW
177,2020-04-25,7,2,0,2,MW
178,2020-04-24,7,2,0,2,MW
179,2020-04-23,7,2,0,2,MW
