,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,7,6,0,2,MZ
1,2020-10-19,7,6,0,2,MZ
2,2020-10-18,7,6,0,2,MZ
3,2020-10-17,7,6,0,2,MZ
4,2020-10-16,7,6,0,2,MZ
5,2020-10-15,7,6,0,2,MZ
6,2020-10-14,7,6,0,2,MZ
7,2020-10-13,7,6,0,2,MZ
8,2020-10-12,7,6,0,2,MZ
9,2020-10-11,7,6,0,2,MZ
10,2020-10-10,7,6,0,2,MZ
11,2020-10-09,7,6,0,2,MZ
12,2020-10-08,7,6,0,2,MZ
13,2020-10-07,7,6,0,2,MZ
14,2020-10-06,7,6,0,2,MZ
15,2020-10-05,7,6,0,2,MZ
16,2020-10-04,7,6,0,2,MZ
17,2020-10-03,7,6,0,2,MZ
18,2020-10-02,7,6,0,2,MZ
19,2020-10-01,7,6,0,2,MZ
20,2020-09-30,7,6,0,2,MZ
21,2020-09-29,7,6,0,2,MZ
22,2020-09-28,7,6,0,2,MZ
23,2020-09-27,7,6,0,2,MZ
24,2020-09-26,7,6,0,2,MZ
25,2020-09-25,7,6,0,2,MZ
26,2020-09-24,7,6,0,2,MZ
27,2020-09-23,7,6,0,2,MZ
28,2020-09-22,7,6,0,2,MZ
29,2020-09-21,7,6,0,2,MZ
30,2020-09-20,7,6,0,2,MZ
31,2020-09-19,7,6,0,2,MZ
32,2020-09-18,7,6,0,2,MZ
33,2020-09-17,7,6,0,2,MZ
34,2020-09-16,7,6,0,2,MZ
35,2020-09-15,7,6,0,2,MZ
36,2020-09-14,7,6,0,2,MZ
37,2020-09-13,7,6,0,2,MZ
38,2020-09-12,7,6,0,2,MZ
39,2020-09-11,7,6,0,2,MZ
40,2020-09-10,7,6,0,2,MZ
41,2020-09-09,7,5,0,2,MZ
42,2020-09-08,7,5,0,2,MZ
43,2020-09-07,7,5,0,2,MZ
44,2020-09-06,7,5,0,2,MZ
45,2020-09-05,7,5,0,2,MZ
46,2020-09-04,7,5,0,2,MZ
47,2020-09-03,7,5,0,2,MZ
48,2020-09-02,7,5,0,2,MZ
49,2020-09-01,7,5,0,2,MZ
50,2020-08-31,7,5,0,2,MZ
51,2020-08-30,7,5,0,2,MZ
52,2020-08-29,7,5,0,2,MZ
53,2020-08-28,7,5,0,2,MZ
54,2020-08-27,7,5,0,2,MZ
55,2020-08-26,7,5,0,2,MZ
56,2020-08-25,7,5,0,2,MZ
57,2020-08-24,7,5,0,2,MZ
58,2020-08-23,7,5,0,2,MZ
59,2020-08-22,7,5,0,2,MZ
60,2020-08-21,7,5,0,2,MZ
61,2020-08-20,7,5,0,2,MZ
62,2020-08-19,7,5,0,2,MZ
63,2020-08-18,7,5,0,2,MZ
64,2020-08-17,7,5,0,2,MZ
65,2020-08-16,7,5,0,2,MZ
66,2020-08-15,7,5,0,2,MZ
67,2020-08-14,7,5,0,2,MZ
68,2020-08-13,7,5,0,2,MZ
69,2020-08-12,7,5,0,2,MZ
70,2020-08-11,7,5,0,2,MZ
71,2020-08-10,7,4,1,2,MZ
72,2020-08-09,7,5,0,2,MZ
