,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,8,3,0,2,NA
1,2020-10-19,8,3,0,2,NA
2,2020-10-18,8,3,0,2,NA
3,2020-10-17,8,3,0,2,NA
4,2020-10-16,8,3,0,2,NA
5,2020-10-15,8,3,0,2,NA
6,2020-10-14,8,3,0,2,NA
7,2020-10-13,8,3,0,2,NA
8,2020-10-12,8,3,0,2,NA
9,2020-10-11,8,3,0,2,NA
10,2020-10-10,8,3,0,2,NA
11,2020-10-09,8,3,0,2,NA
12,2020-10-08,8,3,0,2,NA
13,2020-10-07,8,3,0,2,NA
14,2020-10-06,8,3,0,2,NA
15,2020-10-05,8,3,0,2,NA
16,2020-10-04,8,3,0,2,NA
17,2020-10-03,8,3,0,2,NA
18,2020-10-02,8,1,2,2,NA
19,2020-10-01,8,1,2,2,NA
20,2020-09-30,8,3,0,2,NA
21,2020-09-29,8,3,0,2,NA
22,2020-09-28,8,3,0,2,NA
23,2020-09-27,8,3,0,2,NA
24,2020-09-26,8,3,0,2,NA
25,2020-09-25,8,3,0,2,NA
26,2020-09-24,8,3,0,2,NA
27,2020-09-23,8,3,0,2,NA
28,2020-09-22,8,3,0,2,NA
29,2020-09-21,8,3,0,2,NA
30,2020-09-20,8,3,0,2,NA
31,2020-09-19,8,2,1,2,NA
32,2020-09-18,8,3,0,2,NA
33,2020-09-17,8,3,0,2,NA
34,2020-09-16,8,3,0,2,NA
35,2020-09-15,8,3,0,2,NA
36,2020-09-14,8,3,0,2,NA
37,2020-09-13,8,3,0,2,NA
38,2020-09-12,8,3,0,2,NA
39,2020-09-11,8,3,0,2,NA
40,2020-09-10,8,3,0,2,NA
41,2020-09-09,8,3,0,2,NA
42,2020-09-08,8,3,0,2,NA
43,2020-09-07,8,3,0,2,NA
44,2020-09-06,8,3,0,2,NA
45,2020-09-05,8,3,0,2,NA
46,2020-09-04,8,3,0,2,NA
47,2020-09-03,8,3,0,2,NA
48,2020-09-02,8,3,0,2,NA
49,2020-09-01,8,3,0,2,NA
50,2020-08-31,8,3,0,2,NA
51,2020-08-30,8,3,0,2,NA
52,2020-08-29,8,3,0,2,NA
53,2020-08-28,8,3,0,2,NA
54,2020-08-27,8,3,0,2,NA
55,2020-08-26,8,3,0,2,NA
56,2020-08-25,8,3,0,2,NA
57,2020-08-24,8,3,0,2,NA
58,2020-08-23,8,3,0,2,NA
59,2020-08-22,8,3,0,2,NA
60,2020-08-21,8,3,0,2,NA
61,2020-08-20,8,3,0,2,NA
62,2020-08-19,8,3,0,2,NA
63,2020-08-18,8,3,0,2,NA
64,2020-08-17,8,3,0,2,NA
65,2020-08-16,8,3,0,2,NA
66,2020-08-15,8,3,0,2,NA
67,2020-08-14,8,3,0,2,NA
68,2020-08-13,8,3,0,2,NA
69,2020-08-12,8,3,0,2,NA
70,2020-08-11,8,3,0,2,NA
71,2020-08-10,8,3,0,2,NA
