,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,9,0.0,0.0,0.0,NE
1,2020-10-19,9,0.0,0.0,0.0,NE
2,2020-10-18,9,0.0,0.0,0.0,NE
3,2020-10-17,9,0.0,0.0,0.0,NE
4,2020-10-16,9,0.0,0.0,0.0,NE
5,2020-10-15,9,0.0,0.0,0.0,NE
6,2020-10-14,9,0.0,0.0,0.0,NE
7,2020-10-13,9,0.0,0.0,0.0,NE
8,2020-10-12,9,0.0,0.0,0.0,NE
9,2020-10-11,9,0.0,0.0,0.0,NE
10,2020-10-10,9,0.0,0.0,0.0,NE
11,2020-10-09,9,0.0,0.0,0.0,NE
12,2020-10-08,9,0.0,0.0,0.0,NE
13,2020-10-07,9,0.0,0.0,0.0,NE
14,2020-10-06,9,0.0,0.0,0.0,NE
15,2020-10-05,9,0.0,0.0,0.0,NE
16,2020-10-04,9,0.0,0.0,0.0,NE
17,2020-10-03,9,0.0,0.0,0.0,NE
18,2020-10-02,9,0.0,0.0,0.0,NE
19,2020-10-01,9,0.0,0.0,0.0,NE
20,2020-09-30,9,0.0,0.0,0.0,NE
21,2020-09-29,9,0.0,0.0,0.0,NE
22,2020-09-28,9,0.0,0.0,0.0,NE
23,2020-09-27,9,0.0,0.0,0.0,NE
24,2020-09-26,9,0.0,0.0,0.0,NE
25,2020-09-25,9,0.0,0.0,0.0,NE
26,2020-09-24,9,0.0,0.0,0.0,NE
27,2020-09-23,9,0.0,0.0,0.0,NE
28,2020-09-22,9,0.0,0.0,0.0,NE
29,2020-09-21,9,0.0,0.0,0.0,NE
30,2020-09-20,9,0.0,0.0,0.0,NE
31,2020-09-19,9,0.0,0.0,0.0,NE
32,2020-09-18,9,0.0,0.0,0.0,NE
33,2020-09-17,9,0.0,0.0,0.0,NE
34,2020-09-16,9,0.0,0.0,0.0,NE
35,2020-09-15,9,0.0,0.0,0.0,NE
36,2020-09-14,9,0.0,0.0,0.0,NE
