,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,23,1,4,7,NG
1,2020-10-19,23,1,4,7,NG
2,2020-10-18,23,1,4,7,NG
3,2020-10-17,23,1,4,7,NG
4,2020-10-16,23,1,4,7,NG
5,2020-10-15,23,1,4,7,NG
6,2020-10-14,23,1,4,7,NG
7,2020-10-13,23,1,4,7,NG
8,2020-10-12,23,1,4,7,NG
9,2020-10-11,23,1,4,7,NG
10,2020-10-10,23,1,4,7,NG
11,2020-10-09,23,1,4,7,NG
12,2020-10-08,23,1,4,7,NG
13,2020-10-07,23,1,4,7,NG
14,2020-10-06,23,1,4,7,NG
15,2020-10-05,23,1,4,7,NG
16,2020-10-04,23,1,4,7,NG
17,2020-10-03,23,1,4,7,NG
18,2020-10-02,23,1,4,7,NG
19,2020-10-01,23,1,4,7,NG
20,2020-09-30,23,1,4,7,NG
21,2020-09-29,23,1,4,7,NG
22,2020-09-28,23,1,4,7,NG
23,2020-09-27,23,1,4,7,NG
24,2020-09-26,23,1,4,7,NG
25,2020-09-25,23,1,4,7,NG
26,2020-09-24,23,1,4,7,NG
27,2020-09-23,23,1,4,7,NG
28,2020-09-22,23,1,4,7,NG
29,2020-09-21,23,1,4,7,NG
30,2020-09-20,23,1,4,7,NG
31,2020-09-19,23,1,4,7,NG
32,2020-09-18,23,1,4,7,NG
33,2020-09-17,23,1,4,7,NG
34,2020-09-16,23,1,4,7,NG
35,2020-09-15,23,1,4,7,NG
36,2020-09-14,23,1,4,7,NG
37,2020-09-13,23,1,4,7,NG
38,2020-09-12,23,1,4,7,NG
39,2020-09-11,23,1,4,7,NG
40,2020-09-10,23,0,5,7,NG
41,2020-09-09,23,1,4,7,NG
42,2020-09-08,23,0,5,7,NG
43,2020-09-07,23,1,4,7,NG
44,2020-09-06,23,1,4,7,NG
45,2020-09-05,23,2,3,7,NG
46,2020-09-04,23,3,2,7,NG
47,2020-09-03,23,3,2,7,NG
48,2020-09-02,23,3,2,7,NG
49,2020-09-01,23,3,2,7,NG
50,2020-08-31,23,3,2,7,NG
51,2020-08-30,23,3,2,7,NG
52,2020-08-29,23,3,2,7,NG
53,2020-08-28,23,3,2,7,NG
54,2020-08-27,23,3,2,7,NG
55,2020-08-26,23,3,2,7,NG
56,2020-08-25,23,2,3,7,NG
57,2020-08-24,23,3,2,7,NG
58,2020-08-23,23,3,2,7,NG
59,2020-08-22,23,3,2,7,NG
60,2020-08-21,23,3,2,7,NG
61,2020-08-20,23,3,2,7,NG
62,2020-08-19,23,3,2,7,NG
63,2020-08-18,23,3,2,7,NG
64,2020-08-17,23,3,2,7,NG
65,2020-08-16,23,3,2,7,NG
66,2020-08-15,23,3,2,7,NG
67,2020-08-14,23,3,2,7,NG
68,2020-08-13,23,3,2,7,NG
69,2020-08-12,23,3,2,7,NG
70,2020-08-11,23,3,2,7,NG
71,2020-08-10,23,3,2,7,NG
72,2020-08-09,23,3,2,7,NG
73,2020-08-08,23,3,2,7,NG
74,2020-08-07,23,3,2,7,NG
75,2020-08-06,23,3,2,7,NG
76,2020-08-05,23,3,2,7,NG
77,2020-08-04,23,3,2,7,NG
78,2020-08-03,23,3,2,7,NG
79,2020-08-02,23,3,2,7,NG
80,2020-08-01,23,3,2,7,NG
81,2020-07-31,23,3,2,7,NG
82,2020-07-30,23,3,2,7,NG
83,2020-07-29,23,4,1,7,NG
84,2020-07-28,23,4,1,7,NG
85,2020-07-27,23,3,2,7,NG
86,2020-07-26,23,3,2,7,NG
87,2020-07-25,23,3,2,7,NG
88,2020-07-24,23,3,2,7,NG
89,2020-07-23,23,4,1,7,NG
90,2020-07-22,23,4,1,7,NG
91,2020-07-21,23,4,0,7,NG
92,2020-07-20,23,4,0,7,NG
93,2020-07-19,23,4,0,7,NG
94,2020-07-18,23,4,0,7,NG
95,2020-07-17,22,4,1,7,NG
96,2020-07-16,22,4,1,7,NG
97,2020-07-15,22,4,1,7,NG
98,2020-07-14,22,4,1,7,NG
99,2020-07-13,22,4,1,7,NG
100,2020-07-12,22,4,1,7,NG
101,2020-07-11,22,4,1,7,NG
102,2020-07-10,22,4,1,7,NG
103,2020-07-09,22,4,1,7,NG
104,2020-07-08,22,4,1,7,NG
105,2020-07-07,22,4,1,7,NG
106,2020-07-06,22,4,1,7,NG
107,2020-07-05,22,4,1,7,NG
108,2020-07-04,22,4,1,7,NG
109,2020-07-03,22,3,2,7,NG
110,2020-07-02,22,4,1,7,NG
111,2020-07-01,22,4,1,7,NG
112,2020-06-30,22,4,1,7,NG
113,2020-06-29,22,4,1,7,NG
114,2020-06-28,22,4,1,7,NG
115,2020-06-27,22,3,2,7,NG
116,2020-06-26,22,4,1,7,NG
117,2020-06-25,21,4,2,7,NG
118,2020-06-24,21,3,3,7,NG
119,2020-06-23,21,3,3,7,NG
120,2020-06-22,21,3,3,7,NG
121,2020-06-21,21,2,4,7,NG
122,2020-06-20,21,3,3,7,NG
123,2020-06-19,21,3,3,7,NG
