,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,21,17,4.0,0.0,RE
1,2020-10-19,21,17,4.0,0.0,RE
2,2020-10-18,21,19,2.0,0.0,RE
3,2020-10-17,21,19,2.0,0.0,RE
4,2020-10-16,21,19,2.0,0.0,RE
5,2020-10-15,21,17,4.0,0.0,RE
6,2020-10-14,21,19,2.0,0.0,RE
7,2020-10-13,21,19,2.0,0.0,RE
8,2020-10-12,21,19,2.0,0.0,RE
9,2020-10-11,21,18,3.0,0.0,RE
10,2020-10-10,21,19,2.0,0.0,RE
11,2020-10-09,21,19,2.0,0.0,RE
12,2020-10-08,21,18,3.0,0.0,RE
13,2020-10-07,21,19,2.0,0.0,RE
14,2020-10-06,21,19,2.0,0.0,RE
15,2020-10-05,21,19,2.0,0.0,RE
16,2020-10-04,21,19,2.0,0.0,RE
17,2020-10-03,21,19,2.0,0.0,RE
18,2020-10-02,21,18,2.0,0.0,RE
19,2020-10-01,21,18,2.0,0.0,RE
20,2020-09-30,21,17,3.0,0.0,RE
21,2020-09-29,20,17,4.0,0.0,RE
22,2020-09-28,20,17,4.0,0.0,RE
23,2020-09-27,20,17,4.0,0.0,RE
24,2020-09-26,20,17,4.0,0.0,RE
25,2020-09-25,20,17,4.0,0.0,RE
26,2020-09-24,20,18,3.0,0.0,RE
27,2020-09-23,20,17,4.0,0.0,RE
28,2020-09-22,20,18,3.0,0.0,RE
29,2020-09-21,20,18,3.0,0.0,RE
30,2020-09-20,20,18,3.0,0.0,RE
31,2020-09-19,20,18,3.0,0.0,RE
32,2020-09-18,20,19,2.0,0.0,RE
33,2020-09-17,20,19,2.0,0.0,RE
34,2020-09-16,20,19,2.0,0.0,RE
35,2020-09-15,20,19,2.0,0.0,RE
36,2020-09-14,20,19,2.0,0.0,RE
37,2020-09-13,20,19,2.0,0.0,RE
38,2020-09-12,20,19,2.0,0.0,RE
39,2020-09-11,20,19,2.0,0.0,RE
40,2020-09-10,20,19,2.0,0.0,RE
41,2020-09-09,20,18,3.0,0.0,RE
42,2020-09-08,20,18,3.0,0.0,RE
43,2020-09-07,20,19,2.0,0.0,RE
44,2020-09-06,20,18,3.0,0.0,RE
45,2020-09-05,20,18,3.0,0.0,RE
46,2020-09-04,20,19,2.0,0.0,RE
47,2020-09-03,20,19,2.0,0.0,RE
48,2020-09-02,20,19,2.0,0.0,RE
49,2020-09-01,20,19,2.0,0.0,RE
50,2020-08-31,20,18,3.0,0.0,RE
51,2020-08-30,20,18,3.0,0.0,RE
52,2020-08-29,20,19,2.0,0.0,RE
53,2020-08-28,20,18,3.0,0.0,RE
54,2020-08-27,20,19,2.0,0.0,RE
55,2020-08-26,20,19,2.0,0.0,RE
56,2020-08-25,20,19,2.0,0.0,RE
57,2020-08-24,20,19,2.0,0.0,RE
58,2020-08-23,20,19,2.0,0.0,RE
59,2020-08-22,20,19,2.0,0.0,RE
60,2020-08-21,20,19,2.0,0.0,RE
61,2020-08-20,20,19,2.0,0.0,RE
62,2020-08-19,20,18,3.0,0.0,RE
63,2020-08-18,20,19,2.0,0.0,RE
64,2020-08-17,20,19,2.0,0.0,RE
65,2020-08-16,20,19,2.0,0.0,RE
