,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,15,2.0,1,3,RW
1,2020-10-19,15,3.0,0,3,RW
2,2020-10-18,15,3.0,0,3,RW
3,2020-10-17,15,3.0,0,3,RW
4,2020-10-16,15,3.0,0,3,RW
5,2020-10-15,15,3.0,0,3,RW
6,2020-10-14,15,3.0,0,3,RW
7,2020-10-13,15,3.0,0,3,RW
8,2020-10-12,15,3.0,0,3,RW
9,2020-10-11,15,2.0,1,3,RW
10,2020-10-10,15,2.0,1,3,RW
11,2020-10-09,15,2.0,1,3,RW
12,2020-10-08,15,3.0,0,3,RW
13,2020-10-07,15,2.0,1,3,RW
14,2020-10-06,15,3.0,0,3,RW
15,2020-10-05,15,3.0,0,3,RW
16,2020-10-04,15,3.0,0,3,RW
17,2020-10-03,15,2.0,1,3,RW
18,2020-10-02,15,3.0,0,3,RW
19,2020-10-01,15,2.0,1,3,RW
20,2020-09-30,15,1.0,2,3,RW
21,2020-09-29,15,2.0,1,3,RW
22,2020-09-28,15,2.0,1,3,RW
23,2020-09-27,15,2.0,1,3,RW
24,2020-09-26,15,2.0,1,3,RW
25,2020-09-25,15,2.0,1,3,RW
26,2020-09-24,15,2.0,1,3,RW
27,2020-09-23,15,3.0,0,3,RW
28,2020-09-22,15,3.0,0,3,RW
29,2020-09-21,15,3.0,0,3,RW
30,2020-09-20,15,3.0,0,3,RW
31,2020-09-19,15,3.0,0,3,RW
32,2020-09-18,15,3.0,0,3,RW
33,2020-09-17,15,3.0,0,3,RW
34,2020-09-16,15,2.0,1,3,RW
35,2020-09-15,15,3.0,0,3,RW
36,2020-09-14,15,3.0,0,3,RW
37,2020-09-13,15,3.0,0,3,RW
38,2020-09-12,15,3.0,0,3,RW
39,2020-09-11,15,3.0,0,3,RW
40,2020-09-10,15,3.0,0,3,RW
41,2020-09-09,15,3.0,0,3,RW
42,2020-09-08,15,2.0,1,3,RW
43,2020-09-07,15,3.0,0,3,RW
44,2020-09-06,15,3.0,0,3,RW
45,2020-09-05,15,3.0,0,3,RW
46,2020-09-04,15,3.0,0,3,RW
47,2020-09-03,15,3.0,0,3,RW
