,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,18,1,0.0,0.0,SC
1,2020-10-19,18,1,0.0,0.0,SC
2,2020-10-18,18,1,0.0,0.0,SC
3,2020-10-17,18,1,0.0,0.0,SC
4,2020-10-16,18,1,0.0,0.0,SC
5,2020-10-15,18,1,0.0,0.0,SC
6,2020-10-14,18,1,0.0,0.0,SC
7,2020-10-13,18,1,0.0,0.0,SC
8,2020-10-12,18,1,0.0,0.0,SC
9,2020-10-11,18,1,0.0,0.0,SC
10,2020-10-10,18,1,0.0,0.0,SC
11,2020-10-09,18,1,0.0,0.0,SC
12,2020-10-08,18,1,0.0,0.0,SC
13,2020-10-07,18,1,0.0,0.0,SC
14,2020-10-06,18,1,0.0,0.0,SC
15,2020-10-05,18,1,0.0,0.0,SC
16,2020-10-04,18,1,0.0,0.0,SC
17,2020-10-03,18,1,0.0,0.0,SC
18,2020-10-02,18,1,0.0,0.0,SC
19,2020-10-01,18,1,0.0,0.0,SC
20,2020-09-30,18,1,0.0,0.0,SC
21,2020-09-29,18,1,0.0,0.0,SC
22,2020-09-28,18,1,0.0,0.0,SC
23,2020-09-27,18,1,0.0,0.0,SC
24,2020-09-26,18,1,0.0,0.0,SC
25,2020-09-25,18,1,0.0,0.0,SC
26,2020-09-24,18,1,0.0,0.0,SC
27,2020-09-23,18,1,0.0,0.0,SC
28,2020-09-22,18,1,0.0,0.0,SC
29,2020-09-21,18,1,0.0,0.0,SC
30,2020-09-20,18,1,0.0,0.0,SC
31,2020-09-19,18,1,0.0,0.0,SC
32,2020-09-18,18,1,0.0,0.0,SC
33,2020-09-17,18,1,0.0,0.0,SC
34,2020-09-16,18,1,0.0,0.0,SC
35,2020-09-15,18,1,0.0,0.0,SC
36,2020-09-14,18,1,0.0,0.0,SC
37,2020-09-13,18,1,0.0,0.0,SC
38,2020-09-12,18,1,0.0,0.0,SC
39,2020-09-11,18,1,0.0,0.0,SC
40,2020-09-10,18,1,0.0,0.0,SC
41,2020-09-09,18,1,0.0,0.0,SC
42,2020-09-08,18,1,0.0,0.0,SC
43,2020-09-07,18,1,0.0,0.0,SC
44,2020-09-06,18,1,0.0,0.0,SC
45,2020-09-05,18,1,0.0,0.0,SC
46,2020-09-04,18,1,0.0,0.0,SC
47,2020-09-03,18,1,0.0,0.0,SC
48,2020-09-02,18,1,0.0,0.0,SC
49,2020-09-01,18,1,0.0,0.0,SC
50,2020-08-31,18,1,0.0,0.0,SC
51,2020-08-30,18,1,0.0,0.0,SC
52,2020-08-29,18,1,0.0,0.0,SC
53,2020-08-28,18,1,0.0,0.0,SC
54,2020-08-27,18,1,0.0,0.0,SC
55,2020-08-26,18,1,0.0,0.0,SC
56,2020-08-25,18,1,0.0,0.0,SC
57,2020-08-24,18,1,0.0,0.0,SC
58,2020-08-23,18,1,0.0,0.0,SC
59,2020-08-22,18,1,0.0,0.0,SC
60,2020-08-21,18,1,0.0,0.0,SC
61,2020-08-20,18,1,0.0,0.0,SC
62,2020-08-19,18,1,0.0,0.0,SC
63,2020-08-18,18,1,0.0,0.0,SC
64,2020-08-17,18,1,0.0,0.0,SC
65,2020-08-16,18,1,0.0,0.0,SC
66,2020-08-15,18,1,0.0,0.0,SC
67,2020-08-14,18,1,0.0,0.0,SC
68,2020-08-13,18,1,0.0,0.0,SC
69,2020-08-12,18,1,0.0,0.0,SC
70,2020-08-11,18,1,0.0,0.0,SC
71,2020-08-10,18,1,0.0,0.0,SC
72,2020-08-09,18,1,0.0,0.0,SC
73,2020-08-08,18,1,0.0,0.0,SC
74,2020-08-07,18,1,0.0,0.0,SC
75,2020-08-06,18,1,0.0,0.0,SC
76,2020-08-05,18,1,0.0,0.0,SC
77,2020-08-04,18,1,0.0,0.0,SC
78,2020-08-03,18,1,0.0,0.0,SC
79,2020-08-02,18,1,0.0,0.0,SC
80,2020-08-01,18,1,0.0,0.0,SC
81,2020-07-31,18,1,0.0,0.0,SC
82,2020-07-30,18,1,0.0,0.0,SC
83,2020-07-29,18,1,0.0,0.0,SC
84,2020-07-28,18,1,0.0,0.0,SC
85,2020-07-27,18,1,0.0,0.0,SC
86,2020-07-26,18,1,0.0,0.0,SC
87,2020-07-25,18,1,0.0,0.0,SC
88,2020-07-24,18,1,0.0,0.0,SC
89,2020-07-23,18,1,0.0,0.0,SC
90,2020-07-22,18,1,0.0,0.0,SC
91,2020-07-21,18,1,0.0,0.0,SC
92,2020-07-20,18,1,0.0,0.0,SC
93,2020-07-19,18,1,0.0,0.0,SC
94,2020-07-18,18,1,0.0,0.0,SC
95,2020-07-17,18,1,0.0,0.0,SC
96,2020-07-16,18,1,0.0,0.0,SC
97,2020-07-15,18,1,0.0,0.0,SC
98,2020-07-14,18,1,0.0,0.0,SC
99,2020-07-13,18,1,0.0,0.0,SC
100,2020-07-12,18,1,0.0,0.0,SC
101,2020-07-11,18,1,0.0,0.0,SC
102,2020-07-10,18,1,0.0,0.0,SC
103,2020-07-09,18,1,0.0,0.0,SC
104,2020-07-08,18,1,0.0,0.0,SC
105,2020-07-07,18,1,0.0,0.0,SC
106,2020-07-06,18,1,0.0,0.0,SC
107,2020-07-05,18,1,0.0,0.0,SC
108,2020-07-04,18,1,0.0,0.0,SC
109,2020-07-03,18,1,0.0,0.0,SC
110,2020-07-02,18,1,0.0,0.0,SC
111,2020-07-01,18,1,0.0,0.0,SC
112,2020-06-30,18,1,0.0,0.0,SC
113,2020-06-29,18,1,0.0,0.0,SC
114,2020-06-28,18,1,0.0,0.0,SC
115,2020-06-27,18,1,0.0,0.0,SC
116,2020-06-26,18,1,0.0,0.0,SC
117,2020-06-25,18,1,0.0,0.0,SC
118,2020-06-24,18,1,0.0,0.0,SC
119,2020-06-23,18,1,0.0,0.0,SC
120,2020-06-22,18,1,0.0,0.0,SC
121,2020-06-21,18,1,0.0,0.0,SC
122,2020-06-20,18,1,0.0,0.0,SC
123,2020-06-19,18,1,0.0,0.0,SC
124,2020-06-18,18,1,0.0,0.0,SC
125,2020-06-17,18,1,0.0,0.0,SC
126,2020-06-16,18,1,0.0,0.0,SC
127,2020-06-15,18,1,0.0,0.0,SC
128,2020-06-14,18,1,0.0,0.0,SC
129,2020-06-13,18,1,0.0,0.0,SC
130,2020-06-12,18,1,0.0,0.0,SC
131,2020-06-11,18,1,0.0,0.0,SC
132,2020-06-10,18,1,0.0,0.0,SC
133,2020-06-09,18,1,0.0,0.0,SC
134,2020-06-08,18,1,0.0,0.0,SC
135,2020-06-07,19,0,0.0,0.0,SC
136,2020-06-06,19,0,0.0,0.0,SC
137,2020-06-05,19,0,0.0,0.0,SC
138,2020-06-04,19,0,0.0,0.0,SC
139,2020-06-03,19,0,0.0,0.0,SC
140,2020-06-02,19,0,0.0,0.0,SC
141,2020-06-01,19,0,0.0,0.0,SC
142,2020-05-31,19,0,0.0,0.0,SC
143,2020-05-30,19,0,0.0,0.0,SC
144,2020-05-29,19,0,0.0,0.0,SC
145,2020-05-28,19,0,0.0,0.0,SC
146,2020-05-27,19,0,0.0,0.0,SC
147,2020-05-26,19,0,0.0,0.0,SC
148,2020-05-25,19,0,0.0,0.0,SC
149,2020-05-24,19,0,0.0,0.0,SC
150,2020-05-23,19,0,0.0,0.0,SC
151,2020-05-22,19,0,0.0,0.0,SC
152,2020-05-21,19,0,0.0,0.0,SC
