,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,20,2,2,2,SD
1,2020-10-19,20,2,2,2,SD
2,2020-10-18,20,3,1,2,SD
3,2020-10-17,20,3,1,2,SD
4,2020-10-16,20,2,2,2,SD
5,2020-10-15,20,2,2,2,SD
6,2020-10-14,20,3,1,2,SD
7,2020-10-13,20,3,1,2,SD
8,2020-10-12,20,3,1,2,SD
9,2020-10-11,20,3,1,2,SD
10,2020-10-10,20,3,1,2,SD
11,2020-10-09,20,2,2,2,SD
12,2020-10-08,20,2,2,2,SD
13,2020-10-07,20,2,2,2,SD
14,2020-10-06,20,2,2,2,SD
15,2020-10-05,20,1,3,2,SD
16,2020-10-04,20,1,3,2,SD
17,2020-10-03,20,1,3,2,SD
18,2020-10-02,20,2,2,2,SD
19,2020-10-01,20,2,2,2,SD
20,2020-09-30,20,2,2,2,SD
21,2020-09-29,20,1,3,2,SD
22,2020-09-28,20,2,2,2,SD
23,2020-09-27,20,1,3,2,SD
24,2020-09-26,20,1,3,2,SD
25,2020-09-25,20,2,2,2,SD
26,2020-09-24,20,2,2,2,SD
27,2020-09-23,20,2,2,2,SD
28,2020-09-22,20,3,1,2,SD
29,2020-09-21,20,1,3,2,SD
30,2020-09-20,20,1,3,2,SD
31,2020-09-19,20,2,2,2,SD
32,2020-09-18,20,2,2,2,SD
33,2020-09-17,20,2,2,2,SD
34,2020-09-16,20,2,2,2,SD
35,2020-09-15,20,3,1,2,SD
36,2020-09-14,20,3,1,2,SD
37,2020-09-13,20,3,1,2,SD
38,2020-09-12,20,3,1,2,SD
39,2020-09-11,20,3,1,2,SD
40,2020-09-10,20,3,1,2,SD
41,2020-09-09,20,2,2,2,SD
42,2020-09-08,20,2,2,2,SD
43,2020-09-07,20,3,1,2,SD
44,2020-09-06,20,3,1,2,SD
45,2020-09-05,20,3,1,2,SD
46,2020-09-04,20,3,1,2,SD
47,2020-09-03,20,3,1,2,SD
48,2020-09-02,20,2,2,2,SD
49,2020-09-01,20,3,1,2,SD
50,2020-08-31,20,3,1,2,SD
51,2020-08-30,20,2,2,2,SD
52,2020-08-29,20,2,2,2,SD
53,2020-08-28,20,2,2,2,SD
54,2020-08-27,20,2,2,2,SD
55,2020-08-26,20,3,1,2,SD
56,2020-08-25,20,3,1,2,SD
57,2020-08-24,20,3,1,2,SD
