,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,1.0,0.0,0.0,0,SH
1,2020-10-19,1.0,0.0,0.0,0,SH
2,2020-10-18,1.0,0.0,0.0,0,SH
3,2020-10-17,1.0,0.0,0.0,0,SH
4,2020-10-16,1.0,0.0,0.0,0,SH
5,2020-10-15,1.0,0.0,0.0,0,SH
6,2020-10-14,1.0,0.0,0.0,0,SH
7,2020-10-13,1.0,0.0,0.0,0,SH
8,2020-10-12,1.0,0.0,0.0,0,SH
9,2020-10-11,1.0,0.0,0.0,0,SH
10,2020-10-10,1.0,0.0,0.0,0,SH
11,2020-10-09,1.0,0.0,0.0,0,SH
12,2020-10-08,1.0,0.0,0.0,0,SH
13,2020-10-07,1.0,0.0,0.0,0,SH
14,2020-10-06,1.0,0.0,0.0,0,SH
15,2020-10-05,1.0,0.0,0.0,0,SH
16,2020-10-04,1.0,0.0,0.0,0,SH
17,2020-10-03,1.0,0.0,0.0,0,SH
18,2020-10-02,1.0,0.0,0.0,0,SH
19,2020-10-01,1.0,0.0,0.0,0,SH
20,2020-09-30,1.0,0.0,0.0,0,SH
21,2020-09-29,1.0,0.0,0.0,0,SH
22,2020-09-28,1.0,0.0,0.0,0,SH
23,2020-09-27,1.0,0.0,0.0,0,SH
24,2020-09-26,1.0,0.0,0.0,0,SH
25,2020-09-25,1.0,0.0,0.0,0,SH
26,2020-09-24,1.0,0.0,0.0,0,SH
27,2020-09-23,1.0,0.0,0.0,0,SH
28,2020-09-22,1.0,0.0,0.0,0,SH
29,2020-09-21,1.0,0.0,0.0,0,SH
30,2020-09-20,1.0,0.0,0.0,0,SH
31,2020-09-19,1.0,0.0,0.0,0,SH
32,2020-09-18,1.0,0.0,0.0,0,SH
33,2020-09-17,1.0,0.0,0.0,0,SH
34,2020-09-16,1.0,0.0,0.0,0,SH
35,2020-09-15,1.0,0.0,0.0,0,SH
36,2020-09-14,1.0,0.0,0.0,0,SH
37,2020-09-13,1.0,0.0,0.0,0,SH
38,2020-09-12,1.0,0.0,0.0,0,SH
39,2020-09-11,1.0,0.0,0.0,0,SH
40,2020-09-10,1.0,0.0,0.0,0,SH
41,2020-09-09,1.0,0.0,0.0,0,SH
42,2020-09-08,1.0,0.0,0.0,0,SH
43,2020-09-07,1.0,0.0,0.0,0,SH
44,2020-09-06,1.0,0.0,0.0,0,SH
45,2020-09-05,1.0,0.0,0.0,0,SH
46,2020-09-04,1.0,0.0,0.0,0,SH
47,2020-09-03,1.0,0.0,0.0,0,SH
48,2020-09-02,1.0,0.0,0.0,0,SH
49,2020-09-01,1.0,0.0,0.0,0,SH
50,2020-08-31,1.0,0.0,0.0,0,SH
51,2020-08-30,1.0,0.0,0.0,0,SH
52,2020-08-29,1.0,0.0,0.0,0,SH
53,2020-08-28,1.0,0.0,0.0,0,SH
54,2020-08-27,1.0,0.0,0.0,0,SH
55,2020-08-26,1.0,0.0,0.0,0,SH
56,2020-08-25,1.0,0.0,0.0,0,SH
57,2020-08-24,1.0,0.0,0.0,0,SH
58,2020-08-23,1.0,0.0,0.0,0,SH
59,2020-08-22,1.0,0.0,0.0,0,SH
60,2020-08-21,1.0,0.0,0.0,0,SH
61,2020-08-20,1.0,0.0,0.0,0,SH
62,2020-08-19,1.0,0.0,0.0,0,SH
63,2020-08-18,1.0,0.0,0.0,0,SH
64,2020-08-17,1.0,0.0,0.0,0,SH
