,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,0,0,0,SL
1,2020-10-19,2,0,0,0,SL
2,2020-10-18,2,0,0,0,SL
3,2020-10-17,2,0,0,0,SL
4,2020-10-16,2,0,0,0,SL
5,2020-10-15,2,0,0,0,SL
6,2020-10-14,2,0,0,0,SL
7,2020-10-13,2,0,0,0,SL
8,2020-10-12,2,0,0,0,SL
9,2020-10-11,2,0,0,0,SL
10,2020-10-10,2,0,0,0,SL
11,2020-10-09,2,0,0,0,SL
12,2020-10-08,2,0,0,0,SL
13,2020-10-07,2,0,0,0,SL
14,2020-10-06,2,0,0,0,SL
15,2020-10-05,2,0,0,0,SL
16,2020-10-04,2,0,0,0,SL
17,2020-10-03,2,0,0,0,SL
18,2020-10-02,2,0,0,0,SL
19,2020-10-01,2,0,0,0,SL
20,2020-09-30,2,0,0,0,SL
21,2020-09-29,2,0,0,0,SL
22,2020-09-28,2,0,0,0,SL
23,2020-09-27,2,0,0,0,SL
24,2020-09-26,2,0,0,0,SL
25,2020-09-25,2,0,0,0,SL
26,2020-09-24,2,0,0,0,SL
27,2020-09-23,2,0,0,0,SL
28,2020-09-22,2,0,0,0,SL
29,2020-09-21,2,0,0,0,SL
30,2020-09-20,2,0,0,0,SL
31,2020-09-19,2,0,0,0,SL
32,2020-09-18,2,0,0,0,SL
33,2020-09-17,2,0,0,0,SL
34,2020-09-16,2,0,0,0,SL
35,2020-09-15,2,0,0,0,SL
36,2020-09-14,2,0,0,0,SL
37,2020-09-13,2,0,0,0,SL
38,2020-09-12,2,0,0,0,SL
39,2020-09-11,2,0,0,0,SL
40,2020-09-10,2,0,0,0,SL
41,2020-09-09,2,0,0,0,SL
42,2020-09-08,2,0,0,0,SL
43,2020-09-07,2,0,0,0,SL
44,2020-09-06,2,0,0,0,SL
45,2020-09-05,2,0,0,0,SL
46,2020-09-04,2,0,0,0,SL
47,2020-09-03,2,0,0,0,SL
48,2020-09-02,2,0,0,0,SL
49,2020-09-01,2,0,0,0,SL
50,2020-08-31,2,0,0,0,SL
51,2020-08-30,2,0,0,0,SL
52,2020-08-29,2,0,0,0,SL
53,2020-08-28,2,0,0,0,SL
54,2020-08-27,2,0,0,0,SL
