,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,13,5,0.0,1,SN
1,2020-10-19,13,4,1.0,1,SN
2,2020-10-18,13,4,1.0,1,SN
3,2020-10-17,13,4,1.0,1,SN
4,2020-10-16,13,4,1.0,1,SN
5,2020-10-15,13,4,1.0,1,SN
6,2020-10-14,13,5,0.0,1,SN
7,2020-10-13,13,5,0.0,1,SN
8,2020-10-12,13,5,0.0,1,SN
9,2020-10-11,13,5,0.0,1,SN
10,2020-10-10,13,5,0.0,1,SN
11,2020-10-09,13,5,0.0,1,SN
12,2020-10-08,13,5,0.0,1,SN
13,2020-10-07,13,5,0.0,1,SN
14,2020-10-06,13,5,0.0,1,SN
15,2020-10-05,13,5,0.0,1,SN
16,2020-10-04,13,5,0.0,1,SN
17,2020-10-03,13,5,0.0,1,SN
18,2020-10-02,13,5,0.0,1,SN
19,2020-10-01,13,5,0.0,1,SN
20,2020-09-30,13,5,0.0,1,SN
21,2020-09-29,13,5,0.0,1,SN
22,2020-09-28,13,5,0.0,1,SN
23,2020-09-27,13,5,0.0,1,SN
24,2020-09-26,13,5,0.0,1,SN
25,2020-09-25,13,5,0.0,1,SN
26,2020-09-24,13,5,0.0,1,SN
27,2020-09-23,13,5,0.0,1,SN
28,2020-09-22,13,5,0.0,1,SN
29,2020-09-21,13,5,0.0,1,SN
30,2020-09-20,13,4,1.0,1,SN
31,2020-09-19,13,2,3.0,1,SN
32,2020-09-18,13,4,1.0,1,SN
33,2020-09-17,13,4,1.0,1,SN
34,2020-09-16,13,5,0.0,1,SN
35,2020-09-15,13,4,1.0,1,SN
36,2020-09-14,13,4,1.0,1,SN
37,2020-09-13,13,4,1.0,1,SN
38,2020-09-12,13,4,1.0,1,SN
39,2020-09-11,13,4,1.0,1,SN
40,2020-09-10,13,4,1.0,1,SN
41,2020-09-09,13,4,1.0,1,SN
42,2020-09-08,13,4,1.0,1,SN
43,2020-09-07,13,5,0.0,1,SN
44,2020-09-06,13,5,0.0,1,SN
45,2020-09-05,13,5,0.0,1,SN
46,2020-09-04,13,5,0.0,1,SN
47,2020-09-03,13,4,1.0,1,SN
48,2020-09-02,13,5,0.0,1,SN
49,2020-09-01,13,5,0.0,1,SN
50,2020-08-31,13,5,0.0,1,SN
51,2020-08-30,13,5,0.0,1,SN
52,2020-08-29,13,5,0.0,1,SN
53,2020-08-28,13,5,0.0,1,SN
54,2020-08-27,13,5,0.0,1,SN
55,2020-08-26,13,5,0.0,1,SN
56,2020-08-25,13,5,0.0,1,SN
57,2020-08-24,13,5,0.0,1,SN
58,2020-08-23,13,5,0.0,1,SN
59,2020-08-22,13,5,0.0,1,SN
60,2020-08-21,13,5,0.0,1,SN
61,2020-08-20,13,5,0.0,1,SN
62,2020-08-19,13,5,0.0,1,SN
63,2020-08-18,13,5,0.0,1,SN
64,2020-08-17,13,5,0.0,1,SN
65,2020-08-16,13,5,0.0,1,SN
