,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,2,0.0,0.0,3,SO
1,2020-10-19,2,0.0,0.0,3,SO
2,2020-10-18,2,0.0,0.0,3,SO
3,2020-10-17,2,0.0,0.0,3,SO
4,2020-10-16,2,0.0,0.0,3,SO
5,2020-10-15,2,0.0,0.0,3,SO
6,2020-10-14,2,0.0,0.0,3,SO
7,2020-10-13,2,0.0,0.0,3,SO
8,2020-10-12,2,0.0,0.0,3,SO
9,2020-10-11,2,0.0,0.0,3,SO
10,2020-10-10,2,0.0,0.0,3,SO
11,2020-10-09,2,0.0,0.0,3,SO
12,2020-10-08,2,0.0,0.0,3,SO
13,2020-10-07,2,0.0,0.0,3,SO
14,2020-10-06,2,0.0,0.0,3,SO
15,2020-10-05,2,0.0,0.0,3,SO
16,2020-10-04,2,0.0,0.0,3,SO
17,2020-10-03,2,0.0,0.0,3,SO
18,2020-10-02,2,0.0,0.0,3,SO
19,2020-10-01,2,0.0,0.0,3,SO
20,2020-09-30,2,0.0,0.0,3,SO
21,2020-09-29,2,0.0,0.0,3,SO
22,2020-09-28,2,0.0,0.0,3,SO
23,2020-09-27,2,0.0,0.0,3,SO
24,2020-09-26,2,0.0,0.0,3,SO
25,2020-09-25,2,0.0,0.0,3,SO
26,2020-09-24,2,0.0,0.0,3,SO
27,2020-09-23,2,0.0,0.0,3,SO
28,2020-09-22,2,0.0,0.0,3,SO
29,2020-09-21,2,0.0,0.0,3,SO
30,2020-09-20,2,0.0,0.0,3,SO
31,2020-09-19,2,0.0,0.0,3,SO
32,2020-09-18,2,0.0,0.0,3,SO
33,2020-09-17,2,0.0,0.0,3,SO
34,2020-09-16,2,0.0,0.0,3,SO
35,2020-09-15,2,0.0,0.0,3,SO
36,2020-09-14,2,0.0,0.0,3,SO
37,2020-09-13,2,0.0,0.0,3,SO
38,2020-09-12,2,0.0,0.0,3,SO
39,2020-09-11,2,0.0,0.0,3,SO
40,2020-09-10,2,0.0,0.0,3,SO
41,2020-09-09,2,0.0,0.0,3,SO
42,2020-09-08,2,0.0,0.0,3,SO
43,2020-09-07,2,0.0,0.0,3,SO
44,2020-09-06,2,0.0,0.0,3,SO
45,2020-09-05,2,0.0,0.0,3,SO
46,2020-09-04,2,0.0,0.0,3,SO
47,2020-09-03,2,0.0,0.0,3,SO
48,2020-09-02,2,0.0,0.0,3,SO
49,2020-09-01,2,0.0,0.0,3,SO
50,2020-08-31,2,0.0,0.0,3,SO
51,2020-08-30,2,0.0,0.0,3,SO
52,2020-08-29,2,0.0,0.0,3,SO
53,2020-08-28,2,0.0,0.0,3,SO
54,2020-08-27,2,0.0,0.0,3,SO
55,2020-08-26,2,0.0,0.0,3,SO
56,2020-08-25,2,0.0,0.0,3,SO
57,2020-08-24,2,0.0,0.0,3,SO
58,2020-08-23,2,0.0,0.0,3,SO
59,2020-08-22,2,0.0,0.0,3,SO
60,2020-08-21,2,0.0,0.0,3,SO
61,2020-08-20,2,0.0,0.0,3,SO
62,2020-08-19,2,0.0,0.0,3,SO
63,2020-08-18,2,0.0,0.0,3,SO
64,2020-08-17,2,0.0,0.0,3,SO
65,2020-08-16,2,0.0,0.0,3,SO
66,2020-08-15,2,0.0,0.0,3,SO
67,2020-08-14,2,0.0,0.0,3,SO
68,2020-08-13,2,0.0,0.0,3,SO
69,2020-08-12,2,0.0,0.0,3,SO
70,2020-08-11,2,0.0,0.0,3,SO
71,2020-08-10,2,0.0,0.0,3,SO
72,2020-08-09,2,0.0,0.0,3,SO
73,2020-08-08,2,0.0,0.0,3,SO
74,2020-08-07,2,0.0,0.0,3,SO
75,2020-08-06,2,0.0,0.0,3,SO
76,2020-08-05,2,0.0,0.0,3,SO
77,2020-08-04,2,0.0,0.0,3,SO
78,2020-08-03,2,0.0,0.0,3,SO
79,2020-08-02,2,0.0,0.0,3,SO
80,2020-08-01,2,0.0,0.0,3,SO
81,2020-07-31,2,0.0,0.0,3,SO
82,2020-07-30,2,0.0,0.0,3,SO
83,2020-07-29,2,0.0,0.0,3,SO
84,2020-07-28,2,0.0,0.0,3,SO
85,2020-07-27,2,0.0,0.0,3,SO
86,2020-07-26,2,0.0,0.0,3,SO
87,2020-07-25,2,0.0,0.0,3,SO
88,2020-07-24,2,0.0,0.0,3,SO
89,2020-07-23,2,0.0,0.0,3,SO
90,2020-07-22,2,0.0,0.0,3,SO
91,2020-07-21,2,0.0,0.0,3,SO
92,2020-07-20,2,0.0,0.0,3,SO
93,2020-07-19,2,0.0,0.0,3,SO
94,2020-07-18,2,0.0,0.0,3,SO
95,2020-07-17,2,0.0,0.0,3,SO
96,2020-07-16,2,0.0,0.0,3,SO
97,2020-07-15,2,0.0,0.0,3,SO
98,2020-07-14,2,0.0,0.0,3,SO
99,2020-07-13,2,0.0,0.0,3,SO
100,2020-07-12,2,0.0,0.0,3,SO
101,2020-07-11,2,0.0,0.0,3,SO
102,2020-07-10,2,0.0,0.0,3,SO
103,2020-07-09,2,0.0,0.0,3,SO
104,2020-07-08,2,0.0,0.0,3,SO
105,2020-07-07,2,0.0,0.0,3,SO
106,2020-07-06,2,0.0,0.0,3,SO
107,2020-07-05,2,0.0,0.0,3,SO
108,2020-07-04,2,0.0,0.0,3,SO
109,2020-07-03,2,0.0,0.0,3,SO
110,2020-07-02,2,0.0,0.0,3,SO
111,2020-07-01,2,0.0,0.0,3,SO
112,2020-06-30,2,0.0,0.0,3,SO
113,2020-06-29,2,0.0,0.0,3,SO
114,2020-06-28,2,0.0,0.0,3,SO
115,2020-06-27,2,0.0,0.0,3,SO
116,2020-06-26,2,0.0,0.0,3,SO
117,2020-06-25,2,0.0,0.0,3,SO
118,2020-06-24,2,0.0,0.0,3,SO
119,2020-06-23,2,0.0,0.0,3,SO
120,2020-06-22,2,0.0,0.0,3,SO
121,2020-06-21,2,0.0,0.0,3,SO
122,2020-06-20,2,0.0,0.0,3,SO
123,2020-06-19,2,0.0,0.0,3,SO
124,2020-06-18,2,0.0,0.0,3,SO
125,2020-06-17,2,0.0,0.0,3,SO
126,2020-06-16,2,0.0,0.0,3,SO
127,2020-06-15,2,0.0,0.0,3,SO
128,2020-06-14,2,0.0,0.0,3,SO
129,2020-06-13,2,0.0,0.0,3,SO
130,2020-06-12,2,0.0,0.0,3,SO
131,2020-06-11,2,0.0,0.0,3,SO
132,2020-06-10,2,0.0,0.0,3,SO
133,2020-06-09,2,0.0,0.0,3,SO
134,2020-06-08,2,0.0,0.0,3,SO
135,2020-06-07,2,0.0,0.0,3,SO
136,2020-06-06,2,0.0,0.0,3,SO
137,2020-06-05,2,0.0,0.0,3,SO
138,2020-06-04,2,0.0,0.0,3,SO
139,2020-06-03,2,0.0,0.0,3,SO
140,2020-06-02,2,0.0,0.0,3,SO
141,2020-06-01,2,0.0,0.0,3,SO
142,2020-05-31,2,0.0,0.0,3,SO
143,2020-05-30,2,0.0,0.0,3,SO
144,2020-05-29,2,0.0,0.0,3,SO
145,2020-05-28,2,0.0,0.0,3,SO
146,2020-05-27,2,0.0,0.0,3,SO
147,2020-05-26,2,0.0,0.0,3,SO
148,2020-05-25,2,0.0,0.0,3,SO
149,2020-05-24,2,0.0,0.0,3,SO
150,2020-05-23,2,0.0,0.0,3,SO
151,2020-05-22,2,0.0,0.0,3,SO
152,2020-05-21,2,0.0,0.0,3,SO
153,2020-05-20,2,0.0,0.0,3,SO
154,2020-05-19,2,0.0,0.0,3,SO
155,2020-05-18,2,0.0,0.0,3,SO
156,2020-05-17,2,0.0,0.0,3,SO
157,2020-05-16,2,0.0,0.0,3,SO
158,2020-05-15,2,0.0,0.0,3,SO
159,2020-05-14,2,0.0,0.0,3,SO
160,2020-05-13,2,0.0,0.0,3,SO
161,2020-05-12,2,0.0,0.0,3,SO
162,2020-05-11,2,0.0,0.0,3,SO
163,2020-05-10,2,0.0,0.0,3,SO
164,2020-05-09,2,0.0,0.0,3,SO
165,2020-05-08,2,0.0,0.0,3,SO
166,2020-05-07,2,0.0,0.0,3,SO
167,2020-05-06,2,0.0,0.0,3,SO
168,2020-05-05,2,0.0,0.0,3,SO
169,2020-05-03,2,0.0,0.0,3,SO
170,2020-05-02,2,0.0,0.0,3,SO
171,2020-05-01,2,0.0,0.0,3,SO
172,2020-04-30,2,0.0,0.0,3,SO
173,2020-04-29,2,0.0,0.0,3,SO
174,2020-04-28,2,0.0,0.0,3,SO
175,2020-04-27,2,0.0,0.0,3,SO
176,2020-04-26,2,0.0,0.0,3,SO
177,2020-04-25,2,0.0,0.0,3,SO
178,2020-04-24,2,0.0,0.0,3,SO
179,2020-04-23,2,0.0,0.0,3,SO
180,2020-04-22,2,0.0,0.0,3,SO
181,2020-04-21,2,0.0,0.0,3,SO
182,2020-04-20,2,0.0,0.0,3,SO
183,2020-04-19,2,0.0,0.0,3,SO
184,2020-04-18,2,0.0,0.0,3,SO
185,2020-04-17,2,0.0,0.0,3,SO
186,2020-04-16,2,0.0,0.0,3,SO
187,2020-04-15,2,0.0,0.0,3,SO
188,2020-04-14,2,0.0,0.0,3,SO
189,2020-04-13,2,0.0,0.0,3,SO
190,2020-04-12,2,0.0,0.0,3,SO
191,2020-04-11,2,0.0,0.0,3,SO
192,2020-04-10,2,0.0,0.0,3,SO
193,2020-04-09,2,0.0,0.0,3,SO
194,2020-04-08,2,0.0,0.0,3,SO
195,2020-04-07,2,0.0,0.0,3,SO
196,2020-04-06,2,0.0,0.0,3,SO
197,2020-04-05,2,0.0,0.0,3,SO
198,2020-04-04,2,0.0,0.0,3,SO
199,2020-04-03,2,0.0,0.0,3,SO
200,2020-04-02,2,0.0,0.0,3,SO
201,2020-04-01,2,0.0,0.0,3,SO
202,2020-03-31,2,0.0,0.0,3,SO
203,2020-03-30,2,0.0,0.0,3,SO
204,2020-03-29,2,0.0,0.0,3,SO
205,2020-03-28,2,0.0,0.0,3,SO
206,2020-03-27,2,0.0,0.0,3,SO
207,2020-03-26,2,0.0,0.0,3,SO
208,2020-03-25,2,0.0,0.0,3,SO
209,2020-03-24,2,0.0,0.0,3,SO
210,2020-03-23,2,0.0,0.0,3,SO
211,2020-03-22,2,0.0,0.0,3,SO
212,2020-03-21,2,0.0,0.0,3,SO
213,2020-03-20,2,0.0,0.0,3,SO
214,2020-03-19,2,0.0,0.0,3,SO
215,2020-03-18,2,0.0,0.0,3,SO
216,2020-03-17,2,0.0,0.0,3,SO
217,2020-03-16,2,0.0,0.0,3,SO
218,2020-03-15,2,0.0,0.0,3,SO
219,2020-03-14,2,0.0,0.0,3,SO
220,2020-03-13,2,0.0,0.0,3,SO
221,2020-03-12,2,0.0,0.0,3,SO
222,2020-03-11,2,0.0,0.0,3,SO
