,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,3,0,0.0,0.0,SZ
1,2020-10-19,3,0,0.0,0.0,SZ
2,2020-10-18,3,0,0.0,0.0,SZ
3,2020-10-17,3,0,0.0,0.0,SZ
4,2020-10-16,3,0,0.0,0.0,SZ
5,2020-10-15,3,0,0.0,0.0,SZ
6,2020-10-14,3,0,0.0,0.0,SZ
7,2020-10-13,3,0,0.0,0.0,SZ
8,2020-10-12,3,0,0.0,0.0,SZ
9,2020-10-11,3,0,0.0,0.0,SZ
10,2020-10-10,3,0,0.0,0.0,SZ
11,2020-10-09,3,0,0.0,0.0,SZ
12,2020-10-08,3,0,0.0,0.0,SZ
13,2020-10-07,3,0,0.0,0.0,SZ
14,2020-10-06,3,0,0.0,0.0,SZ
15,2020-10-05,3,0,0.0,0.0,SZ
16,2020-10-04,3,0,0.0,0.0,SZ
17,2020-10-03,3,0,0.0,0.0,SZ
18,2020-10-02,3,0,0.0,0.0,SZ
19,2020-10-01,3,0,0.0,0.0,SZ
20,2020-09-30,3,0,0.0,0.0,SZ
21,2020-09-29,3,0,0.0,0.0,SZ
22,2020-09-28,3,0,0.0,0.0,SZ
23,2020-09-27,3,0,0.0,0.0,SZ
24,2020-09-26,3,0,0.0,0.0,SZ
25,2020-09-25,3,0,0.0,0.0,SZ
26,2020-09-24,3,0,0.0,0.0,SZ
27,2020-09-23,3,0,0.0,0.0,SZ
28,2020-09-22,3,0,0.0,0.0,SZ
29,2020-09-21,3,0,0.0,0.0,SZ
30,2020-09-20,3,0,0.0,0.0,SZ
31,2020-09-19,3,0,0.0,0.0,SZ
32,2020-09-18,3,0,0.0,0.0,SZ
33,2020-09-17,3,0,0.0,0.0,SZ
34,2020-09-16,3,0,0.0,0.0,SZ
35,2020-09-15,3,0,0.0,0.0,SZ
36,2020-09-14,3,0,0.0,0.0,SZ
37,2020-09-13,3,0,0.0,0.0,SZ
38,2020-09-12,3,0,0.0,0.0,SZ
39,2020-09-11,3,0,0.0,0.0,SZ
40,2020-09-10,3,0,0.0,0.0,SZ
41,2020-09-09,3,0,0.0,0.0,SZ
42,2020-09-08,3,0,0.0,0.0,SZ
43,2020-09-07,3,0,0.0,0.0,SZ
44,2020-09-06,3,0,0.0,0.0,SZ
45,2020-09-05,3,0,0.0,0.0,SZ
46,2020-09-04,3,0,0.0,0.0,SZ
47,2020-09-03,3,0,0.0,0.0,SZ
48,2020-09-02,3,0,0.0,0.0,SZ
49,2020-09-01,3,0,0.0,0.0,SZ
50,2020-08-31,3,0,0.0,0.0,SZ
51,2020-08-30,3,0,0.0,0.0,SZ
52,2020-08-29,3,0,0.0,0.0,SZ
53,2020-08-28,3,0,0.0,0.0,SZ
54,2020-08-27,3,0,0.0,0.0,SZ
55,2020-08-26,3,0,0.0,0.0,SZ
56,2020-08-25,3,0,0.0,0.0,SZ
57,2020-08-24,3,0,0.0,0.0,SZ
58,2020-08-23,3,0,0.0,0.0,SZ
59,2020-08-22,3,0,0.0,0.0,SZ
60,2020-08-21,3,0,0.0,0.0,SZ
61,2020-08-20,3,0,0.0,0.0,SZ
62,2020-08-19,3,0,0.0,0.0,SZ
63,2020-08-18,3,0,0.0,0.0,SZ
64,2020-08-17,3,0,0.0,0.0,SZ
65,2020-08-16,3,0,0.0,0.0,SZ
66,2020-08-15,3,0,0.0,0.0,SZ
67,2020-08-14,3,0,0.0,0.0,SZ
68,2020-08-13,3,0,0.0,0.0,SZ
69,2020-08-12,3,0,0.0,0.0,SZ
70,2020-08-11,3,0,0.0,0.0,SZ
71,2020-08-10,3,0,0.0,0.0,SZ
72,2020-08-09,3,0,0.0,0.0,SZ
73,2020-08-08,3,0,0.0,0.0,SZ
74,2020-08-07,3,0,0.0,0.0,SZ
75,2020-08-06,3,0,0.0,0.0,SZ
76,2020-08-05,3,0,0.0,0.0,SZ
77,2020-08-04,3,0,0.0,0.0,SZ
78,2020-08-03,3,0,0.0,0.0,SZ
79,2020-08-02,3,0,0.0,0.0,SZ
80,2020-08-01,3,0,0.0,0.0,SZ
81,2020-07-31,3,0,0.0,0.0,SZ
82,2020-07-30,3,0,0.0,0.0,SZ
83,2020-07-29,3,0,0.0,0.0,SZ
84,2020-07-28,3,0,0.0,0.0,SZ
85,2020-07-27,3,0,0.0,0.0,SZ
86,2020-07-26,3,0,0.0,0.0,SZ
87,2020-07-25,3,0,0.0,0.0,SZ
88,2020-07-24,3,0,0.0,0.0,SZ
89,2020-07-23,3,0,0.0,0.0,SZ
90,2020-07-22,3,0,0.0,0.0,SZ
91,2020-07-21,3,0,0.0,0.0,SZ
92,2020-07-20,3,0,0.0,0.0,SZ
93,2020-07-19,3,0,0.0,0.0,SZ
94,2020-07-18,3,0,0.0,0.0,SZ
95,2020-07-17,3,0,0.0,0.0,SZ
96,2020-07-16,3,0,0.0,0.0,SZ
97,2020-07-15,3,0,0.0,0.0,SZ
98,2020-07-14,3,0,0.0,0.0,SZ
99,2020-07-13,3,0,0.0,0.0,SZ
100,2020-07-12,3,0,0.0,0.0,SZ
101,2020-07-11,3,0,0.0,0.0,SZ
102,2020-07-10,3,0,0.0,0.0,SZ
103,2020-07-09,3,0,0.0,0.0,SZ
104,2020-07-08,3,0,0.0,0.0,SZ
105,2020-07-07,3,0,0.0,0.0,SZ
106,2020-07-06,3,0,0.0,0.0,SZ
107,2020-07-05,3,0,0.0,0.0,SZ
108,2020-07-04,3,0,0.0,0.0,SZ
109,2020-07-03,3,0,0.0,0.0,SZ
110,2020-07-02,3,0,0.0,0.0,SZ
111,2020-07-01,3,0,0.0,0.0,SZ
112,2020-06-30,3,0,0.0,0.0,SZ
113,2020-06-29,3,0,0.0,0.0,SZ
114,2020-06-28,3,0,0.0,0.0,SZ
115,2020-06-27,3,0,0.0,0.0,SZ
116,2020-06-26,3,0,0.0,0.0,SZ
117,2020-06-25,3,0,0.0,0.0,SZ
118,2020-06-24,3,0,0.0,0.0,SZ
119,2020-06-23,3,0,0.0,0.0,SZ
120,2020-06-22,3,0,0.0,0.0,SZ
121,2020-06-21,3,0,0.0,0.0,SZ
122,2020-06-20,3,0,0.0,0.0,SZ
123,2020-06-19,3,0,0.0,0.0,SZ
124,2020-06-18,3,0,0.0,0.0,SZ
125,2020-06-17,3,0,0.0,0.0,SZ
126,2020-06-16,3,0,0.0,0.0,SZ
127,2020-06-15,3,0,0.0,0.0,SZ
128,2020-06-14,3,0,0.0,0.0,SZ
129,2020-06-13,3,0,0.0,0.0,SZ
130,2020-06-12,3,0,0.0,0.0,SZ
131,2020-06-11,3,0,0.0,0.0,SZ
132,2020-06-10,3,0,0.0,0.0,SZ
133,2020-06-09,3,0,0.0,0.0,SZ
134,2020-06-08,3,0,0.0,0.0,SZ
135,2020-06-07,3,0,0.0,0.0,SZ
136,2020-06-06,3,0,0.0,0.0,SZ
137,2020-06-05,3,0,0.0,0.0,SZ
138,2020-06-04,3,0,0.0,0.0,SZ
139,2020-06-03,3,0,0.0,0.0,SZ
140,2020-06-02,3,0,0.0,0.0,SZ
141,2020-06-01,3,0,0.0,0.0,SZ
142,2020-05-31,3,0,0.0,0.0,SZ
143,2020-05-30,3,0,0.0,0.0,SZ
144,2020-05-29,3,0,0.0,0.0,SZ
145,2020-05-28,3,0,0.0,0.0,SZ
146,2020-05-27,3,0,0.0,0.0,SZ
147,2020-05-26,3,0,0.0,0.0,SZ
148,2020-05-25,3,0,0.0,0.0,SZ
149,2020-05-24,3,0,0.0,0.0,SZ
150,2020-05-23,3,0,0.0,0.0,SZ
