,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,4,0.0,0.0,1,TD
1,2020-10-19,4,0.0,0.0,1,TD
2,2020-10-18,4,0.0,0.0,1,TD
3,2020-10-17,4,0.0,0.0,1,TD
4,2020-10-16,4,0.0,0.0,1,TD
5,2020-10-15,4,0.0,0.0,1,TD
6,2020-10-14,4,0.0,0.0,1,TD
7,2020-10-13,4,0.0,0.0,1,TD
8,2020-10-12,4,0.0,0.0,1,TD
9,2020-10-11,4,0.0,0.0,1,TD
10,2020-10-10,4,0.0,0.0,1,TD
11,2020-10-09,4,0.0,0.0,1,TD
12,2020-10-08,4,0.0,0.0,1,TD
13,2020-10-07,4,0.0,0.0,1,TD
14,2020-10-06,4,0.0,0.0,1,TD
15,2020-10-05,4,0.0,0.0,1,TD
16,2020-10-04,4,0.0,0.0,1,TD
17,2020-10-03,4,0.0,0.0,1,TD
18,2020-10-02,4,0.0,0.0,1,TD
19,2020-10-01,4,0.0,0.0,1,TD
20,2020-09-30,4,0.0,0.0,1,TD
21,2020-09-29,4,0.0,0.0,1,TD
22,2020-09-28,4,0.0,0.0,1,TD
23,2020-09-27,4,0.0,0.0,1,TD
24,2020-09-26,4,0.0,0.0,1,TD
25,2020-09-25,4,0.0,0.0,1,TD
26,2020-09-24,4,0.0,0.0,1,TD
27,2020-09-23,4,0.0,0.0,1,TD
28,2020-09-22,4,0.0,0.0,1,TD
29,2020-09-21,4,0.0,0.0,1,TD
30,2020-09-20,4,0.0,0.0,1,TD
31,2020-09-19,4,0.0,0.0,1,TD
32,2020-09-18,4,0.0,0.0,1,TD
33,2020-09-17,4,0.0,0.0,1,TD
34,2020-09-16,4,0.0,0.0,1,TD
35,2020-09-15,4,0.0,0.0,1,TD
36,2020-09-14,4,0.0,0.0,1,TD
37,2020-09-13,4,0.0,0.0,1,TD
38,2020-09-12,4,0.0,0.0,1,TD
39,2020-09-11,4,0.0,0.0,1,TD
40,2020-09-10,4,0.0,0.0,1,TD
41,2020-09-09,4,0.0,0.0,1,TD
42,2020-09-08,4,0.0,0.0,1,TD
43,2020-09-07,4,0.0,0.0,1,TD
44,2020-09-06,4,0.0,0.0,1,TD
45,2020-09-05,4,0.0,0.0,1,TD
46,2020-09-04,4,0.0,0.0,1,TD
47,2020-09-03,4,0.0,0.0,1,TD
48,2020-09-02,4,0.0,0.0,1,TD
49,2020-09-01,4,0.0,0.0,1,TD
50,2020-08-31,4,0.0,0.0,1,TD
51,2020-08-30,4,0.0,0.0,1,TD
52,2020-08-29,4,0.0,0.0,1,TD
53,2020-08-28,4,0.0,0.0,1,TD
54,2020-08-27,4,0.0,0.0,1,TD
55,2020-08-26,4,0.0,0.0,1,TD
56,2020-08-25,4,0.0,0.0,1,TD
57,2020-08-24,4,0.0,0.0,1,TD
58,2020-08-23,4,0.0,0.0,1,TD
59,2020-08-22,4,0.0,0.0,1,TD
60,2020-08-21,4,0.0,0.0,1,TD
61,2020-08-20,4,0.0,0.0,1,TD
62,2020-08-19,4,0.0,0.0,1,TD
63,2020-08-18,4,0.0,0.0,1,TD
64,2020-08-17,4,0.0,0.0,1,TD
65,2020-08-16,4,0.0,0.0,1,TD
66,2020-08-15,4,0.0,0.0,1,TD
67,2020-08-14,4,0.0,0.0,1,TD
68,2020-08-13,4,0.0,0.0,1,TD
69,2020-08-12,4,0.0,0.0,1,TD
70,2020-08-11,4,0.0,0.0,1,TD
71,2020-08-10,4,0.0,0.0,1,TD
72,2020-08-09,4,0.0,0.0,1,TD
73,2020-08-08,4,0.0,0.0,1,TD
74,2020-08-07,4,0.0,0.0,1,TD
75,2020-08-06,4,0.0,0.0,1,TD
76,2020-08-05,4,0.0,0.0,1,TD
77,2020-08-04,4,0.0,0.0,1,TD
78,2020-08-03,4,0.0,0.0,1,TD
79,2020-08-02,4,0.0,0.0,1,TD
80,2020-08-01,4,0.0,0.0,1,TD
81,2020-07-31,4,0.0,0.0,1,TD
82,2020-07-30,4,0.0,0.0,1,TD
83,2020-07-29,4,0.0,0.0,1,TD
84,2020-07-28,4,0.0,0.0,1,TD
85,2020-07-27,4,0.0,0.0,1,TD
86,2020-07-26,4,0.0,0.0,1,TD
87,2020-07-25,4,0.0,0.0,1,TD
88,2020-07-24,4,0.0,0.0,1,TD
89,2020-07-23,4,0.0,0.0,1,TD
90,2020-07-22,4,0.0,0.0,1,TD
91,2020-07-21,4,0.0,0.0,1,TD
92,2020-07-20,4,0.0,0.0,1,TD
93,2020-07-19,4,0.0,0.0,1,TD
94,2020-07-18,4,0.0,0.0,1,TD
95,2020-07-17,4,0.0,0.0,1,TD
96,2020-07-16,4,0.0,0.0,1,TD
97,2020-07-15,4,0.0,0.0,1,TD
98,2020-07-14,4,0.0,0.0,1,TD
99,2020-07-13,4,0.0,0.0,1,TD
100,2020-07-12,4,0.0,0.0,1,TD
101,2020-07-11,4,0.0,0.0,1,TD
102,2020-07-10,4,0.0,0.0,1,TD
103,2020-07-09,4,0.0,0.0,1,TD
104,2020-07-08,4,0.0,0.0,1,TD
105,2020-07-07,4,0.0,0.0,1,TD
106,2020-07-06,4,0.0,0.0,1,TD
107,2020-07-05,4,0.0,0.0,1,TD
108,2020-07-04,4,0.0,0.0,1,TD
109,2020-07-03,4,0.0,0.0,1,TD
110,2020-07-02,4,0.0,0.0,1,TD
111,2020-07-01,4,0.0,0.0,1,TD
112,2020-06-30,4,0.0,0.0,1,TD
113,2020-06-29,4,0.0,0.0,1,TD
114,2020-06-28,4,0.0,0.0,1,TD
115,2020-06-27,4,0.0,0.0,1,TD
116,2020-06-26,4,0.0,0.0,1,TD
117,2020-06-25,4,0.0,0.0,1,TD
118,2020-06-24,4,0.0,0.0,1,TD
119,2020-06-23,4,0.0,0.0,1,TD
120,2020-06-22,4,0.0,0.0,1,TD
121,2020-06-21,4,0.0,0.0,1,TD
122,2020-06-20,4,0.0,0.0,1,TD
123,2020-06-19,4,0.0,0.0,1,TD
124,2020-06-18,4,0.0,0.0,1,TD
125,2020-06-17,4,0.0,0.0,1,TD
126,2020-06-16,4,0.0,0.0,1,TD
127,2020-06-15,4,0.0,0.0,1,TD
128,2020-06-14,4,0.0,0.0,1,TD
129,2020-06-13,4,0.0,0.0,1,TD
130,2020-06-12,4,0.0,0.0,1,TD
131,2020-06-11,4,0.0,0.0,1,TD
132,2020-06-10,4,0.0,0.0,1,TD
133,2020-06-09,4,0.0,0.0,1,TD
134,2020-06-08,4,0.0,0.0,1,TD
135,2020-06-07,4,0.0,0.0,1,TD
136,2020-06-06,4,0.0,0.0,1,TD
137,2020-06-05,4,0.0,0.0,1,TD
138,2020-06-04,4,0.0,0.0,1,TD
139,2020-06-03,4,0.0,0.0,1,TD
140,2020-06-02,4,0.0,0.0,1,TD
141,2020-06-01,4,0.0,0.0,1,TD
142,2020-05-31,4,0.0,0.0,1,TD
143,2020-05-30,4,0.0,0.0,1,TD
144,2020-05-29,4,0.0,0.0,1,TD
145,2020-05-28,4,0.0,0.0,1,TD
146,2020-05-27,4,0.0,0.0,1,TD
147,2020-05-26,4,0.0,0.0,1,TD
148,2020-05-25,4,0.0,0.0,1,TD
149,2020-05-24,4,0.0,0.0,1,TD
150,2020-05-23,4,0.0,0.0,1,TD
151,2020-05-22,4,0.0,0.0,1,TD
152,2020-05-21,4,0.0,0.0,1,TD
153,2020-05-20,4,0.0,0.0,1,TD
154,2020-05-19,4,0.0,0.0,1,TD
155,2020-05-18,4,0.0,0.0,1,TD
156,2020-05-17,4,0.0,0.0,1,TD
157,2020-05-16,4,0.0,0.0,1,TD
158,2020-05-15,4,0.0,0.0,1,TD
159,2020-05-14,4,0.0,0.0,1,TD
160,2020-05-13,4,0.0,0.0,1,TD
161,2020-05-12,4,0.0,0.0,1,TD
162,2020-05-11,4,0.0,0.0,1,TD
163,2020-05-10,4,0.0,0.0,1,TD
164,2020-05-09,4,0.0,0.0,1,TD
165,2020-05-08,4,0.0,0.0,1,TD
166,2020-05-07,4,0.0,0.0,1,TD
167,2020-05-06,4,0.0,0.0,1,TD
168,2020-05-05,4,0.0,0.0,1,TD
169,2020-05-03,4,0.0,0.0,1,TD
170,2020-05-02,4,0.0,0.0,1,TD
171,2020-05-01,4,0.0,0.0,1,TD
172,2020-04-30,4,0.0,0.0,1,TD
173,2020-04-29,4,0.0,0.0,1,TD
174,2020-04-28,4,0.0,0.0,1,TD
175,2020-04-27,4,0.0,0.0,1,TD
176,2020-04-26,4,0.0,0.0,1,TD
177,2020-04-25,4,0.0,0.0,1,TD
178,2020-04-24,4,0.0,0.0,1,TD
179,2020-04-23,4,0.0,0.0,1,TD
180,2020-04-22,4,0.0,0.0,1,TD
181,2020-04-21,4,0.0,0.0,1,TD
182,2020-04-20,4,0.0,0.0,1,TD
183,2020-04-19,4,0.0,0.0,1,TD
184,2020-04-18,4,0.0,0.0,1,TD
185,2020-04-17,4,0.0,0.0,1,TD
186,2020-04-16,4,0.0,0.0,1,TD
187,2020-04-15,4,0.0,0.0,1,TD
188,2020-04-14,4,0.0,0.0,1,TD
189,2020-04-13,4,0.0,0.0,1,TD
190,2020-04-12,4,0.0,0.0,1,TD
191,2020-04-11,4,0.0,0.0,1,TD
192,2020-04-10,4,0.0,0.0,1,TD
193,2020-04-09,4,0.0,0.0,1,TD
194,2020-04-08,4,0.0,0.0,1,TD
195,2020-04-07,4,0.0,0.0,1,TD
196,2020-04-06,4,0.0,0.0,1,TD
197,2020-04-05,4,0.0,0.0,1,TD
198,2020-04-04,4,0.0,0.0,1,TD
199,2020-04-03,4,0.0,0.0,1,TD
200,2020-04-02,4,0.0,0.0,1,TD
201,2020-04-01,4,0.0,0.0,1,TD
202,2020-03-31,4,0.0,0.0,1,TD
203,2020-03-30,4,0.0,0.0,1,TD
204,2020-03-29,4,0.0,0.0,1,TD
205,2020-03-28,4,0.0,0.0,1,TD
206,2020-03-27,4,0.0,0.0,1,TD
207,2020-03-26,4,0.0,0.0,1,TD
208,2020-03-25,4,0.0,0.0,1,TD
209,2020-03-24,4,0.0,0.0,1,TD
210,2020-03-23,4,0.0,0.0,1,TD
211,2020-03-22,4,0.0,0.0,1,TD
212,2020-03-21,4,0.0,0.0,1,TD
213,2020-03-20,4,0.0,0.0,1,TD
214,2020-03-19,4,0.0,0.0,1,TD
215,2020-03-18,4,0.0,0.0,1,TD
216,2020-03-17,4,0.0,0.0,1,TD
217,2020-03-16,4,0.0,0.0,1,TD
218,2020-03-15,4,0.0,0.0,1,TD
219,2020-03-14,4,0.0,0.0,1,TD
220,2020-03-13,4,0.0,0.0,1,TD
221,2020-03-12,4,0.0,0.0,1,TD
222,2020-03-11,4,0.0,0.0,1,TD
223,2020-03-10,4,0.0,0.0,1,TD
224,2020-03-09,4,0.0,0.0,1,TD
225,2020-03-08,4,0.0,0.0,1,TD
226,2020-03-07,4,0.0,0.0,1,TD
227,2020-03-06,4,0.0,0.0,1,TD
228,2020-03-05,4,0.0,0.0,1,TD
229,2020-03-04,4,0.0,0.0,1,TD
230,2020-03-03,4,0.0,0.0,1,TD
231,2020-03-02,4,0.0,0.0,1,TD
232,2020-03-01,4,0.0,0.0,1,TD
233,2020-02-29,4,0.0,0.0,1,TD
234,2020-02-28,4,0.0,0.0,1,TD
235,2020-02-27,4,0.0,0.0,1,TD
236,2020-02-26,4,0.0,0.0,1,TD
237,2020-02-25,4,0.0,0.0,1,TD
238,2020-02-24,4,0.0,0.0,1,TD
239,2020-02-23,4,0.0,0.0,1,TD
240,2020-02-22,4,0.0,0.0,1,TD
241,2020-02-21,4,0.0,0.0,1,TD
242,2020-02-20,4,0.0,0.0,1,TD
243,2020-02-19,4,0.0,0.0,1,TD
244,2020-02-18,4,0.0,0.0,1,TD
245,2020-02-17,4,0.0,0.0,1,TD
246,2020-02-16,4,0.0,0.0,1,TD
247,2020-02-15,4,0.0,0.0,1,TD
248,2020-02-14,4,0.0,0.0,1,TD
249,2020-02-12,4,0.0,0.0,1,TD
250,2020-02-11,4,0.0,0.0,1,TD
251,2020-02-10,4,0.0,0.0,1,TD
252,2020-02-06,4,0.0,0.0,1,TD
253,2020-02-05,4,0.0,0.0,1,TD
254,2020-02-04,4,0.0,0.0,1,TD
255,2020-02-03,4,0.0,0.0,1,TD
256,2020-02-01,4,0.0,0.0,1,TD
257,2020-01-31,4,0.0,0.0,1,TD
258,2020-01-30,4,0.0,0.0,1,TD
259,2020-01-29,4,0.0,0.0,1,TD
260,2020-01-28,4,0.0,0.0,1,TD
261,2020-01-27,4,0.0,0.0,1,TD
262,2020-01-23,4,0.0,0.0,1,TD
263,2020-01-22,4,0.0,0.0,1,TD
264,2020-01-21,4,0.0,0.0,1,TD
265,2020-01-20,4,0.0,0.0,1,TD
266,2020-01-19,4,0.0,0.0,1,TD
267,2020-01-18,4,0.0,0.0,1,TD
268,2020-01-17,4,0.0,0.0,1,TD
269,2020-01-16,4,0.0,0.0,1,TD
270,2020-01-15,4,0.0,0.0,1,TD
271,2020-01-14,4,0.0,0.0,1,TD
272,2020-01-13,4,0.0,0.0,1,TD
273,2020-01-12,4,0.0,0.0,1,TD
274,2020-01-11,4,0.0,0.0,1,TD
275,2020-01-10,4,0.0,0.0,1,TD
