,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,35,5,4,6,TN
1,2020-10-19,35,6,3,6,TN
2,2020-10-18,35,6,3,6,TN
3,2020-10-17,35,6,3,6,TN
4,2020-10-16,35,6,3,6,TN
5,2020-10-15,35,7,2,6,TN
6,2020-10-14,35,6,3,6,TN
7,2020-10-13,36,6,2,6,TN
8,2020-10-12,36,6,2,6,TN
9,2020-10-11,36,6,2,6,TN
10,2020-10-10,36,6,2,6,TN
11,2020-10-09,36,6,2,6,TN
12,2020-10-08,36,6,2,6,TN
13,2020-10-07,36,6,2,6,TN
14,2020-10-06,36,6,2,6,TN
15,2020-10-05,36,6,2,6,TN
16,2020-10-04,36,6,2,6,TN
17,2020-10-03,36,6,2,6,TN
18,2020-10-02,36,6,2,6,TN
19,2020-10-01,36,6,2,6,TN
20,2020-09-30,36,6,2,6,TN
21,2020-09-29,37,5,2,6,TN
22,2020-09-28,37,5,2,6,TN
23,2020-09-27,37,5,2,6,TN
24,2020-09-26,37,5,2,6,TN
25,2020-09-25,37,5,2,6,TN
26,2020-09-24,37,5,2,6,TN
27,2020-09-23,37,5,2,6,TN
28,2020-09-22,37,5,2,6,TN
29,2020-09-21,37,5,2,6,TN
30,2020-09-20,37,5,2,6,TN
31,2020-09-19,37,5,2,6,TN
32,2020-09-18,37,5,2,6,TN
33,2020-09-17,37,4,3,6,TN
34,2020-09-16,37,4,3,6,TN
35,2020-09-15,37,5,2,6,TN
36,2020-09-14,37,5,2,6,TN
37,2020-09-13,37,5,2,6,TN
38,2020-09-12,37,5,2,6,TN
39,2020-09-11,37,5,2,6,TN
40,2020-09-10,37,5,2,6,TN
41,2020-09-09,37,5,2,6,TN
42,2020-09-08,37,5,2,6,TN
43,2020-09-07,37,5,2,6,TN
44,2020-09-06,37,5,2,6,TN
45,2020-09-05,37,5,2,6,TN
46,2020-09-04,37,5,2,6,TN
47,2020-09-03,37,5,2,6,TN
48,2020-09-02,37,5,2,6,TN
49,2020-09-01,37,5,2,6,TN
50,2020-08-31,37,5,2,6,TN
51,2020-08-30,37,5,2,6,TN
52,2020-08-29,37,5,2,6,TN
53,2020-08-28,37,5,2,6,TN
54,2020-08-27,37,5,2,6,TN
55,2020-08-26,37,5,2,6,TN
56,2020-08-25,37,5,2,6,TN
57,2020-08-24,37,5,2,6,TN
58,2020-08-23,37,5,2,6,TN
59,2020-08-22,37,5,2,6,TN
60,2020-08-21,37,5,2,6,TN
61,2020-08-20,37,5,2,6,TN
62,2020-08-19,37,5,2,6,TN
63,2020-08-18,37,5,2,6,TN
64,2020-08-17,37,5,2,6,TN
65,2020-08-16,37,5,2,6,TN
66,2020-08-15,37,5,2,6,TN
67,2020-08-14,37,5,2,6,TN
68,2020-08-13,37,5,2,6,TN
69,2020-08-12,37,5,2,6,TN
70,2020-08-11,37,5,2,6,TN
71,2020-08-10,37,5,2,6,TN
72,2020-08-09,37,5,2,6,TN
73,2020-08-08,37,5,2,6,TN
74,2020-08-07,37,4,3,6,TN
75,2020-08-06,37,5,2,6,TN
76,2020-08-05,37,5,2,6,TN
77,2020-08-04,37,5,2,6,TN
78,2020-08-03,37,5,2,6,TN
79,2020-08-02,37,5,2,6,TN
80,2020-08-01,37,5,2,6,TN
81,2020-07-31,37,5,2,6,TN
82,2020-07-30,37,5,2,6,TN
83,2020-07-29,37,5,2,6,TN
84,2020-07-28,37,5,2,6,TN
85,2020-07-27,37,6,1,6,TN
86,2020-07-26,37,6,1,6,TN
87,2020-07-25,37,5,2,6,TN
88,2020-07-24,37,6,1,6,TN
89,2020-07-23,37,6,1,6,TN
90,2020-07-22,37,6,1,6,TN
91,2020-07-21,37,6,1,6,TN
92,2020-07-20,37,6,1,6,TN
93,2020-07-19,37,6,1,6,TN
94,2020-07-18,37,6,1,6,TN
95,2020-07-17,37,6,1,6,TN
96,2020-07-16,37,6,1,6,TN
97,2020-07-15,37,6,1,6,TN
98,2020-07-14,37,6,1,6,TN
99,2020-07-13,37,6,1,6,TN
100,2020-07-12,37,6,1,6,TN
101,2020-07-11,37,6,1,6,TN
102,2020-07-10,37,6,1,6,TN
103,2020-07-09,37,6,1,6,TN
