,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,23,9,1,4,TZ
1,2020-10-19,23,9,1,4,TZ
2,2020-10-18,23,9,1,4,TZ
3,2020-10-17,23,9,1,4,TZ
4,2020-10-16,23,9,1,4,TZ
5,2020-10-15,23,9,1,4,TZ
6,2020-10-14,23,9,1,4,TZ
7,2020-10-13,23,9,1,4,TZ
8,2020-10-12,23,9,1,4,TZ
9,2020-10-11,23,5,5,4,TZ
10,2020-10-10,23,9,1,4,TZ
11,2020-10-09,23,9,1,4,TZ
12,2020-10-08,23,9,1,4,TZ
13,2020-10-07,23,9,1,4,TZ
14,2020-10-06,23,9,1,4,TZ
15,2020-10-05,23,9,1,4,TZ
16,2020-10-04,23,9,1,4,TZ
17,2020-10-03,23,9,1,4,TZ
18,2020-10-02,23,9,1,4,TZ
19,2020-10-01,23,9,1,4,TZ
20,2020-09-30,23,9,1,4,TZ
21,2020-09-29,23,9,1,4,TZ
22,2020-09-28,23,9,1,4,TZ
23,2020-09-27,23,9,1,4,TZ
24,2020-09-26,23,9,1,4,TZ
25,2020-09-25,23,9,1,4,TZ
26,2020-09-24,23,9,1,4,TZ
27,2020-09-23,23,9,1,4,TZ
28,2020-09-22,23,9,1,4,TZ
29,2020-09-21,23,9,1,4,TZ
30,2020-09-20,23,9,1,4,TZ
31,2020-09-19,23,9,1,4,TZ
32,2020-09-18,23,9,1,4,TZ
33,2020-09-17,23,9,1,4,TZ
34,2020-09-16,23,9,1,4,TZ
35,2020-09-15,23,9,1,4,TZ
36,2020-09-14,23,9,1,4,TZ
37,2020-09-13,23,9,1,4,TZ
38,2020-09-12,23,9,1,4,TZ
39,2020-09-11,23,9,1,4,TZ
40,2020-09-10,23,9,1,4,TZ
41,2020-09-09,23,8,2,4,TZ
42,2020-09-08,23,8,2,4,TZ
43,2020-09-07,23,9,1,4,TZ
44,2020-09-06,23,9,1,4,TZ
45,2020-09-05,23,9,1,4,TZ
46,2020-09-04,23,9,1,4,TZ
47,2020-09-03,23,9,1,4,TZ
48,2020-09-02,23,9,1,4,TZ
49,2020-09-01,23,9,1,4,TZ
50,2020-08-31,23,10,0,4,TZ
51,2020-08-30,23,10,0,4,TZ
52,2020-08-29,23,10,0,4,TZ
53,2020-08-28,23,10,0,4,TZ
54,2020-08-27,23,10,0,4,TZ
55,2020-08-26,23,10,0,4,TZ
56,2020-08-25,23,10,0,4,TZ
57,2020-08-24,23,10,0,4,TZ
58,2020-08-23,23,9,1,4,TZ
59,2020-08-22,23,10,0,4,TZ
60,2020-08-21,23,10,0,4,TZ
61,2020-08-20,23,9,1,4,TZ
62,2020-08-19,23,10,0,4,TZ
63,2020-08-18,23,10,0,4,TZ
64,2020-08-17,23,10,0,4,TZ
65,2020-08-16,23,10,0,4,TZ
66,2020-08-15,23,10,0,4,TZ
67,2020-08-14,23,10,0,4,TZ
68,2020-08-13,23,10,0,4,TZ
69,2020-08-12,23,10,0,4,TZ
70,2020-08-11,23,10,0,4,TZ
71,2020-08-10,23,10,0,4,TZ
72,2020-08-09,23,9,1,4,TZ
73,2020-08-08,23,10,0,4,TZ
74,2020-08-07,23,10,0,4,TZ
75,2020-08-06,23,10,0,4,TZ
76,2020-08-05,23,10,0,4,TZ
77,2020-08-04,23,9,1,4,TZ
78,2020-08-03,23,10,0,4,TZ
79,2020-08-02,23,9,1,4,TZ
80,2020-08-01,23,9,1,4,TZ
81,2020-07-31,23,8,2,4,TZ
82,2020-07-30,23,8,2,4,TZ
83,2020-07-29,23,10,0,4,TZ
84,2020-07-28,23,10,0,4,TZ
85,2020-07-27,23,9,1,4,TZ
86,2020-07-26,23,10,0,4,TZ
87,2020-07-25,23,10,0,4,TZ
88,2020-07-24,23,10,0,4,TZ
89,2020-07-23,23,10,0,4,TZ
90,2020-07-22,23,10,0,4,TZ
91,2020-07-21,23,9,1,4,TZ
92,2020-07-20,23,10,0,4,TZ
93,2020-07-19,23,9,1,4,TZ
94,2020-07-18,23,9,1,4,TZ
95,2020-07-17,23,10,0,4,TZ
96,2020-07-16,23,9,1,4,TZ
