,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,30,3,4,2,UG
1,2020-10-19,30,3,4,2,UG
2,2020-10-18,30,3,4,2,UG
3,2020-10-17,30,3,4,2,UG
4,2020-10-16,30,3,4,2,UG
5,2020-10-15,30,3,4,2,UG
6,2020-10-14,30,3,4,2,UG
7,2020-10-13,30,3,4,2,UG
8,2020-10-12,30,3,4,2,UG
9,2020-10-11,30,3,4,2,UG
10,2020-10-10,30,3,4,2,UG
11,2020-10-09,30,3,4,2,UG
12,2020-10-08,30,3,4,2,UG
13,2020-10-07,30,3,4,2,UG
14,2020-10-06,30,3,4,2,UG
15,2020-10-05,30,3,4,2,UG
16,2020-10-04,30,3,4,2,UG
17,2020-10-03,30,3,4,2,UG
18,2020-10-02,30,4,3,2,UG
19,2020-10-01,30,4,3,2,UG
20,2020-09-30,30,4,3,2,UG
21,2020-09-29,30,4,3,2,UG
22,2020-09-28,30,4,3,2,UG
23,2020-09-27,30,4,3,2,UG
24,2020-09-26,30,4,3,2,UG
25,2020-09-25,30,4,3,2,UG
26,2020-09-24,30,4,3,2,UG
27,2020-09-23,30,4,3,2,UG
28,2020-09-22,30,4,3,2,UG
29,2020-09-21,30,4,3,2,UG
30,2020-09-20,30,4,3,2,UG
31,2020-09-19,30,4,3,2,UG
32,2020-09-18,30,3,4,2,UG
33,2020-09-17,30,2,5,2,UG
34,2020-09-16,30,3,4,2,UG
35,2020-09-15,30,3,4,2,UG
36,2020-09-14,30,3,4,2,UG
37,2020-09-13,30,4,3,2,UG
38,2020-09-12,30,4,3,2,UG
39,2020-09-11,30,3,4,2,UG
40,2020-09-10,30,4,3,2,UG
41,2020-09-09,30,4,3,2,UG
42,2020-09-08,30,4,3,2,UG
43,2020-09-07,30,4,3,2,UG
44,2020-09-06,30,3,4,2,UG
45,2020-09-05,30,3,4,2,UG
46,2020-09-04,30,4,3,2,UG
47,2020-09-03,30,4,3,2,UG
48,2020-09-02,30,3,4,2,UG
49,2020-09-01,30,4,3,2,UG
50,2020-08-31,30,4,3,2,UG
51,2020-08-30,30,3,4,2,UG
52,2020-08-29,30,4,3,2,UG
53,2020-08-28,30,4,3,2,UG
54,2020-08-27,30,7,0,2,UG
55,2020-08-26,30,7,0,2,UG
56,2020-08-25,30,7,0,2,UG
57,2020-08-24,30,7,0,2,UG
58,2020-08-23,30,6,1,2,UG
59,2020-08-22,30,6,1,2,UG
60,2020-08-21,30,6,1,2,UG
61,2020-08-20,30,6,1,2,UG
62,2020-08-19,30,6,1,2,UG
63,2020-08-18,30,7,0,2,UG
64,2020-08-17,30,7,0,2,UG
65,2020-08-16,30,7,0,2,UG
66,2020-08-15,30,7,0,2,UG
67,2020-08-14,30,7,0,2,UG
68,2020-08-13,30,7,0,2,UG
69,2020-08-12,30,7,0,2,UG
70,2020-08-11,30,7,0,2,UG
71,2020-08-10,30,7,0,2,UG
72,2020-08-09,30,7,0,2,UG
73,2020-08-08,30,7,0,2,UG
74,2020-08-07,30,7,0,2,UG
75,2020-08-06,30,7,0,2,UG
76,2020-08-05,30,7,0,2,UG
77,2020-08-04,30,7,0,2,UG
78,2020-08-03,30,7,0,2,UG
79,2020-08-02,30,6,1,2,UG
80,2020-08-01,30,7,0,2,UG
81,2020-07-31,30,7,0,2,UG
82,2020-07-30,30,7,0,2,UG
83,2020-07-29,30,7,0,2,UG
84,2020-07-28,30,7,0,2,UG
85,2020-07-27,30,7,0,2,UG
86,2020-07-26,30,7,0,2,UG
87,2020-07-25,30,7,0,2,UG
88,2020-07-24,30,7,0,2,UG
89,2020-07-23,30,7,0,2,UG
90,2020-07-22,30,7,0,2,UG
91,2020-07-21,30,7,0,2,UG
92,2020-07-20,30,6,1,2,UG
93,2020-07-19,30,7,0,2,UG
94,2020-07-18,30,7,0,2,UG
95,2020-07-17,30,7,0,2,UG
96,2020-07-16,30,7,0,2,UG
97,2020-07-15,30,7,0,2,UG
98,2020-07-14,30,7,0,2,UG
99,2020-07-13,30,6,1,2,UG
100,2020-07-12,30,7,0,2,UG
