,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,153,80,11,7,ZA
1,2020-10-19,153,80,11,7,ZA
2,2020-10-18,153,80,11,7,ZA
3,2020-10-17,153,80,11,7,ZA
4,2020-10-16,153,80,11,7,ZA
5,2020-10-15,153,80,11,7,ZA
6,2020-10-14,153,80,11,7,ZA
7,2020-10-13,152,77,15,7,ZA
8,2020-10-12,152,79,13,7,ZA
9,2020-10-11,152,80,12,7,ZA
10,2020-10-10,152,81,11,7,ZA
11,2020-10-09,152,80,12,7,ZA
12,2020-10-08,152,79,13,7,ZA
13,2020-10-07,152,78,14,7,ZA
14,2020-10-06,152,81,11,7,ZA
15,2020-10-05,152,79,13,7,ZA
16,2020-10-04,152,80,12,7,ZA
17,2020-10-03,152,77,15,7,ZA
18,2020-10-02,152,79,13,7,ZA
19,2020-10-01,152,77,15,7,ZA
20,2020-09-30,152,80,12,7,ZA
21,2020-09-29,153,79,12,7,ZA
22,2020-09-28,153,79,12,7,ZA
23,2020-09-27,152,79,13,7,ZA
24,2020-09-26,152,79,13,7,ZA
25,2020-09-25,152,79,13,7,ZA
26,2020-09-24,152,79,13,7,ZA
27,2020-09-23,152,79,13,7,ZA
28,2020-09-22,152,79,13,7,ZA
29,2020-09-21,151,79,14,7,ZA
30,2020-09-20,151,78,15,7,ZA
31,2020-09-19,151,78,15,7,ZA
32,2020-09-18,151,78,15,7,ZA
33,2020-09-17,151,77,16,7,ZA
34,2020-09-16,151,77,16,7,ZA
35,2020-09-15,151,76,17,7,ZA
36,2020-09-14,151,77,16,7,ZA
37,2020-09-13,151,79,14,7,ZA
38,2020-09-12,151,79,14,7,ZA
39,2020-09-11,151,81,12,7,ZA
40,2020-09-10,151,81,12,7,ZA
41,2020-09-09,151,81,12,7,ZA
42,2020-09-08,151,79,14,7,ZA
43,2020-09-07,151,80,13,7,ZA
44,2020-09-06,151,79,14,7,ZA
45,2020-09-05,151,82,11,7,ZA
46,2020-09-04,151,83,10,7,ZA
47,2020-09-03,151,83,10,7,ZA
48,2020-09-02,151,84,9,7,ZA
49,2020-09-01,151,83,10,7,ZA
50,2020-08-31,151,85,8,7,ZA
51,2020-08-30,151,85,8,7,ZA
52,2020-08-29,151,85,8,7,ZA
53,2020-08-28,151,84,9,7,ZA
54,2020-08-27,151,83,10,7,ZA
55,2020-08-26,150,85,9,7,ZA
56,2020-08-25,150,83,11,7,ZA
57,2020-08-24,150,86,8,7,ZA
58,2020-08-23,150,84,10,7,ZA
59,2020-08-22,150,86,8,7,ZA
60,2020-08-21,150,84,10,7,ZA
61,2020-08-20,150,81,13,7,ZA
62,2020-08-19,150,85,9,7,ZA
63,2020-08-18,150,86,8,7,ZA
64,2020-08-17,150,86,8,7,ZA
65,2020-08-16,150,86,8,7,ZA
66,2020-08-15,150,85,9,7,ZA
67,2020-08-14,150,85,9,7,ZA
68,2020-08-13,150,85,9,7,ZA
69,2020-08-12,150,85,9,7,ZA
70,2020-08-11,150,86,8,7,ZA
71,2020-08-10,150,86,8,7,ZA
72,2020-08-09,150,86,8,7,ZA
73,2020-08-08,150,85,8,7,ZA
74,2020-08-07,150,84,9,7,ZA
75,2020-08-06,150,83,10,7,ZA
76,2020-08-05,151,83,9,7,ZA
77,2020-08-04,151,83,9,7,ZA
78,2020-08-03,151,83,9,7,ZA
79,2020-08-02,152,81,10,7,ZA
80,2020-08-01,152,82,9,7,ZA
81,2020-07-31,152,82,9,7,ZA
82,2020-07-30,152,82,9,7,ZA
83,2020-07-29,152,82,9,7,ZA
84,2020-07-28,152,82,9,7,ZA
85,2020-07-27,152,82,9,7,ZA
86,2020-07-26,152,82,9,7,ZA
87,2020-07-25,152,81,10,7,ZA
88,2020-07-24,152,82,9,7,ZA
89,2020-07-23,152,82,9,7,ZA
90,2020-07-22,152,82,9,7,ZA
91,2020-07-21,152,80,11,7,ZA
92,2020-07-20,152,80,11,7,ZA
93,2020-07-19,152,81,10,7,ZA
94,2020-07-18,151,82,10,7,ZA
95,2020-07-17,151,82,10,7,ZA
96,2020-07-16,151,82,10,7,ZA
97,2020-07-15,151,78,14,7,ZA
98,2020-07-14,151,81,11,7,ZA
99,2020-07-13,151,82,10,7,ZA
100,2020-07-12,151,81,11,7,ZA
101,2020-07-11,151,85,7,7,ZA
102,2020-07-10,151,86,6,7,ZA
103,2020-07-09,151,84,8,7,ZA
104,2020-07-08,151,81,10,7,ZA
105,2020-07-07,151,83,8,7,ZA
106,2020-07-06,151,82,9,7,ZA
107,2020-07-05,151,83,8,7,ZA
108,2020-07-04,151,84,7,7,ZA
109,2020-07-03,151,83,8,7,ZA
110,2020-07-02,151,83,8,7,ZA
111,2020-07-01,151,82,9,7,ZA
112,2020-06-30,151,82,9,7,ZA
113,2020-06-29,151,81,10,7,ZA
114,2020-06-28,150,82,10,7,ZA
115,2020-06-27,151,82,9,7,ZA
116,2020-06-26,151,82,9,7,ZA
117,2020-06-25,151,81,10,7,ZA
118,2020-06-24,151,82,9,7,ZA
119,2020-06-23,150,82,10,7,ZA
120,2020-06-22,149,84,9,7,ZA
121,2020-06-21,148,85,9,7,ZA
122,2020-06-20,148,84,10,7,ZA
123,2020-06-19,148,82,12,7,ZA
124,2020-06-18,148,84,10,7,ZA
125,2020-06-17,148,84,10,7,ZA
126,2020-06-16,148,84,10,7,ZA
127,2020-06-15,148,84,10,7,ZA
128,2020-06-14,148,84,10,7,ZA
129,2020-06-13,148,85,9,7,ZA
130,2020-06-12,147,85,10,7,ZA
131,2020-06-11,147,85,10,7,ZA
132,2020-06-10,147,85,10,7,ZA
133,2020-06-09,147,84,11,7,ZA
134,2020-06-08,146,85,11,7,ZA
135,2020-06-07,147,84,11,7,ZA
136,2020-06-06,147,82,13,7,ZA
137,2020-06-05,147,81,14,7,ZA
138,2020-06-04,146,82,14,7,ZA
139,2020-06-03,146,83,13,7,ZA
140,2020-06-02,146,84,12,7,ZA
141,2020-06-01,147,83,12,7,ZA
142,2020-05-31,147,84,11,7,ZA
143,2020-05-30,146,83,13,7,ZA
144,2020-05-29,146,84,12,7,ZA
145,2020-05-28,146,84,12,7,ZA
146,2020-05-27,146,84,12,7,ZA
147,2020-05-26,146,86,10,7,ZA
148,2020-05-25,146,85,11,7,ZA
149,2020-05-24,145,86,11,7,ZA
150,2020-05-23,145,86,11,7,ZA
151,2020-05-22,144,86,12,7,ZA
152,2020-05-21,144,86,12,7,ZA
153,2020-05-20,144,86,12,7,ZA
