,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,9,2,0,1,ZM
1,2020-10-19,9,2,0,1,ZM
2,2020-10-18,9,2,0,1,ZM
3,2020-10-17,9,2,0,1,ZM
4,2020-10-16,9,2,0,1,ZM
5,2020-10-15,9,2,0,1,ZM
6,2020-10-14,9,2,0,1,ZM
7,2020-10-13,9,2,0,1,ZM
8,2020-10-12,9,2,0,1,ZM
9,2020-10-11,9,2,0,1,ZM
10,2020-10-10,9,2,0,1,ZM
11,2020-10-09,9,2,0,1,ZM
12,2020-10-08,9,2,0,1,ZM
13,2020-10-07,9,2,0,1,ZM
14,2020-10-06,9,2,0,1,ZM
15,2020-10-05,9,2,0,1,ZM
16,2020-10-04,9,2,0,1,ZM
17,2020-10-03,9,2,0,1,ZM
18,2020-10-02,9,1,1,1,ZM
19,2020-10-01,9,2,0,1,ZM
20,2020-09-30,9,2,0,1,ZM
21,2020-09-29,9,2,0,1,ZM
22,2020-09-28,9,2,0,1,ZM
23,2020-09-27,9,2,0,1,ZM
24,2020-09-26,9,2,0,1,ZM
25,2020-09-25,9,2,0,1,ZM
26,2020-09-24,9,2,0,1,ZM
27,2020-09-23,9,2,0,1,ZM
28,2020-09-22,9,2,0,1,ZM
29,2020-09-21,9,2,0,1,ZM
30,2020-09-20,9,2,0,1,ZM
31,2020-09-19,9,2,0,1,ZM
32,2020-09-18,9,2,0,1,ZM
33,2020-09-17,9,2,0,1,ZM
34,2020-09-16,9,2,0,1,ZM
35,2020-09-15,9,2,0,1,ZM
36,2020-09-14,9,2,0,1,ZM
37,2020-09-13,9,2,0,1,ZM
38,2020-09-12,9,2,0,1,ZM
39,2020-09-11,9,2,0,1,ZM
40,2020-09-10,9,2,0,1,ZM
41,2020-09-09,9,2,0,1,ZM
42,2020-09-08,9,2,0,1,ZM
43,2020-09-07,9,2,0,1,ZM
44,2020-09-06,9,2,0,1,ZM
45,2020-09-05,9,2,0,1,ZM
46,2020-09-04,9,2,0,1,ZM
47,2020-09-03,9,2,0,1,ZM
48,2020-09-02,9,2,0,1,ZM
49,2020-09-01,9,2,0,1,ZM
50,2020-08-31,9,2,0,1,ZM
51,2020-08-30,9,2,0,1,ZM
52,2020-08-29,9,2,0,1,ZM
53,2020-08-28,9,2,0,1,ZM
54,2020-08-27,9,2,0,1,ZM
55,2020-08-26,9,2,0,1,ZM
56,2020-08-25,9,2,0,1,ZM
57,2020-08-24,9,2,0,1,ZM
58,2020-08-23,9,2,0,1,ZM
59,2020-08-22,9,2,0,1,ZM
60,2020-08-21,9,2,0,1,ZM
61,2020-08-20,9,2,0,1,ZM
62,2020-08-19,9,2,0,1,ZM
63,2020-08-18,9,2,0,1,ZM
64,2020-08-17,9,2,0,1,ZM
65,2020-08-16,9,2,0,1,ZM
66,2020-08-15,9,2,0,1,ZM
67,2020-08-14,9,2,0,1,ZM
68,2020-08-13,9,2,0,1,ZM
69,2020-08-12,9,2,0,1,ZM
70,2020-08-11,9,2,0,1,ZM
71,2020-08-10,9,2,0,1,ZM
72,2020-08-09,9,2,0,1,ZM
73,2020-08-08,9,2,0,1,ZM
74,2020-08-07,9,2,0,1,ZM
75,2020-08-06,9,2,0,1,ZM
76,2020-08-05,9,2,0,1,ZM
77,2020-08-04,9,2,0,1,ZM
78,2020-08-03,9,2,0,1,ZM
79,2020-08-02,9,2,0,1,ZM
80,2020-08-01,9,2,0,1,ZM
81,2020-07-31,9,2,0,1,ZM
82,2020-07-30,9,2,0,1,ZM
83,2020-07-29,9,2,0,1,ZM
84,2020-07-28,9,2,0,1,ZM
85,2020-07-27,9,2,0,1,ZM
86,2020-07-26,9,2,0,1,ZM
87,2020-07-25,9,2,0,1,ZM
88,2020-07-24,9,2,0,1,ZM
89,2020-07-23,9,2,0,1,ZM
90,2020-07-22,9,2,0,1,ZM
91,2020-07-21,9,2,0,1,ZM
92,2020-07-20,9,2,0,1,ZM
93,2020-07-19,9,1,1,1,ZM
94,2020-07-18,9,1,1,1,ZM
95,2020-07-17,9,1,1,1,ZM
96,2020-07-16,9,1,1,1,ZM
97,2020-07-15,9,1,1,1,ZM
98,2020-07-14,9,1,1,1,ZM
99,2020-07-13,9,1,1,1,ZM
100,2020-07-12,9,1,1,1,ZM
101,2020-07-11,9,1,1,1,ZM
102,2020-07-10,9,1,1,1,ZM
103,2020-07-09,9,1,1,1,ZM
104,2020-07-08,9,1,1,1,ZM
105,2020-07-07,9,1,1,1,ZM
106,2020-07-06,9,1,1,1,ZM
107,2020-07-05,9,1,1,1,ZM
108,2020-07-04,9,1,1,1,ZM
109,2020-07-03,9,1,1,1,ZM
110,2020-07-02,9,1,1,1,ZM
111,2020-07-01,9,1,1,1,ZM
112,2020-06-30,9,1,1,1,ZM
113,2020-06-29,9,2,0,1,ZM
114,2020-06-28,9,2,0,1,ZM
115,2020-06-27,9,2,0,1,ZM
116,2020-06-26,9,2,0,1,ZM
117,2020-06-25,9,2,0,1,ZM
118,2020-06-24,9,2,0,1,ZM
119,2020-06-23,9,2,0,1,ZM
120,2020-06-22,9,2,0,1,ZM
121,2020-06-21,9,2,0,1,ZM
122,2020-06-20,9,2,0,1,ZM
123,2020-06-19,9,2,0,1,ZM
124,2020-06-18,9,2,0,1,ZM
125,2020-06-17,9,2,0,1,ZM
126,2020-06-16,9,2,0,1,ZM
127,2020-06-15,9,1,1,1,ZM
128,2020-06-14,9,2,0,1,ZM
129,2020-06-13,9,2,0,1,ZM
130,2020-06-12,9,2,0,1,ZM
131,2020-06-11,9,2,0,1,ZM
132,2020-06-10,9,2,0,1,ZM
133,2020-06-09,9,2,0,1,ZM
134,2020-06-08,9,2,0,1,ZM
135,2020-06-07,9,2,0,1,ZM
136,2020-06-06,9,2,0,1,ZM
137,2020-06-05,9,2,0,1,ZM
138,2020-06-04,9,2,0,1,ZM
139,2020-06-03,9,2,0,1,ZM
140,2020-06-02,9,2,0,1,ZM
141,2020-06-01,9,2,0,1,ZM
142,2020-05-31,9,2,0,1,ZM
143,2020-05-30,9,2,0,1,ZM
144,2020-05-29,9,2,0,1,ZM
145,2020-05-28,9,2,0,1,ZM
146,2020-05-27,9,2,0,1,ZM
147,2020-05-26,9,2,0,1,ZM
148,2020-05-25,9,2,0,1,ZM
149,2020-05-24,9,2,0,1,ZM
150,2020-05-23,9,2,0,1,ZM
151,2020-05-22,9,2,0,1,ZM
152,2020-05-21,9,2,0,1,ZM
153,2020-05-20,9,2,0,1,ZM
154,2020-05-19,9,2,0,1,ZM
155,2020-05-18,9,2,0,1,ZM
156,2020-05-17,9,2,0,1,ZM
157,2020-05-16,9,2,0,1,ZM
158,2020-05-15,9,2,0,1,ZM
159,2020-05-14,9,2,0,1,ZM
160,2020-05-13,9,2,0,1,ZM
161,2020-05-12,9,2,0,1,ZM
162,2020-05-11,9,2,0,1,ZM
163,2020-05-10,9,2,0,1,ZM
164,2020-05-09,9,2,0,1,ZM
165,2020-05-08,9,2,0,1,ZM
166,2020-05-07,9,2,0,1,ZM
167,2020-05-06,9,2,0,1,ZM
168,2020-05-05,9,2,0,1,ZM
169,2020-05-03,10,1,0,1,ZM
170,2020-05-02,10,1,0,1,ZM
171,2020-05-01,10,1,0,1,ZM
172,2020-04-30,10,1,0,1,ZM
173,2020-04-29,10,1,0,1,ZM
174,2020-04-28,10,1,0,1,ZM
175,2020-04-27,10,1,0,1,ZM
176,2020-04-26,10,1,0,1,ZM
177,2020-04-25,10,1,0,1,ZM
178,2020-04-24,10,1,0,1,ZM
179,2020-04-23,10,1,0,1,ZM
180,2020-04-22,10,1,0,1,ZM
181,2020-04-21,10,1,0,1,ZM
182,2020-04-20,10,1,0,1,ZM
183,2020-04-19,10,1,0,1,ZM
184,2020-04-18,10,1,0,1,ZM
185,2020-04-17,10,1,0,1,ZM
186,2020-04-16,10,1,0,1,ZM
187,2020-04-15,10,1,0,1,ZM
188,2020-04-14,10,1,0,1,ZM
189,2020-04-13,10,1,0,1,ZM
190,2020-04-12,10,1,0,1,ZM
191,2020-04-11,10,1,0,1,ZM
192,2020-04-10,10,1,0,1,ZM
193,2020-04-09,10,1,0,1,ZM
194,2020-04-08,10,1,0,1,ZM
195,2020-04-07,10,1,0,1,ZM
196,2020-04-06,10,1,0,1,ZM
197,2020-04-05,10,1,0,1,ZM
198,2020-04-04,10,1,0,1,ZM
199,2020-04-03,10,1,0,1,ZM
200,2020-04-02,10,1,0,1,ZM
201,2020-04-01,10,1,0,1,ZM
202,2020-03-31,10,1,0,1,ZM
203,2020-03-30,10,1,0,1,ZM
204,2020-03-29,10,1,0,1,ZM
205,2020-03-28,10,1,0,1,ZM
206,2020-03-27,10,1,0,1,ZM
207,2020-03-26,10,1,0,1,ZM
208,2020-03-25,10,1,0,1,ZM
209,2020-03-24,10,1,0,1,ZM
210,2020-03-23,9,1,1,1,ZM
211,2020-03-22,9,1,1,1,ZM
212,2020-03-21,9,1,1,1,ZM
213,2020-03-20,9,1,1,1,ZM
214,2020-03-19,9,1,1,1,ZM
215,2020-03-18,9,1,1,1,ZM
216,2020-03-17,9,1,1,1,ZM
217,2020-03-16,9,1,1,1,ZM
218,2020-03-15,9,1,1,1,ZM
219,2020-03-14,9,1,1,1,ZM
220,2020-03-13,9,1,1,1,ZM
221,2020-03-12,9,1,1,1,ZM
222,2020-03-11,9,1,1,1,ZM
223,2020-03-10,9,1,1,1,ZM
224,2020-03-09,9,1,1,1,ZM
225,2020-03-08,9,1,1,1,ZM
226,2020-03-07,9,1,1,1,ZM
227,2020-03-06,9,1,1,1,ZM
228,2020-03-05,9,1,1,1,ZM
229,2020-03-04,9,1,1,1,ZM
230,2020-03-03,9,1,1,1,ZM
231,2020-03-02,9,1,1,1,ZM
232,2020-03-01,9,1,1,1,ZM
233,2020-02-29,9,1,1,1,ZM
234,2020-02-28,9,1,1,1,ZM
235,2020-02-27,9,1,1,1,ZM
236,2020-02-26,9,1,1,1,ZM
237,2020-02-25,9,1,1,1,ZM
238,2020-02-24,9,1,1,1,ZM
239,2020-02-23,9,1,1,1,ZM
240,2020-02-22,9,1,1,1,ZM
241,2020-02-21,9,1,1,1,ZM
242,2020-02-20,9,1,1,1,ZM
243,2020-02-19,9,1,1,1,ZM
244,2020-02-18,9,1,1,1,ZM
245,2020-02-17,9,1,1,1,ZM
246,2020-02-16,9,1,1,1,ZM
247,2020-02-15,9,1,1,1,ZM
248,2020-02-14,9,1,1,1,ZM
249,2020-02-12,9,1,1,1,ZM
250,2020-02-11,9,1,1,1,ZM
251,2020-02-10,9,1,1,1,ZM
252,2020-02-06,9,1,1,1,ZM
253,2020-02-05,9,1,1,1,ZM
254,2020-02-04,9,1,1,1,ZM
255,2020-02-03,9,1,1,1,ZM
256,2020-02-01,9,1,1,1,ZM
257,2020-01-31,9,1,1,1,ZM
258,2020-01-30,9,1,1,1,ZM
259,2020-01-29,9,1,1,1,ZM
260,2020-01-28,9,1,1,1,ZM
261,2020-01-27,9,1,1,1,ZM
262,2020-01-23,9,1,1,1,ZM
263,2020-01-22,9,1,1,1,ZM
264,2020-01-21,9,1,1,1,ZM
265,2020-01-20,9,1,1,1,ZM
266,2020-01-19,9,0,2,1,ZM
267,2020-01-18,9,1,1,1,ZM
268,2020-01-17,9,1,1,1,ZM
269,2020-01-16,9,1,1,1,ZM
270,2020-01-15,9,1,1,1,ZM
271,2020-01-14,9,1,1,1,ZM
272,2020-01-13,9,1,1,1,ZM
273,2020-01-12,9,1,1,1,ZM
274,2020-01-11,9,1,1,1,ZM
275,2020-01-10,9,1,1,1,ZM
276,2020-01-09,9,1,1,1,ZM
277,2020-01-08,9,1,1,1,ZM
278,2020-01-07,9,1,1,1,ZM
279,2020-01-06,9,1,1,1,ZM
280,2020-01-05,9,1,1,1,ZM
281,2020-01-04,9,1,1,1,ZM
282,2020-01-03,9,1,1,1,ZM
283,2020-01-02,9,1,1,1,ZM
284,2020-01-01,9,1,1,1,ZM
285,2019-12-31,9,1,1,1,ZM
286,2019-12-30,9,1,1,1,ZM
287,2019-12-29,9,1,1,1,ZM
288,2019-12-28,9,1,1,1,ZM
289,2019-12-27,9,1,1,1,ZM
290,2019-12-26,9,1,1,1,ZM
291,2019-12-25,9,1,1,1,ZM
292,2019-12-24,9,1,1,1,ZM
293,2019-12-23,9,2,0,1,ZM
