,date,statuses.abandoned,statuses.connected,statuses.disconnected,statuses.neverseen,cc
0,2020-10-20,17,1,1,5,ZW
1,2020-10-19,17,1,1,5,ZW
2,2020-10-18,17,1,1,5,ZW
3,2020-10-17,17,1,1,5,ZW
4,2020-10-16,17,1,1,5,ZW
5,2020-10-15,17,1,1,5,ZW
6,2020-10-14,17,1,1,5,ZW
7,2020-10-13,17,1,1,5,ZW
8,2020-10-12,17,1,1,5,ZW
9,2020-10-11,17,1,1,5,ZW
10,2020-10-10,17,1,1,5,ZW
11,2020-10-09,17,0,2,5,ZW
12,2020-10-08,17,0,2,5,ZW
13,2020-10-07,17,0,2,5,ZW
14,2020-10-06,17,0,2,5,ZW
15,2020-10-05,17,0,2,5,ZW
16,2020-10-04,17,0,2,5,ZW
17,2020-10-03,17,0,2,5,ZW
18,2020-10-02,17,0,2,5,ZW
19,2020-10-01,17,0,2,5,ZW
20,2020-09-30,17,0,2,5,ZW
21,2020-09-29,17,0,2,5,ZW
22,2020-09-28,17,0,2,5,ZW
23,2020-09-27,17,0,2,5,ZW
24,2020-09-26,17,0,2,5,ZW
25,2020-09-25,17,0,2,5,ZW
26,2020-09-24,17,0,2,5,ZW
27,2020-09-23,17,0,2,5,ZW
28,2020-09-22,17,0,2,5,ZW
29,2020-09-21,18,0,1,5,ZW
30,2020-09-20,18,0,1,5,ZW
31,2020-09-19,18,0,1,5,ZW
32,2020-09-18,18,0,1,5,ZW
33,2020-09-17,18,0,1,5,ZW
34,2020-09-16,18,0,1,5,ZW
35,2020-09-15,18,0,1,5,ZW
36,2020-09-14,18,0,1,5,ZW
37,2020-09-13,18,0,1,5,ZW
38,2020-09-12,18,0,1,5,ZW
39,2020-09-11,18,0,1,5,ZW
40,2020-09-10,18,0,1,5,ZW
41,2020-09-09,18,0,1,5,ZW
42,2020-09-08,18,0,1,5,ZW
43,2020-09-07,18,0,1,5,ZW
44,2020-09-06,18,0,1,5,ZW
45,2020-09-05,18,0,1,5,ZW
46,2020-09-04,18,0,1,5,ZW
47,2020-09-03,18,0,1,5,ZW
48,2020-09-02,18,0,1,5,ZW
49,2020-09-01,18,0,1,5,ZW
50,2020-08-31,18,0,1,5,ZW
51,2020-08-30,18,0,1,5,ZW
52,2020-08-29,18,0,1,5,ZW
53,2020-08-28,18,0,1,5,ZW
54,2020-08-27,18,0,1,5,ZW
55,2020-08-26,18,0,1,5,ZW
56,2020-08-25,18,0,1,5,ZW
57,2020-08-24,18,0,1,5,ZW
58,2020-08-23,18,0,1,5,ZW
59,2020-08-22,18,0,1,5,ZW
60,2020-08-21,18,0,1,5,ZW
61,2020-08-20,18,0,1,5,ZW
62,2020-08-19,18,0,1,5,ZW
63,2020-08-18,18,0,1,5,ZW
64,2020-08-17,18,0,1,5,ZW
65,2020-08-16,18,1,0,5,ZW
66,2020-08-15,18,1,0,5,ZW
67,2020-08-14,18,0,1,5,ZW
68,2020-08-13,18,1,0,5,ZW
69,2020-08-12,18,1,0,5,ZW
70,2020-08-11,17,1,1,5,ZW
71,2020-08-10,17,1,1,5,ZW
72,2020-08-09,17,0,2,5,ZW
