Unnamed: 0,address_v4,address_v6,asn_v4,asn_v6,cc,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type
0,,,,,KE,KE,1329315014.0,256.0,False,False,1375264491.0,-1.2795,36.8195,,,3.0,Abandoned,1375264491.0,"['home', 'nat', 'system-v1', 'system-firewall-problem-suspected', 'system-ipv4-rfc1918']",34500465.0,Probe
1,,,,,KE,KE,1292461636.0,469.0,False,False,1329638942.0,-1.2785,36.8205,,,3.0,Abandoned,1329638942.0,"['office', 'no-nat', 'system-v1']",11627734.0,Probe
2,197.156.190.150,,12455.0,,KE,KE,1375454984.0,4078.0,False,True,1603305188.0,-1.1985,36.6405,197.156.128.0/18,,1.0,Connected,1603303632.0,"['system-v2', 'system-ipv4-capable', 'probe-v2', 'nat', 'lte', 'mobile', '4g', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-rfc1918']",175903379.0,Probe
3,196.6.220.130,2001:43f8:7b0:70::2,37578.0,37578.0,KE,KE,1478856045.0,6233.0,True,True,1603305188.0,-1.2915,36.8185,196.6.220.0/24,2001:43f8:7b0::/48,1.0,Connected,1602606542.0,"['system-anchor', 'system-ipv4-capable', 'system-ipv6-capable', 'system-v2-soekris', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d']",121591118.0,Probe
4,,,,,KE,KE,,11183.0,False,True,,-0.4015,36.9615,,,0.0,Never Connected,,['system-v3'],0.0,Probe
5,,,,,KE,KE,1399215605.0,11248.0,False,True,1406380898.0,-1.2885,36.8195,,,3.0,Abandoned,1406380898.0,"['cable', 'system-v3', 'system-ipv4-rfc1918']",6474028.0,Probe
6,80.240.194.133,,30844.0,,KE,KE,1375264508.0,11333.0,False,True,1461103370.0,-1.2915,36.8185,80.240.192.0/20,,3.0,Abandoned,1461103370.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",57689822.0,Probe
7,,,,,KE,KE,,11514.0,False,True,,-3.8505,38.7475,,,0.0,Never Connected,,['system-v3'],0.0,Probe
8,,,,,KE,KE,,11771.0,False,True,,-0.0225,37.9105,,,0.0,Never Connected,,['system-v3'],0.0,Probe
9,,,327740.0,,KE,KE,1396598736.0,12914.0,False,False,1436965615.0,-4.0605,39.6775,196.13.191.0/24,,3.0,Abandoned,1436965615.0,"['datacentre', 'ixp', 'nat', 'system-v3', 'system-ipv4-capable']",40268620.0,Probe
10,197.136.2.18,2c0f:fe08:12:2:a2f3:c1ff:fec4:5d8f,36914.0,36914.0,KE,KE,1401435069.0,13100.0,False,True,1603305188.0,-0.1125,34.7475,197.136.2.0/24,2c0f:fe08::/32,1.0,Connected,1603090511.0,"['system-ipv4-stable-30d', 'system-v3', 'system-ipv6-works', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-stable-90d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d']",173273568.0,Probe
11,41.89.1.251,,36914.0,,KE,KE,1401356589.0,13114.0,False,True,1584183674.0,-1.2205,36.8775,41.89.1.0/24,,3.0,Abandoned,1584183674.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",181441706.0,Probe
12,154.70.17.85,,15399.0,,KE,KE,1386654764.0,13121.0,False,True,1564264267.0,-1.2825,36.8185,154.70.16.0/20,,3.0,Abandoned,1564264267.0,"['home', 'nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",145064540.0,Probe
13,41.204.160.27,2c0f:fe08:10:2:a2f3:c1ff:fec4:5a84,36914.0,36914.0,KE,KE,1401358041.0,13218.0,False,True,1570015910.0,-1.2785,36.8175,41.204.160.0/24,2c0f:fe08::/32,3.0,Abandoned,1570015910.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-flash-drive-filesystem-corrupted']",165421899.0,Probe
14,,,15399.0,,KE,KE,1387548554.0,13299.0,False,False,1603305188.0,-1.2885,36.8215,196.207.166.0/23,,1.0,Connected,1602981888.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",203194630.0,Probe
15,105.16.112.6,2c0f:feb0:2:1::9,37100.0,37100.0,KE,KE,1391677366.0,13705.0,False,True,1603305188.0,-4.0805,39.6575,105.16.0.0/12,2c0f:feb0::/32,1.0,Connected,1602630165.0,"['system-ipv4-stable-30d', 'no-nat', 'system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv6-works', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-stable-30d', 'system-ipv4-stable-90d', 'system-ipv6-stable-90d', 'system-ipv6-stable-1d', 'system-ipv4-stable-1d']",210029904.0,Probe
16,41.206.63.94,,15808.0,,KE,KE,1390212690.0,13769.0,False,True,1584224404.0,-4.0385,39.6705,41.206.32.0/19,,3.0,Abandoned,1584224404.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",173993991.0,Probe
17,212.22.174.222,,12556.0,,KE,KE,1390213199.0,13771.0,False,True,1603305188.0,-1.2925,36.8205,212.22.160.0/19,,1.0,Connected,1602879129.0,"['no-nat', 'system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d']",208005939.0,Probe
18,212.22.174.2,,12556.0,,KE,KE,1390214612.0,13779.0,False,True,1603305188.0,-1.2885,36.8205,212.22.160.0/19,,1.0,Connected,1602839206.0,"['system-ipv4-stable-30d', 'no-nat', 'system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d']",212051341.0,Probe
19,63.223.1.106,,3491.0,,KE,KE,1425898430.0,14940.0,False,True,1458335017.0,-1.3025,36.8195,63.216.0.0/13,,3.0,Abandoned,1458335017.0,"['core', 'no-nat', 'system-v3', 'system-ipv4-capable']",29235101.0,Probe
20,63.223.11.42,,3491.0,,KE,KE,1427120857.0,14950.0,False,True,1598923542.0,-1.3325,36.8695,63.223.11.0/24,,2.0,Disconnected,1598923542.0,"['core', 'no-nat', 'system-v3', 'system-ipv4-capable']",166059701.0,Probe
21,41.212.56.22,,15399.0,,KE,KE,1404885238.0,15304.0,False,True,1594187377.0,-1.3205,36.8475,41.212.56.0/24,,3.0,Abandoned,1594187377.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",37316907.0,Probe
22,154.66.240.118,,37662.0,,KE,KE,1402318726.0,15309.0,False,True,1490284934.0,-1.2885,36.8175,154.66.240.0/24,,3.0,Abandoned,1490284934.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-trying-to-connect', 'system-no-flash-drive']",74416599.0,Probe
23,102.135.170.118,2001:4368:6:0:6666:b3ff:fec5:6e8,328331.0,9129.0,KE,KE,1406026453.0,15394.0,False,True,1465116279.0,-4.0605,39.6615,102.135.170.0/24,2001:4368::/32,3.0,Abandoned,1465116279.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-flash-drive-filesystem-corrupted']",58404791.0,Probe
24,197.232.96.34,,36866.0,,KE,KE,1587923326.0,15398.0,False,True,1600603339.0,-1.2885,36.8215,197.232.0.0/16,,2.0,Disconnected,1600603339.0,"['system-ipv4-capable', 'system-v3']",11344849.0,Probe
25,,,,,KE,KE,,16457.0,False,True,,-1.2095,36.6595,,,0.0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0.0,Probe
26,41.80.138.54,,33771.0,,KE,KE,1418882336.0,18738.0,False,True,1559916663.0,-1.2285,36.7385,41.80.128.0/19,,3.0,Abandoned,1559916663.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'probe-v3']",3474108.0,Probe
27,,,12455.0,,KE,KE,1448261186.0,19126.0,False,False,1483190766.0,-0.6095,36.5685,212.49.64.0/19,,3.0,Abandoned,1483190766.0,"['dsl', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",33723339.0,Probe
28,193.0.21.203,2001:67c:2e8:110:ea94:f6ff:fe48:57e8,3333.0,3333.0,KE,KE,1454498851.0,19549.0,False,True,1561470156.0,0.5115,35.2795,193.0.20.0/23,2001:67c:2e8::/48,3.0,Abandoned,1561470156.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable']",47474034.0,Probe
29,160.119.216.205,2001:43f8:d60:300:ea94:f6ff:fee3:7120,328162.0,328162.0,KE,KE,1440935978.0,22215.0,False,True,1603305188.0,-4.0105,39.5875,160.119.216.0/24,2001:43f8:d60::/48,1.0,Connected,1603019603.0,"['datacentre', 'no-nat', 'native-ipv6', 'ipv4', 'ipv6', 'system-v3', 'native-ipv4', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-stable-90d', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv6-stable-1d', 'system-ipv4-stable-1d']",145877618.0,Probe
30,154.70.48.51,,15399.0,,KE,KE,1481645117.0,22218.0,False,True,1603305188.0,-1.2885,36.7875,154.70.48.0/20,,1.0,Connected,1603268431.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d']",64174920.0,Probe
31,,,,,KE,KE,,22419.0,False,True,,-1.3285,36.8675,,,0.0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0.0,Probe
32,197.248.222.242,,37061.0,,KE,KE,1445949962.0,23459.0,False,True,1603305188.0,-1.2985,36.7895,197.248.0.0/16,,1.0,Connected,1603254054.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",116795082.0,Probe
33,41.90.40.134,,33771.0,,KE,KE,1433100177.0,23594.0,False,True,1512454222.0,-1.3905,36.7615,41.90.32.0/19,,3.0,Abandoned,1512454222.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",16918450.0,Probe
34,197.237.112.49,,15399.0,,KE,KE,1443981591.0,24380.0,False,True,1457282274.0,-1.2625,36.8215,197.237.112.0/24,,3.0,Abandoned,1457282274.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",12190432.0,Probe
35,193.0.21.140,,3333.0,,KE,KE,1449069531.0,24402.0,False,True,1574422714.0,-4.0415,39.6675,193.0.20.0/23,,3.0,Abandoned,1574422714.0,"['system-v3', 'system-ipv4-capable']",35501159.0,Probe
36,41.79.8.130,,37305.0,,KE,KE,,24755.0,False,True,,-1.3305,36.8995,41.79.8.0/22,,3.0,Abandoned,1493705220.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",603.0,Probe
37,,,,,KE,KE,,24756.0,False,True,,-1.2695,36.8095,,,0.0,Never Connected,,"['system-v3', 'system-firewall-problem-suspected']",0.0,Probe
38,,,,,KE,KE,,24759.0,False,True,,-4.0585,39.6695,,,0.0,Never Connected,,['system-v3'],0.0,Probe
39,196.200.40.138,,15399.0,,KE,KE,1448604076.0,25132.0,False,True,1564636271.0,-4.0415,39.6685,196.200.40.0/24,,3.0,Abandoned,1564636271.0,"['fibre', 'datacentre', 'isp', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'noc', 'system-flash-drive-filesystem-corrupted']",18456853.0,Probe
40,105.16.120.2,2c0f:feb0:3:1::2,37100.0,37100.0,KE,KE,1448886201.0,25210.0,False,True,1603305188.0,-1.2925,36.8175,105.16.0.0/12,2c0f:feb0::/32,1.0,Connected,1602630150.0,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv6-works', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-ipv6-stable-1d']",139663057.0,Probe
41,197.232.26.4,,36866.0,,KE,KE,1461041128.0,27313.0,False,True,1484991756.0,-1.3015,36.7875,197.232.0.0/16,,3.0,Abandoned,1484991756.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",16104878.0,Probe
42,,,30844.0,36948.0,KE,KE,1446122143.0,27439.0,False,False,1539938187.0,-1.2885,36.8185,197.155.64.0/19,2001:43f8:10::/48,3.0,Abandoned,1539938187.0,"['system-bad-firmware-signature', 'system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-trying-to-connect', 'ipv4', 'fibre', 'ipv6']",48061028.0,Probe
43,41.89.65.62,,36914.0,,KE,KE,1434639607.0,27446.0,False,True,1434955178.0,-1.2695,36.7995,41.89.64.0/19,,3.0,Abandoned,1434955178.0,"['system-v3', 'system-ipv4-capable']",434577.0,Probe
44,,,,,KE,KE,,27559.0,False,False,,-1.2885,36.8195,,,0.0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0.0,Probe
45,197.136.38.2,,36914.0,,KE,KE,1469110845.0,28246.0,False,True,1498376096.0,-1.2895,36.8195,197.136.0.0/14,,3.0,Abandoned,1498376096.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",28889051.0,Probe
46,41.89.162.2,,36914.0,,KE,KE,1464073416.0,28437.0,False,True,1476271734.0,0.2605,35.0885,41.89.160.0/19,,3.0,Abandoned,1476271734.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",11455352.0,Probe
47,196.43.220.60,,37346.0,,KE,KE,1466585137.0,28530.0,False,True,1530973431.0,-1.2925,36.8185,196.43.220.0/24,,3.0,Abandoned,1530973431.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",8863810.0,Probe
48,197.136.137.5,2001:67c:2e8:ffe2:a62b:b0ff:fedf:ebca,36914.0,3333.0,KE,KE,1474623332.0,29071.0,False,True,1474624868.0,-1.5225,37.2705,197.136.0.0/14,2001:67c:2e8::/48,3.0,Abandoned,1474624868.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",8458.0,Probe
49,41.89.162.2,,36914.0,,KE,KE,1483433903.0,29088.0,False,True,1492151613.0,0.5215,35.2715,41.89.160.0/19,,3.0,Abandoned,1492151613.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",7947264.0,Probe
50,,,36866.0,,KE,KE,1489168914.0,29158.0,False,False,1603305188.0,-1.2885,36.8195,197.232.0.0/16,,1.0,Connected,1603283557.0,"['system-ipv4-stable-30d', 'system-v3', 'system-ipv4-capable', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d', 'system-ipv4-rfc1918']",97472878.0,Probe
51,41.204.180.154,,36914.0,,KE,KE,1568619085.0,29344.0,False,True,1577241512.0,-0.3005,36.0795,41.204.176.0/21,,3.0,Abandoned,1577241512.0,"['system-v3', 'system-ipv4-capable']",8227047.0,Probe
52,41.204.180.158,,36914.0,,KE,KE,1568621790.0,29729.0,False,True,1570517417.0,0.0515,37.6485,41.204.176.0/21,,3.0,Abandoned,1570517417.0,"['system-v3', 'system-ipv4-capable', 'system-dns-problem-suspected']",1473203.0,Probe
53,197.237.184.118,,15399.0,,KE,KE,1488175204.0,30346.0,False,True,1557236851.0,-1.2895,36.7895,197.237.184.0/22,,3.0,Abandoned,1557236851.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",30646711.0,Probe
54,154.70.17.85,,15399.0,,KE,KE,1527164266.0,32144.0,False,True,1602589534.0,-1.3305,36.8695,154.70.16.0/20,,2.0,Disconnected,1602589534.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",1321229.0,Probe
55,,,15399.0,,KE,KE,1496916249.0,33238.0,False,False,1498463390.0,-1.2885,36.8185,197.237.219.0/24,,3.0,Abandoned,1498463390.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",1443.0,Probe
56,41.80.5.182,,33771.0,,KE,KE,1566705857.0,33614.0,False,True,1603305188.0,-1.2905,36.8175,41.80.0.0/20,,1.0,Connected,1603294479.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",11927911.0,Probe
57,,,36866.0,,KE,KE,1508926477.0,33741.0,False,False,1508929046.0,0.9975,37.9995,197.232.0.0/16,,3.0,Abandoned,1508929046.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",6249.0,Probe
58,41.204.180.14,,36914.0,,KE,KE,1562232615.0,33751.0,False,True,1603305188.0,0.5075,35.2695,41.204.180.0/22,,1.0,Connected,1603090740.0,"['system-ipv4-stable-90d', 'system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d']",39592860.0,Probe
59,41.204.180.10,,36914.0,,KE,KE,1562241211.0,33752.0,False,True,1603305188.0,-4.0415,39.6695,41.204.180.0/22,,1.0,Connected,1603090653.0,"['system-ipv4-stable-90d', 'system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d']",37906079.0,Probe
60,41.242.3.162,,37684.0,,KE,KE,1527164080.0,33965.0,False,True,1603305188.0,-1.2905,36.7905,41.242.3.0/24,,1.0,Connected,1603120738.0,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-rfc1918']",74460137.0,Probe
61,41.60.237.186,,30844.0,,KE,KE,1526304503.0,50022.0,False,True,1603305188.0,-1.2015,36.6385,41.60.232.0/21,,1.0,Connected,1602988272.0,"['system-ipv4-capable', 'system-ipv4-rfc1918', 'system-v4', 'pilot-probe-v4', 'home', 'nat', 'ftth', 'fibre', 'ipv4', 'system-ipv4-works', 'system-resolver-mangles-case']",25115587.0,Probe
0,64.86.99.13,,6453.0,,GQ,GQ,1405512956.0,17880.0,False,True,1504577344.0,1.5975,10.8315,64.86.0.0/16,,3.0,Abandoned,1504577344.0,"['system-ipv4-capable', 'system-v3', 'system-ipv4-rfc1918']",69864546.0,Probe
0,,,,,TG,TG,1299281962.0,228.0,False,False,1357651853.0,6.1315,1.2185,,,3.0,Abandoned,1357651853.0,"['system-ipv4-rfc1918', 'system-auto-geoip-city', 'system-v1', 'nat']",48395774.0,Probe
1,196.170.22.226,,24691.0,,TG,TG,1366131969.0,10203.0,False,True,1603305186.0,6.1685,1.2275,196.170.16.0/20,,1.0,Connected,1603245595.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",147733270.0,Probe
2,,,,,TG,TG,1378931869.0,11927.0,False,True,1419167665.0,6.1405,1.2085,,,3.0,Abandoned,1419167665.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",18862206.0,Probe
3,160.242.199.34,,24691.0,,TG,TG,1439285834.0,18243.0,False,True,1477040834.0,6.1685,1.2295,160.242.192.0/21,,3.0,Abandoned,1477040834.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",34536157.0,Probe
