,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,197.148.32.211,,36907.0,,AO,1379345996.0,12471,False,True,1476828900.0,-8.8425,13.2305,197.148.32.0/21,,3,Abandoned,1476828900.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",82581296,Probe,AO
1,196.35.211.26,,3741.0,,AO,1422614850.0,13805,False,True,1545138783.0,-11.2005,17.8675,196.34.0.0/15,,3,Abandoned,1545138783.0,"['system-ipv4-capable', 'system-v3']",122379150,Probe,AO
2,,,11259.0,,AO,1400859530.0,15949,False,False,1458563000.0,-8.8185,13.2295,197.216.0.0/15,,3,Abandoned,1458563000.0,"['system-no-flash-drive', 'system-ipv4-capable', 'system-v3']",60202384,Probe,AO
3,,,,,AO,1399297223.0,16435,False,True,1401796166.0,-8.8405,13.2885,,,3,Abandoned,1401796166.0,"['system-ipv4-rfc1918', 'system-no-flash-drive', 'system-v3']",1556292,Probe,AO
4,,,37645.0,,AO,1398688190.0,16498,False,False,1565629407.0,-12.4985,18.5015,129.122.128.0/19,,3,Abandoned,1565629407.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",44120754,Probe,AO
5,,,37468.0,,AO,1487846699.0,19757,False,False,1603305159.0,-12.4995,18.4995,197.149.148.0/22,,1,Connected,1602956342.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",114461532,Probe,AO
6,197.149.149.17,,37468.0,,AO,1473086380.0,24001,False,True,1490869849.0,-8.8425,13.2875,197.149.148.0/22,,3,Abandoned,1490869849.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",12058710,Probe,AO
7,154.127.128.155,,36907.0,,AO,1487716594.0,26239,False,True,1512339844.0,-8.8385,13.2885,154.127.128.0/21,,3,Abandoned,1512339844.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",18749988,Probe,AO
8,,,,,AO,,26729,False,True,,-8.7685,13.2985,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,AO
9,197.148.121.216,,24691.0,,AO,1465921003.0,27517,False,True,1479552072.0,-8.9995,13.2975,197.148.120.0/22,,3,Abandoned,1479552072.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",8395474,Probe,AO
10,41.63.181.231,,36907.0,,AO,1475091257.0,27690,False,True,1482079122.0,-8.8425,13.2915,41.63.160.0/19,,3,Abandoned,1482079122.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",4820385,Probe,AO
11,196.61.0.144,,37388.0,,AO,1543487715.0,50305,False,True,1575651971.0,-8.9205,13.1975,196.61.0.0/21,,3,Abandoned,1575651971.0,"['system-v4', 'meeting', 'system-ipv4-capable']",1944475,Probe,AO
12,154.66.106.133,,37645.0,,AO,1581587387.0,53155,False,True,1593430799.0,-8.9205,13.1895,154.66.104.0/22,,3,Abandoned,1593430799.0,"['system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'cable', 'nat', 'ipv4', 'office']",11672791,Probe,AO
