,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,206.82.130.242,,25543.0,,BF,1338309759.0,2601,False,True,1527237393.0,12.3775,-1.5025,206.82.130.0/24,,3,Abandoned,1527237393.0,"['system-firewall-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'nat', 'office']",55114405,Probe,BF
1,,,,,BF,1352552543.0,3030,False,True,1412678177.0,12.2575,-2.3515,,,3,Abandoned,1412678177.0,"['system-firewall-problem-suspected', 'system-ipv4-rfc1918', 'system-v2', 'nat', 'home']",25548396,Probe,BF
2,197.239.73.59,,37577.0,,BF,1502871991.0,6299,True,True,1603305212.0,12.3715,-1.5085,197.239.72.0/21,,1,Connected,1603097528.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v2-soekris', 'system-ipv4-capable', 'system-anchor']",98985682,Probe,BF
3,196.28.246.202,,25543.0,,BF,1370538946.0,10177,False,True,1508001958.0,12.3805,-1.5095,196.28.246.0/24,,3,Abandoned,1508001958.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",77267680,Probe,BF
4,,,,,BF,1392749486.0,11943,False,True,1412335987.0,12.3585,-1.5305,,,3,Abandoned,1412335987.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",17759663,Probe,BF
5,,,,,BF,1386931297.0,11945,False,True,1401188755.0,12.3595,-1.5305,,,3,Abandoned,1401188755.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",6245605,Probe,BF
6,196.28.246.228,,25543.0,,BF,1412681799.0,15270,False,True,1472660980.0,12.3475,-1.5195,196.28.246.0/24,,3,Abandoned,1472660980.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",28763812,Probe,BF
7,197.239.66.111,,37577.0,,BF,1410512144.0,15342,False,True,1589783328.0,12.3685,-1.5105,197.239.66.0/24,,3,Abandoned,1589783328.0,"['system-flash-drive-filesystem-corrupted', 'ipv4', 'mobile', 'lte', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",12198779,Probe,BF
8,185.53.163.181,,50673.0,,BF,1411129025.0,15942,False,True,1470749299.0,12.3485,-1.5205,185.53.160.0/22,,3,Abandoned,1470749299.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",53193812,Probe,BF
9,,,,,BF,,18702,False,True,,12.3685,-1.5225,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-v3']",0,Probe,BF
10,41.223.232.42,,37008.0,,BF,1547858033.0,18706,False,True,1603305212.0,12.3705,-1.5225,41.223.232.0/24,,1,Connected,1603271992.0,"['system-ipv4-stable-30d', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3']",42357301,Probe,BF
11,102.176.176.251,,328316.0,,BF,1547933515.0,18789,False,True,1603305212.0,12.3715,-1.5185,102.176.176.0/24,,1,Connected,1603278772.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv4-capable', 'system-ipv4-works', 'system-v3']",55094018,Probe,BF
12,,,,,BF,,18793,False,True,,12.3685,-1.5185,,,0,Never Connected,,['system-v3'],0,Probe,BF
13,192.12.116.30,,328330.0,,BF,1429289659.0,19201,False,True,1578466615.0,12.2975,-1.5125,192.12.116.0/24,,3,Abandoned,1578466615.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",103464758,Probe,BF
14,165.16.221.96,,37721.0,,BF,1547971566.0,19225,False,True,1603305212.0,12.3695,-1.5215,165.16.221.0/24,,1,Connected,1603179434.0,"['system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'ftth', 'wireless-isp', 'home', 'fibre']",38836230,Probe,BF
15,,,,,BF,,19229,False,True,,12.3815,-1.5015,,,0,Never Connected,,"['system-firewall-problem-suspected', 'system-v3']",0,Probe,BF
16,,,328215.0,,BF,1568204748.0,20401,False,False,1603305212.0,12.3675,-1.5225,160.226.184.0/24,,1,Connected,1603271934.0,"['system-ipv4-works', 'system-ipv4-capable', 'system-v3']",31869151,Probe,BF
17,206.82.130.242,,25543.0,,BF,1424439733.0,20404,False,True,1525452466.0,12.3695,-1.5225,206.82.130.0/24,,3,Abandoned,1525452466.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",51167107,Probe,BF
18,,,327871.0,,BF,1547856857.0,20425,False,False,1581164318.0,12.9995,-2.0015,196.13.207.0/24,,3,Abandoned,1581164318.0,"['system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",26262374,Probe,BF
19,212.52.154.44,,25543.0,,BF,1548163729.0,20595,False,True,1599999434.0,12.3795,-1.4985,212.52.128.0/19,,2,Disconnected,1599999434.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",39845603,Probe,BF
20,,,,,BF,,23534,False,True,,12.6895,-1.2015,,,0,Never Connected,,"['system-firewall-problem-suspected', 'system-v3']",0,Probe,BF
21,196.49.19.62,,37577.0,,BF,1568467238.0,29785,False,True,1570112936.0,12.3695,-1.5185,196.49.19.0/24,,3,Abandoned,1570112936.0,"['system-trying-to-connect', 'system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",1633267,Probe,BF
