,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,41.85.175.69,,28683.0,,BJ,1375091073.0,4084,False,True,1469461113.0,6.3695,2.4315,41.85.175.0/24,,3,Abandoned,1469461113.0,"['nat', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918']",44922891,Probe,BJ
1,41.222.192.7,,37090.0,,BJ,1378492206.0,4946,False,True,1455723472.0,6.3705,2.4295,41.222.192.0/22,,3,Abandoned,1455723472.0,"['office', 'no-nat', 'system-v2', 'system-ipv4-capable', 'system-firewall-problem-suspected']",67246675,Probe,BJ
2,,,,,BJ,1370532369.0,10178,False,True,1379875214.0,6.3715,2.4305,,,3,Abandoned,1379875214.0,"['nat', 'system-v3', 'system-ipv4-rfc1918']",4190300,Probe,BJ
3,196.192.27.105,,28683.0,,BJ,1364895231.0,10212,False,True,1516018928.0,6.4485,2.3475,196.192.24.0/21,,3,Abandoned,1516018928.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",84193266,Probe,BJ
4,,,,,BJ,1380637493.0,11931,False,True,1419678986.0,6.3675,2.4285,,,3,Abandoned,1419678986.0,"['nat', 'system-v3', 'system-ipv4-rfc1918']",21824125,Probe,BJ
5,41.216.37.151,,28683.0,,BJ,1380779433.0,11932,False,True,1442915752.0,6.3685,2.4285,41.216.32.0/21,,3,Abandoned,1442915752.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",20689647,Probe,BJ
6,41.222.192.58,,37090.0,,BJ,1385499767.0,11944,False,True,1596266565.0,6.3695,2.4295,41.222.192.0/24,,2,Disconnected,1596266565.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",181490126,Probe,BJ
7,81.91.228.138,,28683.0,,BJ,1386612632.0,13145,False,True,1530895492.0,6.3695,2.4295,81.91.228.0/24,,3,Abandoned,1530895492.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-dns-problem-suspected']",90091243,Probe,BJ
8,41.74.10.174,,37292.0,,BJ,1386864889.0,13207,False,True,1530319247.0,6.3705,2.4275,41.74.10.0/23,,3,Abandoned,1530319247.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-dns-problem-suspected']",29278545,Probe,BJ
9,41.86.224.94,,37090.0,,BJ,1386197365.0,13239,False,True,1599230259.0,6.3715,2.4285,41.86.224.0/24,,2,Disconnected,1599230259.0,"['office', 'no-nat', 'system-v3', 'system-ipv4-capable']",182121092,Probe,BJ
10,,,37090.0,,BJ,1385974250.0,13245,False,False,1475240961.0,6.3695,2.4295,41.86.224.0/19,,3,Abandoned,1475240961.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive', 'system-trying-to-connect']",74685601,Probe,BJ
11,197.234.221.226,,37424.0,,BJ,1382536765.0,13301,False,True,1522579524.0,6.3675,2.4275,197.234.216.0/21,,3,Abandoned,1522579524.0,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",86205566,Probe,BJ
12,197.234.221.94,,37424.0,,BJ,1382644046.0,13421,False,True,1522191621.0,6.3875,2.4685,197.234.216.0/21,,3,Abandoned,1522191621.0,"['home', 'nat', 'system-v3', 'cgn', 'lte', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-dns-problem-suspected']",58283375,Probe,BJ
13,196.192.27.116,,28683.0,,BJ,1405353193.0,14419,False,True,1575267781.0,6.5415,2.4675,196.192.24.0/21,,3,Abandoned,1575267781.0,"['system-v3', 'system-ipv4-capable', 'system-no-flash-drive']",66676787,Probe,BJ
14,,,28683.0,,BJ,1391177041.0,14490,False,False,1481196521.0,9.4975,2.2515,41.85.184.0/24,,3,Abandoned,1481196521.0,"['nat', 'system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",31806597,Probe,BJ
15,,,,,BJ,1393484633.0,14491,False,False,1405418596.0,9.4975,2.2515,,,3,Abandoned,1405418596.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-rfc1918']",37479,Probe,BJ
16,,,,,BJ,1410061984.0,14492,False,True,1410341441.0,6.3485,2.4415,,,3,Abandoned,1410341441.0,['system-v3'],17654,Probe,BJ
17,41.86.227.75,,37090.0,,BJ,1402236261.0,15392,False,True,1440025901.0,6.3585,2.4115,41.86.224.0/21,,3,Abandoned,1440025901.0,"['home', 'nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",33631779,Probe,BJ
18,41.85.184.26,,28683.0,,BJ,1407361415.0,15944,False,True,1481196903.0,9.3495,2.6195,41.85.184.0/24,,3,Abandoned,1481196903.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",25702145,Probe,BJ
19,196.192.27.111,2002:c4c0:1b72:b:6666:b3ff:feb0:d752,28683.0,,BJ,1404227030.0,15946,False,True,1481527467.0,6.4205,2.3395,196.192.24.0/21,2002::/16,3,Abandoned,1481527467.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-flash-drive-filesystem-corrupted']",45111450,Probe,BJ
20,41.86.227.75,,37090.0,,BJ,1434222425.0,19580,False,True,1440025890.0,6.3675,2.4315,41.86.224.0/21,,3,Abandoned,1440025890.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",5064579,Probe,BJ
21,83.229.122.89,,8513.0,,BJ,1418640893.0,19583,False,True,1440483973.0,10.0185,2.0915,83.229.64.0/18,,3,Abandoned,1440483973.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",21156406,Probe,BJ
22,41.85.185.234,,28683.0,,BJ,1435083810.0,20892,False,True,1465797716.0,6.3685,2.4315,41.85.185.0/24,,3,Abandoned,1465797716.0,"['fibre', 'office', 'nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'abetic']",18765056,Probe,BJ
23,41.86.228.31,,37090.0,,BJ,1435691718.0,20908,False,True,1447830338.0,6.3715,2.4275,41.86.224.0/21,,3,Abandoned,1447830338.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",1797478,Probe,BJ
24,,,37090.0,,BJ,1437033916.0,21602,False,False,1445035382.0,6.4485,2.3475,41.222.192.0/22,,3,Abandoned,1445035382.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",255354,Probe,BJ
25,41.86.240.141,,37090.0,,BJ,1449841222.0,21634,False,True,1603305151.0,6.3695,2.3885,41.86.224.0/19,,1,Connected,1603261484.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",86991493,Probe,BJ
26,41.86.234.101,,37090.0,,BJ,1441269669.0,21987,False,True,1502398870.0,6.5005,2.6315,41.86.232.0/22,,3,Abandoned,1502398870.0,"['system-v3', 'system-ipv4-capable']",57851897,Probe,BJ
27,41.222.192.58,,37090.0,,BJ,1441275144.0,22205,False,True,1602135349.0,6.3795,2.3875,41.222.192.0/22,,2,Disconnected,1602135349.0,"['system-dns-problem-suspected', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'no-nat', 'office']",65318871,Probe,BJ
28,41.86.234.103,,37090.0,,BJ,1441286692.0,22235,False,True,1603305151.0,6.3495,2.4085,41.86.224.0/20,,1,Connected,1602871518.0,"['system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-capable', 'office', 'no-nat']",100549590,Probe,BJ
29,41.86.228.76,,37090.0,,BJ,1433687293.0,23346,False,True,1482388681.0,6.3705,2.4295,41.86.224.0/20,,3,Abandoned,1482388681.0,"['home', 'nat', 'ipv4', 'wireless-isp', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",46441124,Probe,BJ
30,197.234.221.226,,37424.0,,BJ,1435265369.0,23436,False,True,1445005602.0,6.3705,2.4285,197.234.221.0/24,,3,Abandoned,1445005602.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",9150940,Probe,BJ
31,41.216.47.118,2001:470:c8da:100:ea94:f6ff:fe48:6576,28683.0,6939.0,BJ,1435133317.0,23449,False,True,1458738493.0,6.3715,2.4295,41.216.47.0/24,2001:470::/32,3,Abandoned,1458738493.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",23501023,Probe,BJ
32,41.86.234.104,,37090.0,,BJ,1441208271.0,24098,False,True,1603305151.0,6.4515,2.3515,41.86.224.0/20,,1,Connected,1602871256.0,"['system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-v3', 'system-ipv4-capable', 'no-nat', 'office']",13856590,Probe,BJ
33,137.255.8.142,,28683.0,,BJ,1447756528.0,25565,False,True,1474862121.0,6.3495,2.4005,137.255.8.0/24,,3,Abandoned,1474862121.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",9579526,Probe,BJ
34,41.79.219.213,,37424.0,,BJ,1454432440.0,27452,False,True,1470414556.0,6.3685,2.3895,41.79.219.0/24,,3,Abandoned,1470414556.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",4920479,Probe,BJ
35,,,36924.0,,BJ,1475828623.0,28156,False,False,1482742157.0,6.3505,2.4195,154.72.112.0/20,,3,Abandoned,1482742157.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",6838064,Probe,BJ
36,,,36924.0,,BJ,1474025233.0,28164,False,False,1477917317.0,6.3595,2.4305,154.72.112.0/20,,3,Abandoned,1477917317.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",3934543,Probe,BJ
37,41.85.176.27,,28683.0,,BJ,1478034297.0,28807,False,True,1514532159.0,6.5005,2.6075,41.85.160.0/19,,3,Abandoned,1514532159.0,"['cable', 'home', 'ipv4', 'ipv6', '6to4', 'adsl', 'hackerspace', 'system-v3', 'lte', 'native-ipv4', 'system-ipv4-capable', 'system-ipv4-rfc1918', '4g']",10656922,Probe,BJ
38,41.86.230.252,,37090.0,,BJ,1476798410.0,28815,False,True,1588311837.0,6.3495,2.3775,41.86.224.0/20,,3,Abandoned,1588311837.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",67774452,Probe,BJ
39,197.234.221.94,,37424.0,,BJ,1477825491.0,28822,False,True,1522191606.0,6.3785,2.4685,197.234.216.0/21,,3,Abandoned,1522191606.0,"['cable', 'office', 'nat', 'ipv4', 'ipv6', '6to4', 'wireless-isp', 'system-v3', 'lte', 'native-ipv4', 'system-ipv4-capable', 'system-ipv4-rfc1918', '4g', 'system-dns-problem-suspected']",26908099,Probe,BJ
40,41.85.161.70,,28683.0,,BJ,1476786465.0,28840,False,True,1532961036.0,6.3475,2.4195,41.85.160.0/19,,3,Abandoned,1532961036.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",48440792,Probe,BJ
41,41.85.161.103,,28683.0,,BJ,1476790834.0,28841,False,True,1490088533.0,6.3475,2.4195,41.85.160.0/19,,3,Abandoned,1490088533.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",9828663,Probe,BJ
42,196.192.27.59,,28683.0,,BJ,,30164,False,True,,6.4195,2.3405,196.192.24.0/21,,3,Abandoned,1491217102.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",1134,Probe,BJ
43,41.85.181.94,,328228.0,,BJ,1526629037.0,32381,False,True,1594485479.0,6.3675,2.3915,41.85.181.0/24,,3,Abandoned,1594485479.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",51530452,Probe,BJ
44,41.79.216.41,,37424.0,,BJ,1526475480.0,32384,False,True,1584724541.0,6.3695,2.3915,41.79.216.0/24,,3,Abandoned,1584724541.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', '4g', 'system-flash-drive-filesystem-corrupted']",1876159,Probe,BJ
