,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,CG,,10242,False,True,,-4.2715,15.2795,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
1,41.75.79.4,,37281.0,,CG,1410017207.0,11236,False,True,1548662842.0,-4.7695,11.8685,41.75.79.0/24,,3,Abandoned,1548662842.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",118111723,Probe,CG
2,,,37550.0,,CG,1417356077.0,12477,False,False,1528320849.0,-0.9995,15.0005,197.214.218.0/24,,3,Abandoned,1528320849.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",15339661,Probe,CG
3,,,,,CG,1394542845.0,14479,False,True,1394650909.0,-4.2685,15.2805,,,3,Abandoned,1394650909.0,"['system-ipv4-rfc1918', 'system-v3']",81132,Probe,CG
4,,,,,CG,1396355941.0,15206,False,True,1396358114.0,-4.2695,15.2775,,,3,Abandoned,1396358114.0,"['system-ipv4-rfc1918', 'system-v3']",4346,Probe,CG
5,,,,,CG,,15207,False,True,,-0.2295,15.8275,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
6,,,,,CG,,15254,False,True,,-0.2305,15.8295,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
7,,,,,CG,,15256,False,True,,-4.2695,15.2795,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
8,,,,,CG,,15265,False,True,,-0.2305,15.8305,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
9,197.157.255.198,,37451.0,,CG,1396364185.0,15266,False,True,1466184621.0,-3.9195,15.2105,197.157.255.0/24,,3,Abandoned,1466184621.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",7014845,Probe,CG
10,,,,,CG,,15280,False,True,,-0.2325,15.8315,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-v3']",0,Probe,CG
11,,,,,CG,,15303,False,True,,-0.2315,15.8275,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,CG
12,169.255.122.130,,37463.0,,CG,1499183347.0,27510,False,True,1530634427.0,-4.8025,11.8375,169.255.120.0/22,,3,Abandoned,1530634427.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",21108984,Probe,CG
13,196.43.240.14,,37548.0,,CG,1488459320.0,28599,False,True,1529328666.0,-4.2585,15.2415,196.43.240.0/24,,3,Abandoned,1529328666.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",32057522,Probe,CG
14,197.255.178.94,2001:470:1f21:8:a62b:b0ff:fee0:ad6,37322.0,6939.0,CG,1492853350.0,30010,False,True,1499511559.0,-4.2625,15.2375,197.255.178.0/24,2001:470::/32,3,Abandoned,1499511559.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",6572365,Probe,CG
