,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,15964.0,,CM,1322738959.0,2012,False,False,1449753071.0,3.8485,11.4975,41.204.92.0/22,,3,Abandoned,1449753071.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'nat', 'office']",53551932,Probe,CM
1,41.205.5.3,,16637.0,,CM,1331112426.0,2446,False,True,1452937965.0,4.0505,9.6895,41.205.0.0/19,,3,Abandoned,1452937965.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'isp', 'he', 'vpn', 'ipv6', 'ipv4', 'ipv6-tunnel', 'nat', 'datacentre', 'office', 'fibre']",3428045,Probe,CM
2,154.72.168.254,,15964.0,,CM,1352200083.0,2456,False,True,1603305163.0,4.0905,9.7295,154.72.168.0/23,,1,Connected,1603299368.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'ftth', 'he', 'ipv4', 'ipv6-tunnel', 'home', 'fibre']",97509344,Probe,CM
3,41.79.130.20,,37475.0,,CM,1330777023.0,2464,False,True,1483009505.0,3.8495,11.5205,41.79.128.0/22,,3,Abandoned,1483009505.0,"['system-firewall-problem-suspected', 'press', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'wimax', 'wireless-isp', 'ipv6', 'ipv4', 'native-ipv6', 'nat', 'office']",7167040,Probe,CM
4,,,,,CM,1400874908.0,15868,False,True,1401817849.0,3.8715,11.5205,,,3,Abandoned,1401817849.0,"['system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted', 'system-v3', 'nat', 'office', 'fibre']",1208911,Probe,CM
5,154.73.203.186,,37475.0,,CM,1402325646.0,15960,False,True,1422861282.0,4.0375,9.6905,154.73.200.0/21,,3,Abandoned,1422861282.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'wimax', 'datacentre', 'office', 'fibre']",15883896,Probe,CM
6,41.202.207.142,,36912.0,,CM,1498746789.0,16114,False,True,1512055336.0,10.5995,14.3175,41.202.207.0/24,,3,Abandoned,1512055336.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",3483261,Probe,CM
7,195.24.206.210,,15964.0,,CM,1457114259.0,17889,False,True,1603300772.0,7.3415,13.5715,195.24.204.0/22,,2,Disconnected,1603300772.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",122495674,Probe,CM
8,195.24.196.122,,15964.0,,CM,1404756120.0,17901,False,True,1603305163.0,3.8575,11.4975,195.24.196.0/22,,1,Connected,1603156887.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'ipv6', 'ipv4', 'native-ipv6', 'nat', 'academic', 'office', 'fibre']",190810299,Probe,CM
9,,,,,CM,1408459082.0,17905,False,True,1412176433.0,4.0495,9.6975,,,3,Abandoned,1412176433.0,"['system-ipv4-rfc1918', 'system-v3']",138092,Probe,CM
