,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,DZ,,3602,False,False,,36.7485,3.0375,,,0,Never Connected,,['system-v2'],0,Probe,DZ
1,,,,,DZ,1353229336.0,3629,False,False,1377250573.0,36.7515,3.0585,,,3,Abandoned,1377250573.0,"['nat', 'system-v2', 'system-ipv4-rfc1918']",22082130,Probe,DZ
2,,,,,DZ,1390501114.0,12903,False,True,1390998356.0,36.7485,3.0375,,,3,Abandoned,1390998356.0,"['nat', 'system-v3', 'system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918']",536237,Probe,DZ
3,,,,,DZ,,12906,False,True,,36.7505,3.0375,,,0,Never Connected,,['system-v3'],0,Probe,DZ
4,,,,,DZ,,12907,False,True,,36.7505,3.0375,,,0,Never Connected,,['system-v3'],0,Probe,DZ
5,,,,,DZ,,12936,False,True,,36.7505,3.0385,,,0,Never Connected,,['system-v3'],0,Probe,DZ
6,193.194.67.242,,3208.0,,DZ,1425251196.0,15328,False,True,1603305209.0,36.7615,2.9985,193.194.67.0/24,,1,Connected,1602437266.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",66694794,Probe,DZ
7,193.194.81.47,,3208.0,,DZ,1406036728.0,16604,False,True,1603305209.0,36.7595,2.9975,193.194.64.0/19,,1,Connected,1602549314.0,"['fibre', 'academic', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",43891647,Probe,DZ
8,193.194.81.47,,3208.0,,DZ,1405874978.0,17325,False,True,1491902649.0,36.7495,2.9985,193.194.81.0/24,,3,Abandoned,1491902649.0,"['fibre', 'core', 'academic', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",55972670,Probe,DZ
9,105.101.224.127,,36947.0,,DZ,1406901035.0,19403,False,True,1473327266.0,36.7485,2.8875,105.101.0.0/16,,3,Abandoned,1473327266.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",61246326,Probe,DZ
10,,,,,DZ,,21659,False,True,,36.7815,3.0095,,,0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0,Probe,DZ
11,41.100.154.221,,36947.0,,DZ,1451756074.0,24641,False,True,1491933625.0,34.8875,-1.3205,41.100.128.0/18,,3,Abandoned,1491933625.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",13568455,Probe,DZ
12,,,36947.0,,DZ,1452547937.0,24746,False,False,1459788056.0,36.7905,3.2395,105.98.0.0/16,,3,Abandoned,1459788056.0,"['dsl', 'office', 'nat', 'ipv4', 'adsl', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",5049688,Probe,DZ
13,105.103.29.99,,36947.0,,DZ,1450566511.0,24760,False,True,1462601548.0,36.7475,5.0805,105.103.0.0/16,,3,Abandoned,1462601548.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",5708923,Probe,DZ
14,,,36947.0,,DZ,1450536443.0,24762,False,False,1461661691.0,36.1585,1.3305,41.100.192.0/18,,3,Abandoned,1461661691.0,"['system-v3', 'system-auto-geoip-city', 'system-ipv4-capable', 'system-ipv4-rfc1918']",9109080,Probe,DZ
15,,,36947.0,,DZ,1448206341.0,24958,False,False,1486373166.0,36.2015,5.4195,105.111.64.0/19,,3,Abandoned,1486373166.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flakey-connection']",33592448,Probe,DZ
16,41.108.224.216,,36947.0,,DZ,,25094,False,True,,36.5795,2.9115,41.108.192.0/18,,3,Abandoned,1445346457.0,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",387,Probe,DZ
17,105.108.128.121,,36947.0,,DZ,1448297409.0,25140,False,True,1458496715.0,36.6075,4.6895,105.108.0.0/16,,3,Abandoned,1458496715.0,"['dsl', 'office', 'nat', 'ipv4', 'system-v3', 'iwantbcp38compliancetesting', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'noroaauth']",5963035,Probe,DZ
18,105.105.68.14,,36947.0,,DZ,1446633667.0,25286,False,True,1446636593.0,35.6305,5.9115,105.105.0.0/17,,3,Abandoned,1446636593.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",7468,Probe,DZ
19,,,,,DZ,,25800,False,True,,28.0275,1.6575,,,0,Never Connected,,['system-v3'],0,Probe,DZ
20,,,36947.0,,DZ,1455451400.0,25808,False,False,1455613746.0,36.6915,2.9775,41.110.0.0/16,,3,Abandoned,1455613746.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",205218,Probe,DZ
21,105.102.155.140,,36947.0,,DZ,1460833255.0,25821,False,True,1462228826.0,36.7175,3.0785,105.102.128.0/17,,3,Abandoned,1462228826.0,"['dsl', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'internet2', '4g', 'meeting']",44001,Probe,DZ
22,41.104.154.80,,36947.0,,DZ,1457262978.0,25823,False,True,1507688985.0,36.6985,4.0585,41.104.128.0/19,,3,Abandoned,1507688985.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",1157743,Probe,DZ
23,105.107.125.5,,36947.0,,DZ,1454418255.0,25836,False,True,1454420202.0,36.6605,3.1685,105.107.0.0/17,,3,Abandoned,1454420202.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",2035,Probe,DZ
24,105.107.53.76,,36947.0,,DZ,1455730099.0,25851,False,True,1457870639.0,36.2475,6.6995,105.107.0.0/17,,3,Abandoned,1457870639.0,"['dsl', 'home', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",2117127,Probe,DZ
25,,,,,DZ,,25939,False,False,,36.5015,1.3185,,,0,Never Connected,,"['system-v3', 'system-firewall-problem-suspected', 'system-flash-drive-filesystem-corrupted']",0,Probe,DZ
26,,,36947.0,,DZ,1460296296.0,25959,False,False,1465256953.0,28.0015,2.9995,105.102.128.0/17,,3,Abandoned,1465256953.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",3323290,Probe,DZ
27,,,36947.0,,DZ,1453727631.0,26625,False,False,1489933163.0,36.7595,3.1485,41.106.0.0/19,,3,Abandoned,1489933163.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",17087525,Probe,DZ
28,,,36947.0,,DZ,1462138368.0,27002,False,False,1462142126.0,27.9985,2.9975,105.101.0.0/16,,3,Abandoned,1462142126.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-ula', 'system-ipv4-rfc1918']",7516,Probe,DZ
29,105.103.162.211,,36947.0,,DZ,,27206,False,True,,36.7505,5.0575,105.103.0.0/16,,3,Abandoned,1458659185.0,"['system-v3', 'system-ipv4-capable', 'system-no-flash-drive']",0,Probe,DZ
30,193.194.81.47,,3208.0,,DZ,1496837172.0,30177,False,True,1546768486.0,36.7005,3.0605,193.194.81.0/24,,3,Abandoned,1546768486.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",49659258,Probe,DZ
31,105.103.26.95,,36947.0,,DZ,1502192363.0,30516,False,True,1548280182.0,36.7505,5.0475,105.103.0.0/16,,3,Abandoned,1548280182.0,"['office', 'nat', 'adsl', 'system-v3', 'iwantbcp38compliancetesting', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'ipv6nat', 'ipv6-only']",31508331,Probe,DZ
