,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,EG,1330344220.0,185,False,False,1401291833.0,30.0495,31.2415,,,3,Abandoned,1401291833,"['system-ipv4-rfc1918', 'system-v1', 'nat', 'home']",58964413,Probe,EG
1,,,,,EG,,4073,False,False,,26.9985,30.0005,,,3,Abandoned,1353576219,"['system-no-controller-connection', 'system-v2']",0,Probe,EG
2,,,,,EG,1369079876.0,10959,False,False,1369141693.0,30.0515,31.2395,,,3,Abandoned,1369141693,"['system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted', 'system-v3', 'nat']",123632,Probe,EG
3,,,,,EG,1382307306.0,12752,False,False,1382424251.0,30.0785,31.3395,,,3,Abandoned,1382424251,"['system-ipv4-rfc1918', 'system-v3', 'nat']",114604,Probe,EG
4,102.188.136.27,fdb4:f58e:dafc:a700:6666:b3ff:fed1:34ac,24835.0,,EG,1426625543.0,16687,False,True,1603305149.0,30.0105,31.2115,102.188.136.0/22,,1,Connected,1603299321,"['system-ipv6-ula', 'system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",81804688,Probe,EG
5,196.205.14.19,,24863.0,,EG,1483613629.0,28068,False,True,1506384518.0,30.0415,31.2405,196.205.12.0/22,,3,Abandoned,1506384518,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",17844709,Probe,EG
6,156.222.19.143,,8452.0,,EG,1475941375.0,28750,False,True,1484160967.0,30.0375,31.2395,156.192.0.0/11,,3,Abandoned,1484160967,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",10012853,Probe,EG
7,197.33.57.131,fdd4:6ba6:86d6:9100:f6f2:6dff:fe5d:c824,8452.0,,EG,1474618267.0,28799,False,True,1603305149.0,30.4615,31.1815,197.33.0.0/18,,1,Connected,1603293335,"['system-resolver-mangles-case', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",35879730,Probe,EG
8,,,36992.0,,EG,1578253089.0,31322,False,False,1578649569.0,30.0385,31.2185,154.237.176.0/20,,3,Abandoned,1578649569,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",56424,Probe,EG
9,156.212.14.82,,8452.0,,EG,1500366377.0,32206,False,True,1581493579.0,26.8205,30.7975,156.212.0.0/16,,3,Abandoned,1581493579,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",68261477,Probe,EG
10,193.227.1.140,,2561.0,,EG,1496824658.0,33255,False,True,1531226945.0,30.0295,31.2095,193.227.1.0/24,,3,Abandoned,1531226945,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",9785532,Probe,EG
11,197.135.13.159,fd98:e7f5:3224:d300:d66e:eff:fe23:2b50,24835.0,,EG,1500317001.0,33941,False,True,1504243723.0,31.2275,29.9495,197.135.12.0/22,,3,Abandoned,1504243723,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",2707045,Probe,EG
12,196.219.239.34,,8452.0,,EG,1535708178.0,34151,False,True,1603305149.0,29.9575,31.2495,196.219.224.0/20,,1,Connected,1599692971,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-doesnt-work', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",53333657,Probe,EG
13,197.135.176.49,fd50:4b8:9fca:3a00:c225:e9ff:fe9a:130,24835.0,,EG,1569271969.0,34678,False,True,1575719103.0,31.2015,29.9205,197.135.176.0/22,,3,Abandoned,1575719103,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",6000583,Probe,EG
14,197.37.143.25,,8452.0,,EG,1550529153.0,35028,False,True,1590179072.0,29.9615,31.2785,197.37.128.0/18,,3,Abandoned,1590179072,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",10528394,Probe,EG
15,41.232.20.245,fdd0:6f82:c553:3f00:c225:e9ff:fea8:6210,8452.0,,EG,1542715316.0,35074,False,True,1596788000.0,26.8195,30.8005,41.232.16.0/20,,2,Disconnected,1596788000,"['system-no-flash-drive', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",35588936,Probe,EG
16,41.237.112.145,,8452.0,,EG,1550605118.0,35110,False,True,1555450217.0,30.0775,31.3475,41.237.96.0/19,,3,Abandoned,1555450217,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",2540568,Probe,EG
17,197.37.208.147,fdc4:86e9:baf3:df00:c225:e9ff:fea8:4628,8452.0,,EG,1537861266.0,35118,False,True,1578854023.0,30.0415,31.2375,197.37.192.0/18,,3,Abandoned,1578854023,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",23440440,Probe,EG
18,197.45.28.85,,8452.0,,EG,1545380542.0,35128,False,True,1551345253.0,30.0415,31.2385,197.45.28.0/24,,3,Abandoned,1551345253,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",5905493,Probe,EG
19,41.238.247.23,,8452.0,,EG,1543900079.0,35171,False,True,1552226940.0,29.9475,31.2105,41.238.224.0/19,,3,Abandoned,1552226940,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",3042456,Probe,EG
20,41.236.60.115,,8452.0,,EG,1550591473.0,35196,False,True,1551201783.0,29.9305,30.9215,41.236.0.0/18,,3,Abandoned,1551201783,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",534274,Probe,EG
21,,,,,EG,,55463,False,False,,30.2285,31.4805,,,3,Abandoned,1589288174,['system-v4'],0,Probe,EG
