,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,213.55.95.157,,24757.0,,ET,1389787016.0,12394,False,True,1481628851.0,9.0495,38.7615,213.55.95.0/24,,3,Abandoned,1481628851.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'office', 'fibre']",76193202,Probe,ET
1,213.55.104.126,,24757.0,,ET,1388395150.0,13240,False,True,1429531613.0,9.0175,38.7495,213.55.104.0/24,,3,Abandoned,1429531613.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",31823004,Probe,ET
2,,,,,ET,,13340,False,True,,9.0175,38.7495,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-v3']",0,Probe,ET
3,197.156.116.33,,24757.0,,ET,1446118372.0,13713,False,True,1466608251.0,9.6185,41.8375,197.156.116.0/23,,3,Abandoned,1466608251.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",11137996,Probe,ET
4,213.55.83.197,,24757.0,,ET,1388243973.0,13732,False,True,1603305171.0,8.9885,38.7885,213.55.83.0/24,,1,Connected,1603090929.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'office', 'fibre']",193735484,Probe,ET
5,197.156.127.11,,24757.0,,ET,1389973098.0,13749,False,True,1411128829.0,6.4215,38.2795,197.156.64.0/18,,3,Abandoned,1411128829.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",5133291,Probe,ET
6,,,,,ET,1389964655.0,13750,False,True,1398154414.0,9.1375,40.4895,,,3,Abandoned,1398154414.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",6926514,Probe,ET
7,,,24757.0,,ET,1413794002.0,14488,False,False,1413802229.0,9.3115,42.1315,213.55.114.0/24,,3,Abandoned,1413802229.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-city', 'system-v3']",16454,Probe,ET
8,196.188.63.237,,24757.0,,ET,1490715980.0,27911,False,True,1551940679.0,8.9875,38.7875,196.188.0.0/18,,3,Abandoned,1551940679.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",48011724,Probe,ET
9,196.191.66.8,,24757.0,,ET,1518351809.0,28136,False,True,1543330987.0,8.9805,38.7585,196.188.0.0/14,,3,Abandoned,1543330987.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",9208968,Probe,ET
10,213.55.106.155,,24757.0,,ET,1486626271.0,28994,False,True,1509300805.0,9.0495,38.5715,213.55.106.0/24,,3,Abandoned,1509300805.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'office', 'fibre']",13095652,Probe,ET
11,196.191.101.10,,24757.0,,ET,1504690157.0,33778,False,True,1551305921.0,8.2315,34.5905,196.191.96.0/19,,3,Abandoned,1551305921.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",16990314,Probe,ET
12,196.189.64.4,,24757.0,,ET,1504684182.0,33782,False,True,1603305171.0,8.9885,38.7615,196.189.64.0/20,,1,Connected,1603284795.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'home', 'fibre']",58869144,Probe,ET
13,,,24757.0,,ET,1567154556.0,51466,False,False,1593436851.0,9.0205,38.8805,196.188.224.0/19,,3,Abandoned,1593436851.0,"['system-firewall-problem-suspected', 'system-v4', 'system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable']",19535289,Probe,ET
14,196.188.176.223,,24757.0,,ET,1575885485.0,51659,False,True,1587748385.0,8.9915,38.7395,196.188.160.0/19,,3,Abandoned,1587748385.0,"['system-firewall-problem-suspected', 'system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable']",6198024,Probe,ET
15,196.188.112.24,,24757.0,,ET,1572958863.0,51765,False,True,1603305171.0,8.9795,38.7705,196.188.64.0/18,,1,Connected,1603124519.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable']",18381860,Probe,ET
16,196.188.244.118,,24757.0,,ET,1575372164.0,51953,False,True,1603305171.0,9.0085,38.8195,196.188.224.0/19,,1,Connected,1603280746.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable']",4277211,Probe,ET
17,196.188.241.228,,24757.0,,ET,1573931789.0,52078,False,True,1600411948.0,9.0115,38.8205,196.188.240.0/23,,2,Disconnected,1600411948.0,"['system-v4', 'system-ipv4-rfc1918', 'system-ipv4-capable']",21940273,Probe,ET
18,,,,,ET,,55612,False,False,,9.0385,38.7675,,,2,Disconnected,1600600648.0,['system-v4'],0,Probe,ET
