,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,197.255.75.207,,37074.0,,GH,1411731022.0,4274,False,True,1603305154.0,5.6495,-0.1895,197.255.64.0/20,,1,Connected,1603193588.0,"['system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v2']",166058412,Probe,GH
1,196.49.14.25,,30997.0,,GH,1532679976.0,6380,True,True,1603305154.0,5.5975,-0.1885,196.49.14.0/24,,1,Connected,1602632045.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv4-capable', 'system-anchor']",68629658,Probe,GH
2,129.122.18.18,,327947.0,,GH,1569586917.0,6612,True,True,1603305154.0,6.6785,-1.5725,129.122.16.0/20,,1,Connected,1603192980.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-virtual', 'system-ipv4-capable', 'system-anchor']",33074175,Probe,GH
3,,,,,GH,1370529209.0,10199,False,True,1398774799.0,5.5615,-0.1985,,,3,Abandoned,1398774799.0,"['system-ipv4-rfc1918', 'system-no-flash-drive', 'system-v3', 'nat']",11403885,Probe,GH
4,197.221.80.206,,30988.0,,GH,1385993405.0,12487,False,True,1500025514.0,5.5505,-0.1985,197.221.80.0/21,,3,Abandoned,1500025514.0,"['system-dns-problem-suspected', 'system-ipv4-capable', 'system-v3', 'no-nat']",99558345,Probe,GH
5,41.242.138.4,,37623.0,,GH,1418550715.0,13117,False,True,1492105949.0,5.5605,-0.2025,41.242.138.0/24,,3,Abandoned,1492105949.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'datacentre']",8191760,Probe,GH
6,63.223.10.70,,3491.0,,GH,1425038803.0,14945,False,True,1579351219.0,5.8095,0.0695,63.216.0.0/13,,3,Abandoned,1579351219.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",147085669,Probe,GH
7,197.251.224.182,fdd4:6e5c:ecc3:4e00:6666:b3ff:fec5:a3e,29614.0,,GH,1403522267.0,16760,False,True,1452509029.0,5.6275,-0.1595,197.251.224.0/19,,3,Abandoned,1452509029.0,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",26381955,Probe,GH
8,197.253.66.105,,37313.0,,GH,1445947906.0,19506,False,True,1449702245.0,5.6005,-0.1925,197.253.64.0/19,,3,Abandoned,1449702245.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",2539946,Probe,GH
9,,,,,GH,,19524,False,True,,7.9495,-1.0215,,,0,Never Connected,,"['system-firewall-problem-suspected', 'system-v3']",0,Probe,GH
