,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,6830.0,,MA,1355239150.0,4199,False,False,1554667036.0,31.7915,-7.0885,89.72.0.0/13,,3,Abandoned,1554667036.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v2', 'nat']",21235752,Probe,MA
1,196.200.131.136,2001:4310:f6:0:a2f3:c1ff:fec4:473f,30983.0,30983.0,MA,1379679042.0,12344,False,True,1603305174.0,33.9695,-6.8705,196.200.128.0/19,2001:4310::/33,1,Connected,1597202368.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'no-nat', 'academic']",203036784,Probe,MA
2,,,,,MA,1393520850.0,14417,False,True,1400935589.0,32.8905,-6.9125,,,3,Abandoned,1400935589.0,"['system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted', 'system-v3']",5573644,Probe,MA
3,41.137.82.2,,36884.0,,MA,1401119429.0,15955,False,True,1459178700.0,34.0395,-5.0005,41.137.64.0/18,,3,Abandoned,1459178700.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'datacentre', 'fibre']",51660408,Probe,MA
4,,,,,MA,,16613,False,True,,31.6285,-8.0125,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,MA
5,,,,,MA,,17296,False,True,,33.9805,-6.8685,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,MA
6,,,,,MA,,17949,False,False,,33.5315,-7.5805,,,3,Abandoned,1403637663.0,"['system-flash-drive-filesystem-corrupted', 'system-v3']",0,Probe,MA
7,160.177.254.13,,36903.0,,MA,1426719402.0,18661,False,True,1441026440.0,33.5775,-7.7095,160.177.248.0/21,,3,Abandoned,1441026440.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",10696798,Probe,MA
8,41.250.159.124,,36903.0,,MA,1439628244.0,21740,False,True,1468176698.0,33.5975,-7.6305,41.250.152.0/21,,3,Abandoned,1468176698.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",12587368,Probe,MA
9,,,,,MA,,22624,False,True,,34.0295,-5.0015,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,MA
10,41.249.212.137,,36903.0,,MA,1427355666.0,22933,False,True,1549147508.0,32.3385,-6.3615,41.249.208.0/21,,3,Abandoned,1549147508.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'adsl', 'ipv4', 'home']",88743559,Probe,MA
11,81.192.170.29,2001:67c:2e8:13:16cc:20ff:fe48:c44c,6713.0,3333.0,MA,1459786394.0,26130,False,True,1481815052.0,33.9075,-6.9915,81.192.160.0/20,2001:67c:2e8::/48,3,Abandoned,1481815052.0,"['system-ipv6-capable', 'system-ipv4-capable', 'broken', 'system-v3']",2220878,Probe,MA
12,160.176.217.87,fd0b:d9d8:9e3d:0:c66e:1fff:fe5b:efe4,36903.0,,MA,1452033293.0,26938,False,True,1466190885.0,33.9715,-6.8515,160.176.216.0/21,,3,Abandoned,1466190885.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",9411002,Probe,MA
