,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,196.192.42.154,,37054.0,,MG,1391068809,13721,False,True,1448624346,-18.7725,46.8685,196.192.42.0/24,,3,Abandoned,1448624346,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",48585010,Probe,MG
1,41.242.99.205,,37054.0,,MG,1393850867,14712,False,True,1603305189,-18.9115,47.5275,41.242.96.0/20,,1,Connected,1602427620,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'no-nat', 'academic']",188189322,Probe,MG
2,197.158.82.102,,21042.0,,MG,1458920766,15313,False,True,1603305189,-18.7115,46.8275,197.158.82.0/24,,1,Connected,1602077776,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3']",92081115,Probe,MG
3,5.196.210.254,,16276.0,,MG,1401457691,16170,False,True,1437740081,-18.7125,46.8305,5.196.0.0/16,,3,Abandoned,1437740081,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'fibre']",34951613,Probe,MG
4,,,,,MG,1404976715,16746,False,True,1421070821,-18.7695,46.8695,,,3,Abandoned,1421070821,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-v3']",10221118,Probe,MG
5,41.242.97.222,,37054.0,,MG,1444390641,19521,False,True,1603305189,-18.9025,47.5485,41.242.96.0/20,,1,Connected,1603114282,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'academic']",107325981,Probe,MG
6,41.204.99.10,,21042.0,,MG,1421153854,19567,False,True,1448864484,-18.7695,46.8705,41.204.99.0/24,,3,Abandoned,1448864484,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",27703764,Probe,MG
7,41.242.99.206,,37054.0,,MG,1421221511,19592,False,True,1603305189,-18.9315,47.5315,41.242.96.0/20,,1,Connected,1602819857,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'no-nat', 'academic']",172593765,Probe,MG
8,196.49.13.52,,37054.0,,MG,1441350734,19984,False,True,1573024595,-18.9105,47.5315,196.49.13.0/24,,3,Abandoned,1573024595,"['system-ipv4-capable', 'system-v3', 'ipv4', 'no-nat', 'ixp']",126189552,Probe,MG
9,41.77.16.99,,37303.0,,MG,1507641895,24631,False,True,1555400861,-18.8925,47.5185,41.77.16.0/24,,3,Abandoned,1555400861,"['system-ipv4-capable', 'system-v3']",13963753,Probe,MG
10,41.63.144.122,,37037.0,,MG,1458731407,24765,False,True,1551532992,-18.8805,47.5205,41.63.144.0/24,,3,Abandoned,1551532992,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",89401459,Probe,MG
