,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,196.192.112.229,2001:43f8:90:608:220:4aff:fec6:ccab,37708.0,37708.0,MU,1295085623.0,446,False,True,1598972000.0,-20.2395,57.4995,196.192.112.0/23,2001:43f8:90::/48,2,Disconnected,1598972000.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v1', 'no-nat', 'office']",292254012,Probe,MU
1,196.192.112.244,2001:43f8:90:608::244,37708.0,37708.0,MU,1399543273.0,6059,True,True,1603305190.0,-20.2385,57.4995,196.192.112.0/23,2001:43f8:90::/48,1,Connected,1602896300.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",192934467,Probe,MU
2,102.163.100.12,2001:4248:f:0:102:163:100:12,30999.0,30999.0,MU,1562862079.0,6578,True,True,1587702209.0,-20.2385,57.4805,102.163.100.0/24,2001:4248::/32,3,Abandoned,1587702209.0,"['system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",24734764,Probe,MU
3,102.163.98.10,2001:4248:f:0:102:163:98:10,30999.0,30999.0,MU,1568283753.0,6610,True,True,1603305190.0,-19.6825,63.4275,102.163.98.0/24,2001:4248::/32,1,Connected,1602895736.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",34969511,Probe,MU
4,197.226.250.31,,23889.0,,MU,1491755421.0,11754,False,True,1527607705.0,-20.3505,57.5495,197.226.250.0/24,,3,Abandoned,1527607705.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",32170098,Probe,MU
5,169.239.140.62,,328019.0,,MU,1399597940.0,13703,False,True,1511880800.0,-20.3515,57.5475,169.239.140.0/22,,3,Abandoned,1511880800.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",46764900,Probe,MU
6,41.136.194.10,,23889.0,,MU,1392141432.0,13886,False,True,1539416249.0,-19.9995,57.5515,41.136.192.0/21,,3,Abandoned,1539416249.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",139887622,Probe,MU
7,102.112.128.30,,23889.0,,MU,1402417137.0,15294,False,True,1597143909.0,-20.2905,57.5015,102.112.128.0/17,,2,Disconnected,1597143909.0,"['system-ipv4-capable', 'system-v3']",30004255,Probe,MU
8,,,21174.0,,MU,1414919430.0,17945,False,False,1427734334.0,-20.2805,57.5495,196.12.128.0/19,,3,Abandoned,1427734334.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",1937360,Probe,MU
9,137.158.58.175,,36982.0,,MU,1418068929.0,18771,False,True,1531815192.0,-20.2125,57.4105,137.158.0.0/16,,3,Abandoned,1531815192.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",68611033,Probe,MU
