,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,41.77.11.146,,37098.0,,MW,1446033257.0,11387,False,True,1470302502.0,-13.2495,34.3015,41.77.11.0/24,,3,Abandoned,1470302502.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",9224535,Probe,MW
1,197.96.250.2,,3741.0,,MW,1397843522.0,13806,False,True,1546581567.0,-15.7895,34.9975,197.96.0.0/13,,3,Abandoned,1546581567.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",146884148,Probe,MW
2,41.70.24.242,2002:2946:1802:b:6666:b3ff:feb0:b6a8,37098.0,,MW,1402064328.0,15354,False,True,1465270323.0,-15.7905,35.0095,41.70.16.0/20,2002::/16,3,Abandoned,1465270323.0,"['system-no-flash-drive', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",47449094,Probe,MW
3,,,37294.0,,MW,1507026424.0,18553,False,False,1507026600.0,-13.5015,33.9995,168.253.242.0/24,,3,Abandoned,1507026600.0,"['system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",352,Probe,MW
4,41.190.93.134,,37187.0,,MW,1414597489.0,19211,False,True,1603305192.0,-15.7925,34.9975,41.190.93.0/24,,1,Connected,1602658729.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3']",181933251,Probe,MW
5,41.190.95.214,,37187.0,,MW,1421822610.0,20660,False,True,1603305192.0,-13.9725,33.7705,41.190.95.0/24,,1,Connected,1603299504.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3']",167509220,Probe,MW
6,,,,,MW,,30155,False,True,,-13.9605,33.7695,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-v3']",0,Probe,MW
7,41.216.228.242,,37098.0,,MW,1491308293.0,30156,False,True,1564988528.0,-13.9595,33.7695,41.216.228.0/24,,3,Abandoned,1564988528.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'office']",37186356,Probe,MW
8,,,,,MW,,32200,False,True,,-15.3925,35.3375,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,MW
9,41.70.64.2,,37098.0,,MW,1541410466.0,33228,False,True,1541485296.0,-13.9585,33.7685,41.70.64.0/24,,3,Abandoned,1541485296.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",19195,Probe,MW
10,196.11.84.178,,327941.0,,MW,1519025910.0,33344,False,True,1579383183.0,-13.9505,33.7895,196.11.84.0/24,,3,Abandoned,1579383183.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",60273158,Probe,MW
