,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,MZ,1291993974.0,177,False,True,1333643480.0,-25.9695,32.5805,,,3,Abandoned,1333643480.0,"['system-no-controller-connection', 'system-v1', 'no-nat', 'office']",34682474,Probe,MZ
1,41.221.208.94,2400:8800:9f03::2,3491.0,3491.0,MZ,1588864989.0,6777,True,True,1603305193.0,-25.9795,32.5805,41.221.208.0/24,2400:8800:8000::/35,1,Connected,1601372038.0,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-capable', 'system-ipv4-capable', 'system-virtual', 'system-anchor']",14439692,Probe,MZ
2,197.249.4.90,fd6d:2d34:e875:0:fa1a:67ff:fe4d:8a08,25139.0,,MZ,1402194976.0,13118,False,True,1502383304.0,-25.8885,32.6075,197.249.4.0/22,,3,Abandoned,1502383304.0,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",39044244,Probe,MZ
3,105.16.144.2,2c0f:feb0:9:1::2,37100.0,37100.0,MZ,1392628688.0,13725,False,True,1564394790.0,-25.9705,32.5785,105.16.0.0/12,2c0f:feb0::/32,3,Abandoned,1564394790.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'no-nat']",167511247,Probe,MZ
4,41.220.165.11,2001:4378:c004:1100:a2f3:c1ff:fec4:5ccc,30619.0,,MZ,1392917895.0,13727,False,True,1603305193.0,-25.9695,32.5785,41.220.164.0/22,,1,Connected,1602896500.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'no-nat']",206731954,Probe,MZ
5,197.242.165.2,,42235.0,,MZ,1390984139.0,13788,False,True,1603305193.0,-25.9785,32.5915,197.242.160.0/20,,1,Connected,1600076890.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'no-nat']",212079787,Probe,MZ
6,197.242.165.6,,42235.0,,MZ,1391010091.0,13799,False,True,1603305193.0,-18.6685,35.5315,197.242.160.0/20,,1,Connected,1598079425.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-30d', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-90d', 'system-ipv4-capable', 'system-ipv4-works', 'system-v3', 'no-nat']",205474355,Probe,MZ
7,,,,,MZ,1398686578.0,14687,False,True,1402568246.0,-25.9495,32.6015,,,3,Abandoned,1402568246.0,"['system-v3', 'no-nat', 'academic', 'ixp', 'fibre']",2935837,Probe,MZ
8,,,37139.0,,MZ,1416300604.0,14944,False,False,1447232661.0,-25.9305,32.6295,212.96.24.0/22,,3,Abandoned,1447232661.0,"['system-no-flash-drive', 'defect', 'system-ipv4-capable', 'broken', 'system-v3']",29008931,Probe,MZ
9,63.223.6.90,,3491.0,,MZ,1416477350.0,14968,False,True,1603305193.0,-25.9685,32.5705,63.223.6.0/24,,1,Connected,1602459389.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'soon-eol', 'system-ipv4-capable', 'broken', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-v3']",183209342,Probe,MZ
10,196.3.96.11,,31960.0,,MZ,1504279870.0,19574,False,True,1572596272.0,-25.9505,32.6005,196.3.96.0/21,,3,Abandoned,1572596272.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",67826948,Probe,MZ
11,63.223.5.58,,3491.0,,MZ,1454088320.0,20176,False,True,1539762767.0,-25.9595,32.6105,63.223.5.0/24,,3,Abandoned,1539762767.0,"['system-dns-problem-suspected', 'system-ipv4-capable', 'system-v3', 'no-nat', 'core', 'fibre']",82811190,Probe,MZ
12,,,,,MZ,,21317,False,True,,-25.8895,32.6075,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,MZ
13,,,,,MZ,,21340,False,True,,-25.9525,32.5995,,,0,Never Connected,,"['system-flash-drive-filesystem-corrupted', 'system-firewall-problem-suspected', 'system-v3']",0,Probe,MZ
14,196.10.148.18,,37697.0,,MZ,1599723974.0,50858,False,True,1603305193.0,-25.9485,32.5795,196.10.148.0/24,,1,Connected,1603206607.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v4']",3557627,Probe,MZ
