,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,,,,,NA,,10948,False,True,,-22.5585,17.0795,,,0,Never Connected,,['system-v3'],0,Probe,NA
1,197.234.73.143,,33763.0,,NA,1384266874.0,12385,False,True,1504092630.0,-22.5705,17.1015,197.234.64.0/20,,3,Abandoned,1504092630.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",105721870,Probe,NA
2,196.47.75.6,,36877.0,,NA,1384429166.0,12393,False,True,1442576804.0,-22.5515,17.0915,196.47.75.0/24,,3,Abandoned,1442576804.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",60716885,Probe,NA
3,105.232.117.203,,37009.0,,NA,1385930734.0,12797,False,True,1396786213.0,-22.5595,17.0615,105.232.0.0/17,,3,Abandoned,1396786213.0,"['system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3', 'nat']",10707090,Probe,NA
4,105.232.79.217,,37009.0,,NA,1578683121.0,12803,False,True,1603305200.0,-22.5615,17.0675,105.232.0.0/17,,1,Connected,1603209567.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', '4g', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",24409134,Probe,NA
5,196.216.164.50,,37513.0,,NA,1477240259.0,14465,False,True,1603305200.0,-22.5705,17.0805,196.216.164.0/24,,1,Connected,1601773837.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-v3', 'academic']",113808524,Probe,NA
6,41.205.150.74,,36996.0,,NA,1396443970.0,14960,False,True,1574693255.0,-22.5725,17.0905,41.205.128.0/19,,3,Abandoned,1574693255.0,"['system-bad-firmware-signature', 'system-trying-to-connect', 'system-ipv4-capable', 'system-v3', 'core']",177817653,Probe,NA
7,,,36996.0,,NA,1394041556.0,14961,False,False,1465723150.0,-22.5725,17.0805,196.44.128.0/19,,3,Abandoned,1465723150.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-city', 'system-v3']",71742921,Probe,NA
8,,,36996.0,,NA,1434702305.0,15289,False,False,1434704748.0,-22.5685,17.0815,196.44.128.0/20,,3,Abandoned,1434704748.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",4886,Probe,NA
9,,,36996.0,,NA,1434705068.0,15291,False,False,1434708590.0,-22.5725,17.0815,196.44.128.0/20,,3,Abandoned,1434708590.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",7044,Probe,NA
10,,,,,NA,,15360,False,True,,-22.5725,17.0705,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,NA
11,,,36996.0,,NA,1434639022.0,15396,False,False,1434643422.0,-22.5695,17.0815,196.44.128.0/20,,3,Abandoned,1434643422.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",8800,Probe,NA
12,160.242.14.157,fd30:a2c2:18ed:bd00:beae:f4d1:d3d4:6d9d,33763.0,,NA,1585008095.0,1000327,False,True,1603305200.0,-22.5595,17.0685,160.242.0.0/20,,1,Connected,1603277276.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv6-ula', 'system-ipv6-capable', 'wimax', 'wi-fi', 'home', 'system-software', 'system-ipv4-rfc1918', 'system-ipv4-capable']",17953681,Probe,NA
