,address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
0,196.216.208.6,2001:43f8:6c0:1::6,37495.0,37495.0,NG,1529223627.0,6369,True,True,1599423135.0,6.5215,3.3805,196.216.208.0/22,2001:43f8:6c0::/48,2,Disconnected,1599423135.0,"['system-dns-problem-suspected', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",69649923,Probe,NG
1,41.76.196.245,fd3c:1ea4:a2b7:0:a2f3:c1ff:fec4:4a8a,37280.0,,NG,1391782657.0,11920,False,True,1450273006.0,6.4275,3.4185,41.76.196.0/24,,3,Abandoned,1450273006.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'nat']",50974655,Probe,NG
2,196.200.113.228,,30988.0,,NG,1387537010.0,12195,False,True,1578663783.0,6.4295,3.4415,196.200.113.0/24,,3,Abandoned,1578663783.0,"['system-ipv4-capable', 'system-v3', 'no-nat']",188714521,Probe,NG
3,196.216.149.2,fda3:6001:5788:0:fa1a:67ff:fe4d:7352,36932.0,,NG,1380109731.0,12387,False,True,1475574468.0,6.5205,3.5415,196.216.149.0/24,,3,Abandoned,1475574468.0,"['system-ipv4-rfc1918', 'system-ipv6-ula', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'nat']",64105634,Probe,NG
4,63.223.7.34,,3491.0,,NG,1423677082.0,14936,False,True,1471587908.0,6.4305,3.4185,63.223.7.0/24,,3,Abandoned,1471587908.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'broken', 'system-v3', 'no-nat', 'core']",46154141,Probe,NG
5,82.101.168.28,,37443.0,,NG,,18202,False,True,,13.1685,5.1775,82.101.128.0/18,,3,Abandoned,1434037000.0,"['system-no-flash-drive', 'system-ipv4-capable', 'system-v3']",0,Probe,NG
6,154.65.5.202,,37629.0,,NG,1471350557.0,18246,False,True,1500544060.0,6.5205,3.5395,154.65.4.0/22,,3,Abandoned,1500544060.0,"['system-ipv4-capable', 'system-v3']",28357274,Probe,NG
7,196.222.2.8,,37405.0,,NG,1462785213.0,19647,False,True,1477043868.0,9.0805,8.6795,196.222.0.0/17,,3,Abandoned,1477043868.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat', 'cable']",11525817,Probe,NG
8,196.216.165.208,,37513.0,,NG,1459810414.0,19839,False,True,1587230811.0,9.0715,7.4785,196.216.165.0/24,,3,Abandoned,1587230811.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",16797050,Probe,NG
9,,,,,NG,,20284,False,True,,7.4495,3.9015,,,0,Never Connected,,['system-v3'],0,Probe,NG
10,41.75.81.218,2c0f:fc98:200:2:c24a:ff:fecc:a098,37282.0,37282.0,NG,1441295289.0,21395,False,True,1488464438.0,6.4495,3.5915,41.75.81.0/24,2c0f:fc98:200::/48,3,Abandoned,1488464438.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",54344494,Probe,NG
11,,,37340.0,,NG,1510091166.0,21561,False,False,1510313637.0,9.0975,7.4105,154.118.80.0/23,,3,Abandoned,1510313637.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-city', 'system-v3']",138148,Probe,NG
12,,,,,NG,,21642,False,True,,9.0785,7.3995,,,0,Never Connected,,"['system-dns-problem-suspected', 'system-v3']",0,Probe,NG
13,41.75.93.134,,37282.0,,NG,1448884983.0,22219,False,True,1459429822.0,4.7615,7.0175,41.75.93.0/24,,3,Abandoned,1459429822.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",5646556,Probe,NG
14,154.68.198.30,,37661.0,,NG,1449590167.0,22222,False,True,1558651857.0,9.0785,8.6785,154.68.192.0/19,,3,Abandoned,1558651857.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",53979827,Probe,NG
15,,2001:470:1f22:14c:eade:27ff:fec9:7b6c,,6939.0,NG,1463465530.0,23552,False,True,1565899931.0,6.4285,3.4195,,2001:470::/32,3,Abandoned,1565899931.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-v3']",13611768,Probe,NG
16,196.220.66.2,,37686.0,,NG,,23561,False,True,,11.1575,7.6505,196.220.66.0/23,,3,Abandoned,1433771110.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-capable', 'system-v3']",920,Probe,NG
17,41.73.11.248,,37004.0,,NG,1448100869.0,23677,False,True,1453191692.0,9.0805,7.4005,41.73.11.0/24,,3,Abandoned,1453191692.0,"['system-ipv4-capable', 'system-v3']",5339834,Probe,NG
18,41.78.91.226,,37192.0,,NG,1448382102.0,23679,False,True,1484209982.0,11.9915,8.5505,41.78.88.0/22,,3,Abandoned,1484209982.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",8883333,Probe,NG
19,154.73.239.4,,327723.0,,NG,1451498083.0,23689,False,True,1455589629.0,9.1115,7.4215,154.73.236.0/22,,3,Abandoned,1455589629.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",3601017,Probe,NG
20,,,,,NG,,24498,False,True,,6.4015,5.6115,,,0,Never Connected,,"['system-firewall-problem-suspected', 'system-v3']",0,Probe,NG
21,197.242.126.105,,37340.0,,NG,1450380762.0,25307,False,True,1451315124.0,8.9705,7.4875,197.242.126.0/24,,3,Abandoned,1451315124.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",528516,Probe,NG
22,,,,,NG,,27410,False,False,,7.7775,4.5375,,,3,Abandoned,1595415313.0,"['system-v3', 'system-dns-problem-suspected']",0,Probe,NG
23,,,37637.0,,NG,1438849829.0,27456,False,False,1438851948.0,10.0005,7.9995,169.159.64.0/18,,3,Abandoned,1438851948.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",4238,Probe,NG
